,protocol_id,protocol_name,order_id,description,ordertype,ct_order,ct_orderset,prob_order
1,522,ED PNEUMONIA,9487,CEFTRIAXONE 1 GRAM IV SOLR,Medication,4,423,0.009456265
2,522,ED PNEUMONIA,20943,AZITHROMYCIN 250 MG PO TABS,Medication,3,423,0.007092199
3,522,ED PNEUMONIA,78668,IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML INH NEBU,Medication,6,423,0.014184397
4,522,ED PNEUMONIA,85920,CEFTRIAXONE 1 GRAM INJ SOLR,Medication,16,423,0.037825059
5,522,ED PNEUMONIA,93461,MOXIFLOXACIN IN NACL (ISO-OSM) 400 MG/250 ML IV PGBK,Medication,1,423,0.002364066
6,522,ED PNEUMONIA,96559,PIPERACILLIN-TAZOBACTAM-DEXTRS 3.375 GRAM/50 ML IV PGBK,Medication,7,423,0.016548463
7,522,ED PNEUMONIA,96560,PIPERACILLIN-TAZOBACTAM-DEXTRS 4.5 GRAM/100 ML IV PGBK,Medication,68,423,0.160756501
8,522,ED PNEUMONIA,112586,HYDROMORPHONE 1 MG/ML INJ SYRG,Medication,1,423,0.002364066
9,522,ED PNEUMONIA,115287,LEVOFLOXACIN IN D5W 500 MG/100 ML IV PGBK,Medication,14,423,0.033096927
10,522,ED PNEUMONIA,115288,LEVOFLOXACIN IN D5W 750 MG/150 ML IV PGBK,Medication,81,423,0.191489362
11,522,ED PNEUMONIA,122689,ALBUTEROL SULFATE 2.5 MG/0.5 ML INH NEBU,Medication,5,423,0.011820331
12,522,ED PNEUMONIA,124216,VANCOMYCIN IN D5W 1 GRAM/200 ML IV PGBK,Medication,130,423,0.307328605
13,522,ED PNEUMONIA,198509,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,Medication,8,423,0.01891253
14,522,ED PNEUMONIA,520039,AZITHROMYCIN IVPB,Medication,48,423,0.113475177
15,522,ED PNEUMONIA,520102,CEFEPIME 2 GM IVPB,Medication,2,423,0.004728132
16,522,ED PNEUMONIA,540102,NS IV BOLUS,Medication,29,423,0.06855792
17,522,ED PNEUMONIA,540300,MORPHINE INJECTABLE SYRINGE,Medication,1,423,0.002364066
18,522,ED PNEUMONIA,540316,CEFTRIAXONE 1 GRAM/50 ML D5W IVPB,Medication,4,423,0.009456265
19,522,ED PNEUMONIA,540773,PIPERACILLIN-TAZOBACTAM (ZOSYN) 3.375 GRAM IN DEXTROSE IVPB,Medication,1,423,0.002364066
20,522,ED PNEUMONIA,540965,PIPERACILLIN-TAZOBACTAM 3.375 GRAM/50 ML MINI-BAG PLUS,Medication,3,423,0.007092199
21,522,ED PNEUMONIA,540967,PIPERACILLIN-TAZOBACTAM 4.5 GRAM/100 ML MINI-BAG PLUS,Medication,34,423,0.080378251
22,522,ED PNEUMONIA,541084,CEFEPIME 2 GRAM/100 ML MINI-BAG PLUS,Medication,39,423,0.092198582
23,522,ED PNEUMONIA,541085,CEFTRIAXONE 1 GRAM/50 ML MINI-BAG PLUS,Medication,24,423,0.056737589
24,522,ED PNEUMONIA,LABBLC,BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES),Lab,36,423,0.085106383
25,522,ED PNEUMONIA,LABBLC2,BLOOD CULTURE (2 AEROBIC BOTTLES),Lab,36,423,0.085106383
26,522,ED PNEUMONIA,LABCBCD,CBC WITH DIFF,Lab,37,423,0.087470449
27,522,ED PNEUMONIA,LABLEGU,"LEGIONELLA AG, URINE",Lab,3,423,0.007092199
28,522,ED PNEUMONIA,LABMETB,"METABOLIC PANEL, BASIC",Lab,5,423,0.011820331
29,522,ED PNEUMONIA,LABMETC,"METABOLIC PANEL, COMPREHENSIVE",Lab,34,423,0.080378251
30,522,ED PNEUMONIA,LABUAPRN,"URINALYSIS, SCREEN FOR CULTURE",Lab,16,423,0.037825059
31,522,ED PNEUMONIA,POC15,"POC ISTAT, ARTERIAL BLOOD GASES AND LACTATE (CG4)",Lab,2,423,0.004728132
32,522,ED PNEUMONIA,POC16,"POC ISTAT,VENOUS BLOOD GASES AND LACTATE (CG4)",Lab,33,423,0.078014184
33,522,ED PNEUMONIA,POC24,POC ISTAT TROPONIN I,Lab,29,423,0.06855792
