med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
BACITRACIN ZINC 500 UNIT/GRAM TP OINT,0.6181818181818182,34,21,37,0.1,5,45,5,2.267939208401874e-08
HYDROMORPHONE 1 MG/ML IV PCA,0.6909090909090909,38,17,50,0.18,9,41,10,1.7518892524233357e-07
"VANCOMYCIN 1,000 MG IV SOLR",0.6363636363636364,35,20,35,0.24,12,38,13,7.003706130076558e-05
MAGNESIUM CITRATE PO SOLN,0.32727272727272727,18,37,22,0.08,4,46,4,0.0019016851629792507
MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.45454545454545453,25,30,30,0.2,10,40,10,0.007129020155248619
"HEPARIN, PORCINE (PF) 5,000 UNIT/0.5 ML INJ SOLN",0.5454545454545454,30,25,51,0.28,14,36,20,0.009685328464355134
ATORVASTATIN 10 MG PO TABS,0.05454545454545454,3,52,3,0.24,12,38,12,0.010371740023085007
LIDOCAINE 5 % TP PTMD,0.34545454545454546,19,36,40,0.12,6,44,12,0.010763371479360906
CYCLOBENZAPRINE 5 MG PO TABS,0.4727272727272727,26,29,51,0.24,12,38,21,0.01548812128615875
LACTULOSE 20 GRAM/30 ML PO SOLN,0.21818181818181817,12,43,15,0.06,3,47,3,0.025820850731488897
MINERAL OIL PR ENEM,0.36363636363636365,20,35,22,0.16,8,42,9,0.02651857714562776
NS W/BACITRACIN MIXTURE (SHC OR),0.7090909090909091,39,16,42,0.48,24,26,25,0.0276944370042344
FAMOTIDINE 20 MG PO TABS,0.23636363636363636,13,42,24,0.08,4,46,9,0.03568505743151488
POTASSIUM CHLORIDE IN 0.9%NACL 20 MEQ/L IV SOLP,0.5272727272727272,29,26,36,0.32,16,34,17,0.04788175024026067
NS IV BOLUS - 500 ML,0.21818181818181817,12,43,17,0.08,4,46,4,0.059942613483503965
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.12727272727272726,7,48,7,0.02,1,49,1,0.06238628519531652
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.12727272727272726,7,48,7,0.02,1,49,1,0.06238628519531652
PATCH CHECK,0.12727272727272726,7,48,8,0.02,1,49,1,0.06238628519531652
DULOXETINE 60 MG PO CPDR,0.12727272727272726,7,48,10,0.02,1,49,1,0.06238628519531652
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.12727272727272726,7,48,7,0.02,1,49,1,0.06238628519531652
HYDRALAZINE 20 MG/ML INJ SOLN,0.7272727272727273,40,15,57,0.54,27,23,37,0.06681702996138536
PREFERRED ANTIBIOTIC AGENT,0.4,22,33,28,0.58,29,21,31,0.07990311701648065
AMLODIPINE 10 MG PO TABS,0.03636363636363636,2,53,2,0.14,7,43,8,0.08239430181845796
MONTELUKAST 10 MG PO TABS,0.03636363636363636,2,53,2,0.14,7,43,7,0.08239430181845796
SODIUM CHLORIDE 0.9 % IV SOLP,0.6,33,22,39,0.76,38,12,46,0.09691605907763715
PANTOPRAZOLE 40 MG PO TBEC,0.14545454545454545,8,47,9,0.28,14,36,15,0.10003682946430902
HYDROXYZINE HCL 25 MG PO TABS,0.05454545454545454,3,52,4,0.16,8,42,9,0.11149712488315383
LORAZEPAM 2 MG/ML INJ SOLN,0.10909090909090909,6,49,15,0.02,1,49,1,0.11538668144370118
BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.18181818181818182,10,45,16,0.32,16,34,23,0.11741850017665209
BISACODYL 10 MG PR SUPP,0.9272727272727272,51,4,76,1.0,50,0,61,0.11952458354514323
"HEPARIN, PORCINE (PF) 5,000 UNIT/0.5 ML SC SYRG",0.23636363636363636,13,42,17,0.12,6,44,6,0.13670385141940294
LACTOBACILLUS RHAMNOSUS GG 15 BILLION CELL PO CPSP,0.07272727272727272,4,51,4,0.18,9,41,9,0.13821500900003972
DEXAMETHASONE 1 MG PO TABS,0.03636363636363636,2,53,4,0.12,6,44,9,0.14702076454625207
GABAPENTIN 300 MG PO CAPS,0.43636363636363634,24,31,41,0.3,15,35,20,0.16284191596545355
BACLOFEN 10 MG PO TABS,0.12727272727272726,7,48,12,0.04,2,48,5,0.16511726733891147
FLUTICASONE FUROATE-VILANTEROL 100-25 MCG/DOSE INH DSDV,0.01818181818181818,1,54,1,0.08,4,46,4,0.18914559664399924
QUETIAPINE 25 MG PO TABS,0.09090909090909091,5,50,10,0.02,1,49,1,0.2083769561773644
"BUPIVACAINE-EPINEPHRINE 0.25 %-1:200,000 INJ SOLN",0.2545454545454545,14,41,14,0.14,7,43,7,0.22149032537144192
DOCUSATE SODIUM 100 MG PO CAPS,0.5636363636363636,31,24,58,0.44,22,28,37,0.24335406045102975
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.18181818181818182,10,45,10,0.28,14,36,14,0.25341414382222416
METFORMIN 500 MG PO TABS,0.03636363636363636,2,53,2,0.1,5,45,7,0.25362299771689595
TRAMADOL 50 MG PO TABS,0.2,11,44,15,0.3,15,35,27,0.2643218033887649
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,0.21818181818181817,12,43,19,0.32,16,34,23,0.2741407900841536
ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.10909090909090909,6,49,12,0.04,2,48,4,0.2743878701888552
IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.10909090909090909,6,49,9,0.04,2,48,2,0.2743878701888552
AMLODIPINE 5 MG PO TABS,0.2,11,44,15,0.12,6,44,8,0.3002239476235633
TAMSULOSIN 0.4 MG PO CAPS,0.2,11,44,14,0.12,6,44,10,0.3002239476235633
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.05454545454545454,3,52,4,0.12,6,44,6,0.30384801184199145
METOPROLOL SUCCINATE 25 MG PO TB24,0.05454545454545454,3,52,3,0.12,6,44,8,0.30384801184199145
LABETALOL 5 MG/ML IV SOLN,0.45454545454545453,25,30,31,0.34,17,33,18,0.3187232954468099
METHOCARBAMOL 500 MG PO TABS,0.12727272727272726,7,48,13,0.06,3,47,7,0.3252123183433524
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN",0.12727272727272726,7,48,9,0.06,3,47,3,0.3252123183433524
"THROMBIN (BOVINE) 5,000 UNIT TP SOLR",0.12727272727272726,7,48,7,0.06,3,47,3,0.3252123183433524
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.43636363636363634,24,31,27,0.34,17,33,19,0.3255598879370317
SODIUM CHLORIDE 0.9 % IRRIG SOLN,0.01818181818181818,1,54,1,0.06,3,47,3,0.34503674509385535
"POTASSIUM, SODIUM PHOSPHATES 280-160-250 MG PO PWPK",0.01818181818181818,1,54,4,0.06,3,47,4,0.34503674509385535
ERYTHROMYCIN 5 MG/GRAM (0.5 %) OPHT OINT,0.01818181818181818,1,54,2,0.06,3,47,6,0.34503674509385535
CEFAZOLIN IN DEXTROSE (ISO-OS) 2 GRAM/100 ML IV PGBK,0.01818181818181818,1,54,1,0.06,3,47,3,0.34503674509385535
ATORVASTATIN 40 MG PO TABS,0.14545454545454545,8,47,10,0.08,4,46,5,0.36561348226878476
SCOPOLAMINE BASE 1 MG OVER 3 DAYS TD PT3D,0.07272727272727272,4,51,4,0.02,1,49,2,0.3657470456442472
CEFAZOLIN 1 GRAM INJ SOLR,0.07272727272727272,4,51,4,0.02,1,49,1,0.3657470456442472
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.2,11,44,12,0.28,14,36,15,0.366894765723605
HYDRALAZINE 20 MG/ML INJ SOLN (24 HOUR STOP TIME),0.23636363636363636,13,42,16,0.32,16,34,20,0.3864122563949405
APREPITANT 40 MG PO CAPS,0.03636363636363636,2,53,2,0.08,4,46,4,0.4208830945476483
DEXAMETHASONE 2 MG PO TABS,0.03636363636363636,2,53,4,0.08,4,46,7,0.4208830945476483
LISINOPRIL 10 MG PO TABS,0.03636363636363636,2,53,2,0.08,4,46,6,0.4208830945476483
