med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.2,14,56,21,0.010638297872340425,1,93,1,2.86183002653811e-05
HYDROXYZINE HCL 25 MG PO TABS,0.22857142857142856,16,54,33,0.031914893617021274,3,91,3,0.00012066069414124043
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.34285714285714286,24,46,38,0.09574468085106383,9,85,12,0.00013745808226284746
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.24285714285714285,17,53,51,0.0425531914893617,4,90,7,0.0002238096099372068
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.2714285714285714,19,51,33,0.06382978723404255,6,88,8,0.00033976888611432363
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.22857142857142856,16,54,61,0.0425531914893617,4,90,4,0.00046762626056922593
LR IV BOLUS - 500 ML,0.2857142857142857,20,50,35,0.07446808510638298,7,87,7,0.00048680394961464886
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.14285714285714285,10,60,12,0.010638297872340425,1,93,1,0.0009612233266170648
ELECTROLYTE-R (PH 7.4) IV SOLP,0.17142857142857143,12,58,16,0.02127659574468085,2,92,2,0.0010392126893726632
WHITE PETROLATUM-MINERAL OIL OPHTH OINT WRAPPER,0.22857142857142856,16,54,18,0.05319148936170213,5,89,5,0.001560596272133348
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.2571428571428571,18,52,27,0.07446808510638298,7,87,10,0.0018094648681248066
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.2857142857142857,20,50,32,0.09574468085106383,9,85,30,0.001952304460510934
D5 %-0.45 % SODIUM CHLORIDE IV SOLP,0.12857142857142856,9,61,14,0.010638297872340425,1,93,2,0.0022204037026302493
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.21428571428571427,15,55,21,0.05319148936170213,5,89,5,0.002988031313164388
GLUCOSE 4 GRAM PO CHEW,0.5142857142857142,36,34,63,0.2872340425531915,27,67,30,0.003627793608689289
CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,0.18571428571428572,13,57,18,0.0425531914893617,4,90,4,0.0038925594980115715
NITRIC OXIDE GAS FOR INHALATION,0.14285714285714285,10,60,68,0.02127659574468085,2,92,4,0.004634870810469327
LR IV BOLUS - 250 ML,0.11428571428571428,8,62,11,0.010638297872340425,1,93,1,0.005035281123846818
LORAZEPAM 2 MG/ML INJ SOLN,0.21428571428571427,15,55,39,0.06382978723404255,6,88,65,0.008033525694133166
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.5285714285714286,37,33,89,0.3191489361702128,30,64,34,0.009975027600985367
BISACODYL 10 MG PR SUPP,0.3142857142857143,22,48,37,0.14893617021276595,14,80,14,0.01356868218462696
DEXAMETHASONE 4 MG PO TABS,0.24285714285714285,17,53,22,0.09574468085106383,9,85,11,0.016369289774284226
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML INJ SOLN,0.4,28,42,52,0.22340425531914893,21,73,28,0.016501665928497406
NALOXONE 0.4 MG/ML INJ SOLN,0.4142857142857143,29,41,56,0.23404255319148937,22,72,32,0.017051356786515953
MIDAZOLAM 1 MG/ML INJ SOLN,0.17142857142857143,12,58,23,0.05319148936170213,5,89,5,0.019001929828819805
