med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.794392523364486,85,22,94,0.5631067961165048,58,45,61,0.0003722337284570637
ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.14018691588785046,15,92,32,0.019417475728155338,2,101,2,0.0016115534204046186
SODIUM CHLORIDE 0.9 % IV SOLP,0.4953271028037383,53,54,67,0.2815533980582524,29,74,34,0.001833641506389697
CEFAZOLIN IN DEXTROSE (ISO-OS) 2 GRAM/100 ML IV PGBK,0.07476635514018691,8,99,8,0.21359223300970873,22,81,23,0.005270286516786336
"VANCOMYCIN 1,000 MG IV SOLR",0.14953271028037382,16,91,19,0.038834951456310676,4,99,5,0.008490555417667897
ALUM-MAG HYDROXIDE-SIMETH 200-200-20 MG/5 ML PO SUSP,0.1308411214953271,14,93,15,0.27184466019417475,28,75,28,0.015115847070882153
ROPIVICAINE 0.2% + KETORALAC + EPINEPHRINE MIXTURE (SHC OR),0.45794392523364486,49,58,49,0.6213592233009708,64,39,65,0.019193456925123656
DIPHENHYDRAMINE HCL 25 MG PO CAPS,0.1308411214953271,14,93,15,0.2524271844660194,26,77,27,0.03421908374966379
METOCLOPRAMIDE HCL 10 MG PO TABS,0.4766355140186916,51,56,58,0.6213592233009708,64,39,67,0.03846768832407792
NARCAN 4 MG/ACTUATION NASAL SPRY,0.2336448598130841,25,82,26,0.1262135922330097,13,90,14,0.04952423707345989
PANTOPRAZOLE 40 MG PO TBEC,0.3177570093457944,34,73,43,0.1941747572815534,20,83,23,0.057516683920279955
WARFARIN 1 MG PO TABS,0.056074766355140186,6,101,10,0.13592233009708737,14,89,15,0.06051769081932215
WARFARIN 4 MG PO TABS,0.009345794392523364,1,106,1,0.05825242718446602,6,97,6,0.061571021240608786
LISINOPRIL 20 MG PO TABS,0.11214953271028037,12,95,14,0.038834951456310676,4,99,4,0.06658183690165398
METOPROLOL SUCCINATE 25 MG PO TB24,0.11214953271028037,12,95,19,0.038834951456310676,4,99,5,0.06658183690165398
PANTOPRAZOLE 20 MG PO TBEC,0.028037383177570093,3,104,3,0.08737864077669903,9,94,10,0.07837097196788823
BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.8317757009345794,89,18,93,0.7281553398058253,75,28,77,0.09457774332260588
TOBRAMYCIN SULFATE 1.2 GRAM INJ SOLR,0.07476635514018691,8,99,8,0.019417475728155338,2,101,2,0.10160740194007334
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN",0.056074766355140186,6,101,6,0.009708737864077669,1,102,1,0.11919913865970685
HALOPERIDOL LACTATE 5 MG/ML INJ SOLN,0.056074766355140186,6,101,6,0.009708737864077669,1,102,1,0.11919913865970685
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.8130841121495327,87,20,93,0.8932038834951457,92,11,95,0.12103681913071103
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.08411214953271028,9,98,18,0.02912621359223301,3,100,3,0.13524456293983494
GABAPENTIN 300 MG PO CAPS,0.8785046728971962,94,13,187,0.941747572815534,97,6,188,0.14891774063342092
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.8598130841121495,92,15,130,0.7766990291262136,80,23,121,0.15136726661450434
INSULIN LISPRO 100 UNIT/ML SC MODERATE SCALE FEEDING (BEDTIME),0.037383177570093455,4,103,5,0.08737864077669903,9,94,9,0.15932392327642023
INSULIN LISPRO 100 UNIT/ML SC MODERATE SCALE FEEDING (MEALS),0.037383177570093455,4,103,5,0.08737864077669903,9,94,9,0.15932392327642023
ASPIRIN 81 MG PO CHEW,0.018691588785046728,2,105,2,0.05825242718446602,6,97,8,0.16443946980790236
CARVEDILOL 12.5 MG PO TABS,0.018691588785046728,2,105,2,0.05825242718446602,6,97,6,0.16443946980790236
