med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
CLEVIDIPINE 50 MG/100 ML IV EMUL,0.4675324675324675,36,41,38,0.1506849315068493,11,62,12,3.963304634485656e-05
"LIDOCAINE-EPINEPHRINE 0.5 %-1:200,000 INJ SOLN",0.2727272727272727,21,56,21,0.5616438356164384,41,32,41,0.00046209692847716945
PREFERRED ANTIBIOTIC AGENT,0.38961038961038963,30,47,35,0.6438356164383562,47,26,56,0.0020456163475457393
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.8701298701298701,67,10,202,0.9863013698630136,72,1,236,0.009281862801290439
LABETALOL 5 MG/ML IV INFUSION,0.12987012987012986,10,67,10,0.0136986301369863,1,72,1,0.009281862801290439
CLOPIDOGREL 75 MG PO TABS,0.12987012987012986,10,67,12,0.0136986301369863,1,72,1,0.009281862801290439
PHYSIOSOL + BACITRACIN MIXTURE (SHC OR),0.6363636363636364,49,28,49,0.821917808219178,60,13,60,0.016611127782127623
METOCLOPRAMIDE HCL 10 MG PO TABS,0.4935064935064935,38,39,44,0.3013698630136986,22,51,26,0.019839864914949372
APREPITANT 40 MG PO CAPS,0.24675324675324675,19,58,23,0.4246575342465753,31,42,33,0.024780878166086075
NALBUPHINE 10 MG/ML INJ SOLN,0.025974025974025976,2,75,2,0.1095890410958904,8,65,8,0.05155967683357421
ASPIRIN 81 MG PO TBEC,0.23376623376623376,18,59,23,0.1095890410958904,8,65,12,0.053326164177361704
BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.012987012987012988,1,76,1,0.0821917808219178,6,67,8,0.058284035018587206
BACITRACIN ZINC 500 UNIT/GRAM TP OINT,0.5584415584415584,43,34,46,0.7123287671232876,52,21,52,0.06261113780444463
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.7922077922077922,61,16,104,0.9041095890410958,66,7,101,0.07080531530900587
LABETALOL 5 MG/ML IV SOLN,0.22077922077922077,17,60,18,0.3561643835616438,26,47,29,0.07359564758885911
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.16883116883116883,13,64,13,0.0684931506849315,5,68,6,0.07846142238553103
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.16883116883116883,13,64,13,0.0684931506849315,5,68,6,0.07846142238553103
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.16883116883116883,13,64,13,0.0684931506849315,5,68,6,0.07846142238553103
ELECTROLYTE-R (PH 7.4) IV SOLP,0.8311688311688312,64,13,135,0.9315068493150684,68,5,146,0.07846142238553105
ZZZ IMS TEMPLATE,0.12987012987012986,10,67,14,0.0410958904109589,3,70,8,0.07977798024929544
LOSARTAN 50 MG PO TABS,0.025974025974025976,2,75,2,0.0958904109589041,7,66,10,0.09158840309037022
MINERAL OIL PR ENEM,0.5064935064935064,39,38,40,0.6438356164383562,47,26,49,0.10060903860570614
MAGNESIUM CITRATE PO SOLN,0.4935064935064935,38,39,39,0.6301369863013698,46,27,47,0.10220128792551737
OXCARBAZEPINE 300 MG PO TABS,0.012987012987012988,1,76,1,0.0684931506849315,5,68,8,0.10938587610654261
DEXAMETHASONE 4 MG PO TABS,0.1038961038961039,8,69,14,0.2054794520547945,15,58,21,0.11251983105302776
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,1.0,77,0,176,0.958904109589041,70,3,167,0.11281697805187736
LEVETIRACETAM 500 MG PO TABS,0.07792207792207792,6,71,9,0.0136986301369863,1,72,1,0.11713229545212883
SODIUM CHLORIDE 0.9 % IV SOLP,0.2727272727272727,21,56,23,0.1643835616438356,12,61,13,0.11940112717708892
OXYCODONE 5 MG PO TABS,0.6493506493506493,50,27,139,0.7671232876712328,56,17,184,0.15101455952638204
BISACODYL 10 MG PR SUPP,0.5454545454545454,42,35,45,0.6575342465753424,48,25,51,0.18426276215298473
LACTULOSE 20 GRAM/30 ML PO SOLN,0.5324675324675324,41,36,42,0.6438356164383562,47,26,48,0.18692305887114852
HYDROMORPHONE 1 MG/ML INJ SYRG,0.4935064935064935,38,39,85,0.6027397260273972,44,29,101,0.19309590591620351
