med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
MELATONIN 5 MG PO TABS,0.4166666666666667,30,42,35,0.09090909090909091,7,70,7,3.749860181670134e-06
LIDOCAINE 4 % TP CREA,0.25,18,54,20,0.012987012987012988,1,76,1,7.88076544108868e-06
IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.2777777777777778,20,52,31,0.03896103896103896,3,74,5,5.828618652890101e-05
FUROSEMIDE 10 MG/ML INJ SOLN,0.18055555555555555,13,59,32,0.012987012987012988,1,76,2,0.0004063423035839647
SODIUM PHOSPHATE IVPB,0.2916666666666667,21,51,42,0.07792207792207792,6,71,7,0.0011163462647602053
PANTOPRAZOLE 40 MG IV SOLR,0.3611111111111111,26,46,36,0.12987012987012986,10,67,12,0.0011213922965857665
BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.2361111111111111,17,55,19,0.05194805194805195,4,73,5,0.0017022587551296466
BENZOCAINE 20 % MM SPRY,0.1527777777777778,11,61,14,0.012987012987012988,1,76,2,0.0017955867222173233
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.20833333333333334,15,57,25,0.03896103896103896,3,74,10,0.001940726544579819
SIMETHICONE 80 MG PO CHEW,0.1388888888888889,10,62,15,0.012987012987012988,1,76,2,0.0036967939621891568
NORMOSOL-R IV BOLUS - 500 ML,0.2638888888888889,19,53,43,0.07792207792207792,6,71,7,0.003720584252307484
BISACODYL 10 MG PR SUPP,0.2638888888888889,19,53,30,0.07792207792207792,6,71,9,0.003720584252307484
CELECOXIB 200 MG PO CAPS,0.25,18,54,19,0.4805194805194805,37,40,38,0.004044833338302927
"HEPARIN, PORCINE (PF) 5,000 UNIT/0.5 ML INJ SOLN",0.4444444444444444,32,40,54,0.22077922077922077,17,60,24,0.005074417037985107
PANTOPRAZOLE 40 MG PO TBEC,0.375,27,45,31,0.16883116883116883,13,64,19,0.0055286362218225716
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.20833333333333334,15,57,21,0.05194805194805195,4,73,5,0.005908284545193793
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN",0.3888888888888889,28,44,53,0.18181818181818182,14,63,23,0.006232914153118793
ALVIMOPAN 12 MG PO CAPS,0.5833333333333334,42,30,64,0.7922077922077922,61,16,114,0.007639318363878373
PIPERACILLIN-TAZOBACTAM-DEXTRS 3.375 GRAM/50 ML IV PGBK,0.1527777777777778,11,61,26,0.025974025974025976,2,75,3,0.007732787746281695
BUPIVACAINE 0.25 % (2.5 MG/ML) INJ SOLN,0.25,18,54,18,0.45454545454545453,35,42,35,0.010548507631416494
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.19444444444444445,14,58,17,0.05194805194805195,4,73,5,0.010695305306524695
NALBUPHINE 10 MG/ML INJ SOLN,0.20833333333333334,15,57,19,0.06493506493506493,5,72,5,0.014923651776260347
INSULIN LISPRO 100 UNIT/ML SC MILD SCALE NPO,0.1111111111111111,8,64,9,0.012987012987012988,1,76,1,0.01498070450771807
INSULIN LISPRO 100 UNIT/ML SC MODERATE SCALE NPO,0.1111111111111111,8,64,9,0.012987012987012988,1,76,1,0.01498070450771807
LIDOCAINE 2 G/250 ML D5W IV INFUSION PREMIX (PAIN INDICATION),0.1527777777777778,11,61,16,0.03896103896103896,3,74,3,0.02338737278606769
LIDOCAINE HCL 2 % JELLY (URO-JET),0.09722222222222222,7,65,9,0.012987012987012988,1,76,1,0.029424479168164833
"NYSTATIN 100,000 UNIT/GRAM TP POWD",0.09722222222222222,7,65,10,0.012987012987012988,1,76,1,0.029424479168164833
ACETAMINOPHEN 650 MG/20.3 ML PO SOLN,0.09722222222222222,7,65,9,0.012987012987012988,1,76,1,0.029424479168164833
ACETAMINOPHEN 325 MG PO TABS,0.7083333333333334,51,21,110,0.8571428571428571,66,11,123,0.029914674351257935
LIDOCAINE 5 % TP PTMD,0.3194444444444444,23,49,41,0.16883116883116883,13,64,27,0.036469014870423026
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJ SOLN,0.1388888888888889,10,62,10,0.03896103896103896,3,74,3,0.041412762884809225
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.1111111111111111,8,64,11,0.025974025974025976,2,75,2,0.05022377778739501
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,0.1111111111111111,8,64,12,0.025974025974025976,2,75,5,0.05022377778739501
NS IV BOLUS,0.1111111111111111,8,64,11,0.025974025974025976,2,75,3,0.05022377778739501
D5 %-0.45 % SODIUM CHLORIDE IV SOLP,0.1527777777777778,11,61,14,0.05194805194805195,4,73,4,0.05590605444229835
CIPROFLOXACIN IN 5 % DEXTROSE 400 MG/200 ML IV PGBK,0.08333333333333333,6,66,7,0.012987012987012988,1,76,1,0.05673747230591315
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.2638888888888889,19,53,38,0.14285714285714285,11,66,14,0.07031588963015273
NS IV BOLUS - 1000 ML,0.125,9,63,17,0.03896103896103896,3,74,3,0.07164478503219063
METRONIDAZOLE IN NACL (ISO-OS) 500 MG/100 ML IV PGBK,0.4027777777777778,29,43,36,0.2597402597402597,20,57,21,0.08108490205614577
HYDROXYZINE HCL 25 MG PO TABS,0.09722222222222222,7,65,14,0.025974025974025976,2,75,4,0.08969311747937361
POTASSIUM CHLORIDE 10 MEQ PO TBTQ,0.09722222222222222,7,65,9,0.025974025974025976,2,75,2,0.08969311747937361
"HEPARIN, PORCINE (PF) 5,000 UNIT/0.5 ML SC SYRG",0.3194444444444444,23,49,30,0.19480519480519481,15,62,18,0.09280481706593113
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.5555555555555556,40,32,71,0.4155844155844156,32,45,47,0.10218986110263367
FAMOTIDINE (PF) 20 MG/2 ML IV SOLN,0.06944444444444445,5,67,5,0.012987012987012988,1,76,1,0.10715254230358862
SODIUM PHOSPHATE IVPB SCALE 30 MMOL,0.06944444444444445,5,67,5,0.012987012987012988,1,76,1,0.10715254230358862
DIATRIZOATE MEG-DIATRIZOAT SOD 66-10 % PO SOLN,0.06944444444444445,5,67,8,0.012987012987012988,1,76,1,0.10715254230358862
SODIUM PHOSPHATE IVPB SCALE 15 MMOL,0.06944444444444445,5,67,5,0.012987012987012988,1,76,1,0.10715254230358862
LR IV BOLUS - 1000 ML,0.1111111111111111,8,64,12,0.03896103896103896,3,74,6,0.12084474911388782
LACTATED RINGERS IV SOLP,0.18055555555555555,13,59,16,0.09090909090909091,7,70,7,0.1489997409987625
HYDRALAZINE 20 MG/ML INJ SOLN,0.3472222222222222,25,47,33,0.23376623376623376,18,59,19,0.14941005042455624
LORAZEPAM 0.5 MG PO TABS,0.125,9,63,16,0.05194805194805195,4,73,7,0.14945107996736992
LIDOCAINE HCL 2 % JELLY,0.08333333333333333,6,66,8,0.025974025974025976,2,75,2,0.15607169244233218
ALBUTEROL SULFATE 2.5 MG /3 ML (0.083 %) INH NEBU,0.08333333333333333,6,66,7,0.025974025974025976,2,75,2,0.15607169244233218
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.1388888888888889,10,62,12,0.06493506493506493,5,72,5,0.17542758098660383
GLUCOSE 4 GRAM PO CHEW,0.20833333333333334,15,57,19,0.11688311688311688,9,68,9,0.18050256485899902
ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.7083333333333334,51,21,89,0.8051948051948052,62,15,85,0.18457124801168026
POTASSIUM CHLORIDE-D5-0.9%NACL 20 MEQ/L IV SOLP,0.05555555555555555,4,68,4,0.012987012987012988,1,76,1,0.19753476825818653
NS W/BACITRACIN MIXTURE (SHC OR),0.05555555555555555,4,68,5,0.012987012987012988,1,76,1,0.19753476825818653
CEFAZOLIN IV PUSH (1 GRAM VIAL + NS VIAL),0.09722222222222222,7,65,9,0.03896103896103896,3,74,3,0.19821194145053325
NS IV BOLUS - 500 ML,0.09722222222222222,7,65,17,0.03896103896103896,3,74,3,0.19821194145053325
LORAZEPAM 2 MG/ML INJ SOLN,0.09722222222222222,7,65,16,0.03896103896103896,3,74,5,0.19821194145053325
GABAPENTIN 100 MG PO CAPS,0.1527777777777778,11,61,15,0.07792207792207792,6,71,10,0.19892981249053907
LEVOTHYROXINE 75 MCG PO TABS,0.013888888888888888,1,71,3,0.06493506493506493,5,72,8,0.2107991849458341
DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN,0.1111111111111111,8,64,11,0.05194805194805195,4,73,6,0.2344080435577035
