med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
CEFAZOLIN IV PUSH (1 GRAM VIAL + NS VIAL),0.58,29,21,32,0.2549019607843137,13,38,13,0.0012119233109698308
MELATONIN 5 MG PO TABS,0.76,38,12,45,0.45098039215686275,23,28,25,0.0021582905120299347
ACETAMINOPHEN 325 MG PO TABS,0.86,43,7,84,0.6078431372549019,31,20,49,0.006439334394131434
CEFAZOLIN IV PUSH (1 GRAM VIAL ONLY),0.7,35,15,44,0.43137254901960786,22,29,26,0.008992001135467626
SODIUM CHLORIDE 0.9 % IV SOLP,0.32,16,34,19,0.5686274509803921,29,22,32,0.016269433482540008
MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.62,31,19,34,0.39215686274509803,20,31,21,0.028858530196364647
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.14,7,43,7,0.0196078431372549,1,50,1,0.031013790472915984
CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,0.48,24,26,30,0.27450980392156865,14,37,14,0.0409564692747494
MINERAL OIL PR ENEM,0.6,30,20,33,0.39215686274509803,20,31,21,0.04714726810303307
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.38,19,31,21,0.19607843137254902,10,41,11,0.04952919407016744
NORMOSOL-R IV BOLUS - 500 ML,0.22,11,39,17,0.09803921568627451,5,46,5,0.10907657733610181
MEPIVACAINE 2 % INJ SOLN,0.64,32,18,34,0.47058823529411764,24,27,24,0.11018429465373197
APIXABAN 2.5 MG PO TABS,0.02,1,49,1,0.11764705882352941,6,45,9,0.11201171663558107
HALOPERIDOL 1 MG PO TABS,0.18,9,41,9,0.0784313725490196,4,47,4,0.14843826709475128
HALOPERIDOL LACTATE 5 MG/ML INJ SOLN,0.18,9,41,9,0.0784313725490196,4,47,4,0.14843826709475128
SPIRONOLACTONE 25 MG PO TABS,0.04,2,48,6,0.13725490196078433,7,44,9,0.15991029379660698
ATROPINE 0.1 MG/ML INJ SYRG,0.06,3,47,3,0.1568627450980392,8,43,8,0.20026452087737606
POTASSIUM CHLORIDE 10 MEQ PO TBTQ,0.14,7,43,7,0.058823529411764705,3,48,4,0.20026452087737606
NS IV BOLUS - 500 ML,0.08,4,46,4,0.0196078431372549,1,50,1,0.2046885100881222
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.08,4,46,5,0.0196078431372549,1,50,1,0.2046885100881222
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.08,4,46,6,0.0196078431372549,1,50,1,0.2046885100881222
AMLODIPINE 10 MG PO TABS,0.08,4,46,5,0.0196078431372549,1,50,1,0.2046885100881222
PREDNISONE 20 MG PO TABS,0.08,4,46,9,0.0196078431372549,1,50,1,0.2046885100881222
FINASTERIDE 5 MG PO TABS,0.08,4,46,5,0.0196078431372549,1,50,1,0.2046885100881222
LEVOTHYROXINE 75 MCG PO TABS,0.08,4,46,5,0.0196078431372549,1,50,1,0.2046885100881222
HYDRALAZINE 20 MG/ML INJ SOLN,0.44,22,28,30,0.3137254901960784,16,35,21,0.2213203173335862
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.16,8,42,9,0.0784313725490196,4,47,4,0.23429143012318132
CLOPIDOGREL 75 MG PO TABS,0.3,15,35,25,0.19607843137254902,10,41,16,0.2557715985433038
MELATONIN 3 MG PO TABS,0.22,11,39,13,0.3333333333333333,17,34,17,0.26715029724326156
INSULIN LISPRO 100 UNIT/ML SC MODERATE SCALE FEEDING (MEALS),0.04,2,48,2,0.11764705882352941,6,45,6,0.26907449290778235
INSULIN LISPRO 100 UNIT/ML SC MODERATE SCALE FEEDING (BEDTIME),0.04,2,48,2,0.11764705882352941,6,45,6,0.26907449290778235
LEVOTHYROXINE 100 MCG PO TABS,0.04,2,48,4,0.11764705882352941,6,45,6,0.26907449290778235
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.1,5,45,6,0.0392156862745098,2,49,3,0.2690744929077824
FERROUS SULFATE 325 MG (65 MG IRON) PO TABS,0.12,6,44,8,0.058823529411764705,3,48,3,0.3183744537967002
ATORVASTATIN 10 MG PO TABS,0.12,6,44,6,0.058823529411764705,3,48,3,0.3183744537967002
OXYCODONE 5 MG PO TABS,0.94,47,3,189,0.8627450980392157,44,7,160,0.3183744537967002
LATANOPROST 0.005 % OPHT DROP,0.06,3,47,3,0.0196078431372549,1,50,1,0.36243624362436244
LISINOPRIL 2.5 MG PO TABS,0.06,3,47,4,0.0196078431372549,1,50,1,0.36243624362436244
INSULIN NPH ISOPH U-100 HUMAN 100 UNIT/ML SC SUSP,0.06,3,47,4,0.0196078431372549,1,50,1,0.36243624362436244
MIDAZOLAM 1 MG/ML INJ SOLN,0.06,3,47,3,0.0196078431372549,1,50,1,0.36243624362436244
GABAPENTIN 600 MG PO TABS,0.06,3,47,4,0.0196078431372549,1,50,1,0.36243624362436244
RIVAROXABAN 20 MG PO TABS,0.06,3,47,3,0.0196078431372549,1,50,1,0.36243624362436244
FAMOTIDINE 20 MG PO TABS,0.06,3,47,3,0.0196078431372549,1,50,1,0.36243624362436244
ZZZ IMS TEMPLATE,0.06,3,47,3,0.0196078431372549,1,50,3,0.36243624362436244
CARVEDILOL 6.25 MG PO TABS,0.06,3,47,4,0.0196078431372549,1,50,1,0.36243624362436244
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJ SOLN,0.06,3,47,3,0.0196078431372549,1,50,1,0.36243624362436244
BUPIVACAINE 0.25 % (2.5 MG/ML) INJ SOLN,0.32,16,34,16,0.23529411764705882,12,39,12,0.3801684532495987
BUPIVACAINE 0.5 % (5 MG/ML) INJ SOLN,0.16,8,42,8,0.09803921568627451,5,46,5,0.3888271235743555
IODIXANOL 320 MG IODINE/ML IV SOLN,0.34,17,33,17,0.2549019607843137,13,38,13,0.3894120816417367
PANTOPRAZOLE 40 MG PO TBEC,0.34,17,33,22,0.2549019607843137,13,38,16,0.3894120816417367
DOCUSATE SODIUM 100 MG PO CAPS,0.38,19,31,27,0.29411764705882354,15,36,17,0.40435770043307684
IODIXANOL 320 MG IODINE/ML IV SOLN + PLUSPAK (RADIOLOGY) 200 ML,0.4,20,30,20,0.49019607843137253,25,26,25,0.425243825159516
ASPIRIN 81 MG PO CHEW,0.08,4,46,5,0.0392156862745098,2,49,2,0.43638049371947496
CLOPIDOGREL 300 MG PO TABS,0.08,4,46,4,0.0392156862745098,2,49,4,0.43638049371947496
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,0.08,4,46,4,0.0392156862745098,2,49,2,0.43638049371947496
DIPHENHYDRAMINE HCL 25 MG PO CAPS,0.08,4,46,4,0.0392156862745098,2,49,2,0.43638049371947496
LOSARTAN 25 MG PO TABS,0.08,4,46,8,0.0392156862745098,2,49,2,0.43638049371947496
LISINOPRIL 5 MG PO TABS,0.08,4,46,6,0.0392156862745098,2,49,3,0.43638049371947496
IODIXANOL 320 MG IODINE/ML IV SOLN + PLUSPAK (RADIOLOGY) 50 ML,0.08,4,46,4,0.0392156862745098,2,49,2,0.43638049371947496
GABAPENTIN 300 MG PO CAPS,0.08,4,46,4,0.0392156862745098,2,49,2,0.43638049371947496
SENNOSIDES 8.6 MG PO TABS,0.96,48,2,67,0.9019607843137255,46,5,52,0.43638049371947496
VANCOMYCIN-WATER INJECT (PEG) 1 GRAM/200 ML IV PGBK,0.08,4,46,5,0.0392156862745098,2,49,2,0.43638049371947496
HYDRALAZINE 25 MG PO TABS,0.08,4,46,7,0.0392156862745098,2,49,2,0.43638049371947496
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.82,41,9,95,0.7450980392156863,38,13,91,0.4707673271852497
ASCORBIC ACID (VITAMIN C) 500 MG PO TABS,0.1,5,45,6,0.058823529411764705,3,48,4,0.48740289113013313
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.1,5,45,5,0.058823529411764705,3,48,3,0.48740289113013313
AMIODARONE 200 MG PO TABS,0.1,5,45,7,0.058823529411764705,3,48,3,0.48740289113013313
LOSARTAN 50 MG PO TABS,0.1,5,45,5,0.058823529411764705,3,48,5,0.48740289113013313
FUROSEMIDE 40 MG PO TABS,0.1,5,45,5,0.058823529411764705,3,48,5,0.48740289113013313
FUROSEMIDE 10 MG/ML INJ SOLN,0.12,6,44,7,0.0784313725490196,4,47,4,0.5250668364055175
HYDROMORPHONE 1 MG/ML INJ SYRG,0.38,19,31,43,0.45098039215686275,23,28,43,0.5463981267711902
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.48,24,26,25,0.5490196078431373,28,23,30,0.5526105782148913
POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.9,45,5,56,0.8431372549019608,43,8,44,0.5541443770337511
BENZOCAINE-MENTHOL SUGAR FREE MAXIMUM STRENGTH LOZG,0.88,44,6,53,0.8235294117647058,42,9,43,0.5773138405867724
THERAPEUTIC MULTIVITAMIN (GENERIC) PO TABS,0.88,44,6,52,0.8235294117647058,42,9,44,0.5773138405867724
BUPIVACAINE HCL 0.25 % (2.5 MG/ML) INJ SOLN,0.12,6,44,7,0.17647058823529413,9,42,9,0.5773138405867726
LIDOCAINE HCL 10 MG/ML (1 %) INJ SOLN,0.2,10,40,10,0.1568627450980392,8,43,8,0.6118844940335454
SODIUM PHOSPHATES 19-7 GRAM/118 ML PR ENEM,0.04,2,48,2,0.0196078431372549,1,50,1,0.6174617461746174
PHENYLEPHRINE HCL IN 0.9% NACL 40 MG/250 ML (160 MCG/ML) IV SOLN,0.04,2,48,2,0.0196078431372549,1,50,1,0.6174617461746174
NITROGLYCERIN 0.4 MG SL SUBL,0.04,2,48,2,0.0196078431372549,1,50,1,0.6174617461746174
LISINOPRIL 20 MG PO TABS,0.04,2,48,2,0.0196078431372549,1,50,1,0.6174617461746174
METFORMIN 500 MG PO TABS,0.04,2,48,2,0.0196078431372549,1,50,1,0.6174617461746174
ALBUTEROL SULFATE 2.5 MG /3 ML (0.083 %) INH NEBU,0.04,2,48,2,0.0196078431372549,1,50,1,0.6174617461746174
CARVEDILOL 25 MG PO TABS,0.04,2,48,3,0.0196078431372549,1,50,1,0.6174617461746174
FLUTICASONE FUROATE-VILANTEROL 200-25 MCG/DOSE INH DSDV,0.04,2,48,2,0.0196078431372549,1,50,1,0.6174617461746174
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.04,2,48,4,0.0196078431372549,1,50,1,0.6174617461746174
