med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
MIDAZOLAM 1 MG/ML INJ SOLN,0.3037974683544304,24,55,58,0.06,6,94,8,1.5643281432927506e-05
CEFEPIME 2 GRAM/50 ML NS EXTENDED INFUSION MINIBAG PLUS,0.26582278481012656,21,58,36,0.04,4,96,7,1.6825978254021834e-05
CEFEPIME 2 GRAM/50 ML MINIBAG PLUS,0.27848101265822783,22,57,44,0.05,5,95,5,3.1901088644233547e-05
EPINEPHRINE HCL IN 0.9 % NACL 100 MCG/10 ML (10 MCG/ML) IV SYRG,0.17721518987341772,14,65,40,0.01,1,99,1,4.9997868207753645e-05
NITRIC OXIDE GAS FOR INHALATION,0.26582278481012656,21,58,155,0.05,5,95,41,6.611555462685285e-05
SENNA LEAF EXTRACT 176 MG/5 ML PO SYRP,0.22784810126582278,18,61,31,0.03,3,97,5,7.936194451520182e-05
ACETAMINOPHEN 650 MG/20.3 ML PO SOLN,0.25316455696202533,20,59,55,0.05,5,95,9,0.0001354437204733402
*PO TO FT CONVERSION PER PHARMACY PROTOCOL,0.189873417721519,15,64,15,0.02,2,98,2,0.00013941707449551425
DOCUSATE SODIUM 50 MG/5 ML PO LIQD,0.189873417721519,15,64,29,0.02,2,98,4,0.00013941707449551425
PRO-STAT SUGAR FREE - VANILLA FLAVORED,0.189873417721519,15,64,37,0.02,2,98,3,0.00013941707449551425
PANTOPRAZOLE 40 MG IV SOLR,0.4430379746835443,35,44,59,0.18,18,82,22,0.0001511690838417057
FUROSEMIDE 100 MG/100 ML NS MINIBAG PLUS CONTINUOUS INFUSION,0.26582278481012656,21,58,40,0.06,6,94,6,0.00022622158578706268
VANCOMYCIN PER PHARMACY PROTOCOL (INPATIENT USE ONLY),0.26582278481012656,21,58,52,0.06,6,94,9,0.00022622158578706268
LIDOCAINE HCL 2 % JELLY,0.17721518987341772,14,65,24,0.02,2,98,2,0.0003030659548673695
