med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
SUVOREXANT 10 MG PO TABS,0.3018867924528302,16,37,34,0.031746031746031744,2,61,3,5.990828758877041e-05
VANCOMYCIN PER PHARMACY PROTOCOL (INPATIENT USE ONLY),0.39622641509433965,21,32,27,0.07936507936507936,5,58,6,8.772799329907249e-05
LIDOCAINE 4 % TP CREA,0.3018867924528302,16,37,23,0.047619047619047616,3,60,4,0.00027592535885520895
TAMSULOSIN 0.4 MG PO CAPS,0.3584905660377358,19,34,48,0.09523809523809523,6,57,10,0.0011854254154421038
CEFEPIME 2 GRAM/50 ML MINIBAG PLUS,0.3584905660377358,19,34,26,0.09523809523809523,6,57,7,0.0011854254154421038
MINERAL OIL PR ENEM,0.2641509433962264,14,39,16,0.047619047619047616,3,60,3,0.001262706582641715
PROPOFOL 10 MG/ML IV INFUSION,0.6037735849056604,32,21,59,0.30158730158730157,19,44,21,0.0014088444667866788
CEFEPIME 2 GRAM/50 ML NS EXTENDED INFUSION MINIBAG PLUS,0.32075471698113206,17,36,25,0.07936507936507936,5,58,10,0.0015649244841344561
ALTEPLASE 2 MG INTRA-CATHET SOLR,0.2830188679245283,15,38,40,0.06349206349206349,4,59,5,0.0020412466636755416
PANTOPRAZOLE 40 MG IV SOLR,0.49056603773584906,26,27,39,0.2222222222222222,14,49,18,0.0032362735636704714
IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.5471698113207547,29,24,52,0.2698412698412698,17,46,20,0.004030547251044851
INSULIN LISPRO 100 UNIT/ML SC MODERATE SCALE NPO,0.2641509433962264,14,39,14,0.06349206349206349,4,59,4,0.0040420635028788395
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,0.16981132075471697,9,44,10,0.015873015873015872,1,62,1,0.005228431668336308
MIDAZOLAM 1 MG/ML INJ SOLN,0.2830188679245283,15,38,31,0.07936507936507936,5,58,6,0.0058183221519758745
PHENYLEPHRINE HCL IN 0.9% NACL 1 MG/10 ML (100 MCG/ML) IV SYRG,0.39622641509433965,21,32,45,0.15873015873015872,10,53,17,0.005833199877520524
POTASSIUM CHLORIDE 20 MEQ/15 ML PO LIQD,0.39622641509433965,21,32,52,0.15873015873015872,10,53,14,0.005833199877520524
PROPOFOL 10 MG/ML IV INJECTION,0.3018867924528302,16,37,44,0.09523809523809523,6,57,9,0.007928456608616751
CEFAZOLIN IV PUSH (1 GRAM VIAL + NS VIAL),0.6981132075471698,37,16,57,0.4444444444444444,28,35,33,0.008436683248767177
IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML INH NEBU,0.5849056603773585,31,22,52,0.3333333333333333,21,42,35,0.008728845149984048
HEPARIN IV INFUSION (LVAD PROTOCOL - HIGH BLEED RISK),0.20754716981132076,11,42,20,0.047619047619047616,3,60,6,0.010363996673106361
PRO-STAT SUGAR FREE - VANILLA FLAVORED,0.1509433962264151,8,45,12,0.015873015873015872,1,62,1,0.011010237629034424
MIDODRINE 5 MG PO TABS,0.18867924528301888,10,43,64,0.031746031746031744,2,61,5,0.011406718604926185
DEXTROSE 5 % IN WATER (D5W) IV SOLP,0.2830188679245283,15,38,18,0.09523809523809523,6,57,8,0.014271515835339914
SODIUM PHOSPHATE IVPB SCALE 15 MMOL,0.5660377358490566,30,23,31,0.3333333333333333,21,42,23,0.014928437734660667
SODIUM PHOSPHATE IVPB SCALE 30 MMOL,0.5660377358490566,30,23,31,0.3333333333333333,21,42,23,0.014928437734660667
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.6037735849056604,32,21,83,0.36507936507936506,23,40,33,0.015005032880435362
SODIUM BICARBONATE 1 MEQ/ML (8.4 %) IV SOLN,0.4528301886792453,24,29,71,0.23809523809523808,15,48,30,0.018328054658504865
EPINEPHRINE HCL IN 0.9 % NACL 4 MG/250 ML (16 MCG/ML) IV SOLN,0.9056603773584906,48,5,66,0.7301587301587301,46,17,53,0.0183992014515941
EPOPROSTENOL (VELETRI) 40 MCG/ML INHALATION SYRINGE (PREMIX) - NEW CONCENTRATION,0.24528301886792453,13,40,19,0.07936507936507936,5,58,7,0.019650622694801636
SODIUM CHLORIDE 0.9% FOR INHALED EPOPROSTENOL ADMINISTRATION,0.24528301886792453,13,40,19,0.07936507936507936,5,58,7,0.019650622694801636
*PO TO FT CONVERSION PER PHARMACY PROTOCOL,0.18867924528301888,10,43,11,0.047619047619047616,3,60,3,0.019859155491700843
INSULIN REGULAR 100 UNIT/ML SC MODERATE SCALE NPO,0.18867924528301888,10,43,11,0.047619047619047616,3,60,4,0.019859155491700843
INSULIN LISPRO 100 UNIT/ML SC SOLN,0.018867924528301886,1,52,1,0.14285714285714285,9,54,24,0.02060600933602074
POTASSIUM PHOSPHATE IN 100 ML IVPB CENTRAL LINE,0.16981132075471697,9,44,16,0.031746031746031744,2,61,2,0.022070884854082866
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.3018867924528302,16,37,38,0.12698412698412698,8,55,11,0.023426039986607673
VASOPRESSIN IN 0.9 % SOD CHLOR 60 UNIT/100 ML (0.6 UNIT/ML) IV SOLN,0.6226415094339622,33,20,65,0.4126984126984127,26,37,30,0.02699169972556821
NITRIC OXIDE GAS FOR INHALATION,0.20754716981132076,11,42,113,0.06349206349206349,4,59,37,0.02700102059018698
INSULIN REGULAR IN 0.9 % NACL 100 UNIT/100 ML (1 UNIT/ML) IV SOLN,0.7924528301886793,42,11,64,0.5873015873015873,37,26,53,0.027221812970125308
DEXTROSE 50 % IN WATER (D50W) IV SYRG,1.0,53,0,154,0.9047619047619048,57,6,135,0.030635896348330076
SENNA LEAF EXTRACT 176 MG/5 ML PO SYRP,0.22641509433962265,12,41,14,0.07936507936507936,5,58,7,0.03472561727344264
