med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
ACETAMINOPHEN 500 MG PO TABS,0.3333333333333333,24,48,38,0.09230769230769231,6,59,6,0.0007856111299534605
OXYCODONE 5 MG PO TABS,0.3194444444444444,23,49,50,0.1076923076923077,7,58,13,0.0034884959651620374
ATORVASTATIN 20 MG PO TABS,0.18055555555555555,13,59,15,0.046153846153846156,3,62,4,0.01671915654142436
INSULIN LISPRO 100 UNIT/ML SC AGGRESSIVE SCALE FEEDING (BEDTIME),0.125,9,63,11,0.015384615384615385,1,64,1,0.018644442507580183
INSULIN LISPRO 100 UNIT/ML SC AGGRESSIVE SCALE FEEDING (MEALS),0.125,9,63,11,0.015384615384615385,1,64,1,0.018644442507580183
VANCOMYCIN PER PHARMACY PROTOCOL (INPATIENT USE ONLY),0.125,9,63,14,0.015384615384615385,1,64,1,0.018644442507580183
CHLOROTHIAZIDE SODIUM 500 MG IV SOLR,0.1388888888888889,10,62,53,0.03076923076923077,2,63,2,0.03333794117355359
CARVEDILOL 6.25 MG PO TABS,0.2777777777777778,20,52,33,0.12307692307692308,8,57,18,0.033363240349416894
ALTEPLASE 2 MG INTRA-CATHET SOLR,0.1111111111111111,8,64,21,0.015384615384615385,1,64,1,0.03513018548232789
LOSARTAN 50 MG PO TABS,0.041666666666666664,3,69,7,0.15384615384615385,10,55,14,0.03859074481849397
POTASSIUM CHLORIDE 10 MEQ PO TBTQ,0.2916666666666667,21,51,31,0.13846153846153847,9,56,9,0.038603659749483266
PREDNISONE 5 MG PO TABS,0.027777777777777776,2,70,5,0.12307692307692308,8,57,10,0.04677977660606034
CLOPIDOGREL 75 MG PO TABS,0.19444444444444445,14,58,17,0.07692307692307693,5,60,5,0.051971698513646455
MYCOPHENOLATE MOFETIL 250 MG PO CAPS,0.013888888888888888,1,71,2,0.09230769230769231,6,59,12,0.05277158257189899
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,0.125,9,63,13,0.03076923076923077,2,63,2,0.058632555997579425
ONDANSETRON 4 MG PO TBDL,0.625,45,27,55,0.46153846153846156,30,35,33,0.06087423323968941
ATORVASTATIN 40 MG PO TABS,0.375,27,45,38,0.2153846153846154,14,51,19,0.06108686086908463
FUROSEMIDE IVPB,0.09722222222222222,7,65,16,0.015384615384615385,1,64,1,0.06517604642308228
FINASTERIDE 5 MG PO TABS,0.09722222222222222,7,65,12,0.015384615384615385,1,64,2,0.06517604642308228
INSULIN NPH ISOPH U-100 HUMAN 100 UNIT/ML SC SUSP,0.18055555555555555,13,59,36,0.07692307692307693,5,60,11,0.08220671698386611
HYDRALAZINE 10 MG PO TABS,0.18055555555555555,13,59,22,0.07692307692307693,5,60,6,0.08220671698386611
HYDROCHLOROTHIAZIDE 25 MG PO TABS,0.18055555555555555,13,59,44,0.07692307692307693,5,60,6,0.08220671698386611
WHITE PETROLATUM-MINERAL OIL OPHTH OINT WRAPPER,0.1388888888888889,10,62,14,0.046153846153846156,3,62,3,0.08241123169705966
BISACODYL 10 MG PR SUPP,0.2638888888888889,19,53,27,0.13846153846153847,9,56,10,0.08987448433821685
FLUTICASONE FUROATE-VILANTEROL 100-25 MCG/DOSE INH DSDV,0.1111111111111111,8,64,9,0.03076923076923077,2,63,2,0.1010731573813187
ENOXAPARIN 30 MG/0.3 ML SC SYRG,0.1527777777777778,11,61,12,0.06153846153846154,4,61,4,0.10543607478775163
CARVEDILOL 12.5 MG PO TABS,0.2222222222222222,16,56,28,0.1076923076923077,7,58,11,0.10803270701886966
METOPROLOL SUCCINATE 25 MG PO TB24,0.06944444444444445,5,67,7,0.16923076923076924,11,54,22,0.1081680737053918
DIGOXIN 125 MCG (0.125 MG) PO TABS,0.041666666666666664,3,69,7,0.12307692307692308,8,57,22,0.1154939923645866
SIMETHICONE 80 MG PO CHEW,0.08333333333333333,6,66,10,0.015384615384615385,1,64,1,0.11880110828241522
MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.08333333333333333,6,66,7,0.015384615384615385,1,64,1,0.11880110828241522
SODIUM POLYSTYRENE SULFONATE PO POWD,0.08333333333333333,6,66,11,0.015384615384615385,1,64,1,0.11880110828241522
LIDOCAINE HCL 2 % JELLY (URO-JET),0.08333333333333333,6,66,8,0.015384615384615385,1,64,1,0.11880110828241522
AMLODIPINE 5 MG PO TABS,0.25,18,54,22,0.13846153846153847,9,56,11,0.1326123154276954
IRON SUCROSE 100 MG IRON/5 ML IV SOLN,0.125,9,63,12,0.046153846153846156,3,62,4,0.13451640046965696
INSULIN REGULAR HUMAN 100 UNIT/ML INJ SOLN,0.125,9,63,21,0.046153846153846156,3,62,3,0.13451640046965696
HYDROXYZINE HCL 25 MG PO TABS,0.125,9,63,21,0.046153846153846156,3,62,3,0.13451640046965696
GABAPENTIN 100 MG PO CAPS,0.125,9,63,18,0.046153846153846156,3,62,4,0.13451640046965696
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.19444444444444445,14,58,23,0.09230769230769231,6,59,11,0.14472128861996883
PSYLLIUM HUSK (ASPARTAME) 3.4 GRAM PO PWPK,0.18055555555555555,13,59,13,0.09230769230769231,6,59,6,0.14771592366934205
ACETAMINOPHEN 325 MG PO TABS,0.8333333333333334,60,12,85,0.7230769230769231,47,18,58,0.14869131821019632
LEVOTHYROXINE 50 MCG PO TABS,0.027777777777777776,2,70,2,0.09230769230769231,6,59,8,0.14964892015355127
SODIUM BICARBONATE 650 MG PO TABS,0.027777777777777776,2,70,4,0.09230769230769231,6,59,9,0.14964892015355127
BUMETANIDE 2 MG PO TABS,0.2777777777777778,20,52,65,0.16923076923076924,11,54,27,0.15472391157409807
DIPHENHYDRAMINE HCL 25 MG PO CAPS,0.09722222222222222,7,65,11,0.03076923076923077,2,63,2,0.17033655971572267
SILDENAFIL (PULM.HYPERTENSION) 20 MG PO TABS,0.09722222222222222,7,65,15,0.03076923076923077,2,63,3,0.17033655971572267
LIDOCAINE HCL 2 % VISCOUS ORAL SOLN,0.09722222222222222,7,65,7,0.03076923076923077,2,63,2,0.17033655971572267
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.5972222222222222,43,29,56,0.47692307692307695,31,34,36,0.17328599912000936
GABAPENTIN 300 MG PO CAPS,0.2222222222222222,16,56,41,0.12307692307692308,8,57,11,0.1767471708162831
ROSUVASTATIN 10 MG PO TABS,0.013888888888888888,1,71,1,0.06153846153846154,4,61,6,0.1900551253809819
DIGOXIN 250 MCG (0.25 MG) PO TABS,0.013888888888888888,1,71,2,0.06153846153846154,4,61,6,0.1900551253809819
ROSUVASTATIN 20 MG PO TABS,0.013888888888888888,1,71,1,0.06153846153846154,4,61,4,0.1900551253809819
GUAIFENESIN 100 MG/5 ML PO LIQD,0.06944444444444445,5,67,7,0.015384615384615385,1,64,1,0.21208321090000132
NS IV BOLUS - 500 ML,0.06944444444444445,5,67,5,0.015384615384615385,1,64,1,0.21208321090000132
HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,0.06944444444444445,5,67,7,0.015384615384615385,1,64,1,0.21208321090000132
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN (RT PANEL),0.06944444444444445,5,67,8,0.015384615384615385,1,64,1,0.21208321090000132
SODIUM HYPOCHLORITE 0.0125 % TP SOLN,0.06944444444444445,5,67,9,0.015384615384615385,1,64,1,0.21208321090000132
PIPERACILLIN-TAZOBACTAM-DEXTRS 3.375 GRAM/50 ML IV PGBK,0.06944444444444445,5,67,13,0.015384615384615385,1,64,2,0.21208321090000132
SODIUM CHLORIDE 0.65 % NASAL SPRA,0.06944444444444445,5,67,6,0.015384615384615385,1,64,1,0.21208321090000132
CEFEPIME 2 GRAM/50 ML NS EXTENDED INFUSION MINIBAG PLUS,0.1111111111111111,8,64,14,0.046153846153846156,3,62,3,0.21424809440462345
BENZONATATE 100 MG PO CAPS,0.1111111111111111,8,64,10,0.046153846153846156,3,62,3,0.21424809440462345
LORAZEPAM 2 MG/ML INJ SOLN,0.1111111111111111,8,64,13,0.046153846153846156,3,62,4,0.21424809440462345
NALOXONE 0.4 MG/ML INJ SOLN,0.4583333333333333,33,39,35,0.35384615384615387,23,42,24,0.22828280359876785
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.2777777777777778,20,52,40,0.18461538461538463,12,53,19,0.22876050777619472
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.7916666666666666,57,15,115,0.6923076923076923,45,20,61,0.2393653967306189
LIDOCAINE 5 % TP PTMD,0.3055555555555556,22,50,43,0.2153846153846154,14,51,19,0.249800844803592
BUMETANIDE 0.25 MG/ML INJ SOLN,0.125,9,63,15,0.06153846153846154,4,61,5,0.2517530302080008
TRAMADOL 50 MG PO TABS,0.125,9,63,12,0.06153846153846154,4,61,6,0.2517530302080008
DOCUSATE SODIUM 100 MG PO CAPS,0.20833333333333334,15,57,21,0.12307692307692308,8,57,9,0.25262962601850575
ASPIRIN 81 MG PO TBEC,0.3333333333333333,24,48,28,0.23076923076923078,15,50,22,0.2552131652572898
COLCHICINE 0.6 MG PO TABS,0.027777777777777776,2,70,5,0.07692307692307693,5,60,7,0.2560695280944274
APIXABAN 2.5 MG PO TABS,0.06944444444444445,5,67,7,0.13846153846153847,9,56,12,0.2594518904461706
FERROUS SULFATE 325 MG (65 MG IRON) PO TABS,0.2222222222222222,16,56,22,0.13846153846153847,9,56,12,0.26896157193513703
NITROGLYCERIN IN D5W 50 MG/250 ML (MCG/MIN) INFUSION,0.08333333333333333,6,66,6,0.03076923076923077,2,63,2,0.27967629386041404
LORAZEPAM 0.5 MG PO TABS,0.08333333333333333,6,66,8,0.03076923076923077,2,63,2,0.27967629386041404
BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.08333333333333333,6,66,6,0.03076923076923077,2,63,2,0.27967629386041404
HYDROMORPHONE 1 MG/ML INJ SYRG,0.1388888888888889,10,62,24,0.07692307692307693,5,60,6,0.28405090550409506
POTASSIUM CHLORIDE 20 MEQ PO TBTQ,0.5833333333333334,42,30,163,0.49230769230769234,32,33,86,0.3073547090362177
ASPIRIN 325 MG PO TABS,0.041666666666666664,3,69,3,0.09230769230769231,6,59,6,0.30785054020718383
APIXABAN 5 MG PO TABS,0.20833333333333334,15,57,33,0.2923076923076923,19,46,27,0.32267699702389474
LIDOCAINE 4 % TP CREA,0.18055555555555555,13,59,16,0.1076923076923077,7,58,8,0.3327198219607994
"HEPARIN, PORCINE (PF) 5,000 UNIT/0.5 ML INJ SOLN",0.18055555555555555,13,59,14,0.1076923076923077,7,58,7,0.3327198219607994
SENNOSIDES 8.6 MG PO TABS,0.7083333333333334,51,21,95,0.7846153846153846,51,14,66,0.3327668333538394
INSULIN LISPRO 100 UNIT/ML SC SOLN,0.16666666666666666,12,60,20,0.1076923076923077,7,58,14,0.3367512774728234
CALCITRIOL 0.25 MCG PO CAPS,0.013888888888888888,1,71,2,0.046153846153846156,3,62,3,0.34540265610547516
MAGNESIUM L-LACTATE 84 MG PO TBSR,0.013888888888888888,1,71,1,0.046153846153846156,3,62,4,0.34540265610547516
DOCUSATE SODIUM 250 MG PO CAPS,0.013888888888888888,1,71,1,0.046153846153846156,3,62,3,0.34540265610547516
TIMOLOL MALEATE 0.5 % OPHT DROP,0.013888888888888888,1,71,2,0.046153846153846156,3,62,4,0.34540265610547516
ALBUTEROL SULFATE 2.5 MG/0.5 ML INH NEBU,0.013888888888888888,1,71,1,0.046153846153846156,3,62,3,0.34540265610547516
AZITHROMYCIN 250 MG PO TABS,0.05555555555555555,4,68,11,0.1076923076923077,7,58,13,0.3495390981743991
MELATONIN 3 MG PO TABS,0.19444444444444445,14,58,17,0.12307692307692308,8,57,9,0.35187926977306894
IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML INH NEBU,0.3611111111111111,26,46,70,0.27692307692307694,18,47,26,0.360277917217229
AMLODIPINE 2.5 MG PO TABS,0.05555555555555555,4,68,4,0.015384615384615385,1,64,1,0.36906280106551825
VANCOMYCIN PER PHARMACY PROTOCOL (ED USE ONLY),0.05555555555555555,4,68,4,0.015384615384615385,1,64,1,0.36906280106551825
WARFARIN 2 MG PO TABS,0.05555555555555555,4,68,6,0.015384615384615385,1,64,2,0.36906280106551825
HALOPERIDOL LACTATE 5 MG/ML INJ SOLN,0.05555555555555555,4,68,8,0.015384615384615385,1,64,1,0.36906280106551825
"LIDOCAINE-EPINEPHRINE 1 %-1:100,000 INJ SOLN",0.05555555555555555,4,68,4,0.015384615384615385,1,64,1,0.36906280106551825
CHLOROTHIAZIDE 250 MG/5 ML PO SUSP,0.05555555555555555,4,68,23,0.015384615384615385,1,64,1,0.36906280106551825
ONDANSETRON 8 MG PO TBDL,0.05555555555555555,4,68,5,0.015384615384615385,1,64,1,0.36906280106551825
LABETALOL 5 MG/ML IV SOLN,0.05555555555555555,4,68,4,0.015384615384615385,1,64,2,0.36906280106551825
MIDAZOLAM 1 MG/ML INJ SOLN,0.1111111111111111,8,64,17,0.06153846153846154,4,61,4,0.3737114822745564
SPIRONOLACTONE 50 MG PO TABS,0.1111111111111111,8,64,15,0.06153846153846154,4,61,4,0.3737114822745564
GLUCOSE 4 GRAM PO CHEW,0.4166666666666667,30,42,38,0.3384615384615385,22,43,22,0.38145797144689575
BUMETANIDE IVPB,0.2222222222222222,16,56,66,0.15384615384615385,10,55,33,0.3845604369755797
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.4861111111111111,35,37,64,0.4,26,39,34,0.38962948942931486
MELATONIN 5 MG PO TABS,0.5,36,36,49,0.4153846153846154,27,38,30,0.39119482946783257
RIVAROXABAN 20 MG PO TABS,0.027777777777777776,2,70,3,0.06153846153846154,4,61,11,0.422647180400863
INSULIN LISPRO 100 UNIT/ML SC MODERATE SCALE FEEDING (MEALS),0.2638888888888889,19,53,20,0.2,13,52,13,0.4230115196038706
INSULIN LISPRO 100 UNIT/ML SC MODERATE SCALE FEEDING (BEDTIME),0.2638888888888889,19,53,20,0.2,13,52,13,0.4230115196038706
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.1388888888888889,10,62,37,0.09230769230769231,6,59,11,0.4366265689579758
ALUM-MAG HYDROXIDE-SIMETH 200-200-20 MG/5 ML PO SUSP,0.06944444444444445,5,67,6,0.03076923076923077,2,63,3,0.4452884674439665
SENNA 8.6 MG PO TABS,0.06944444444444445,5,67,5,0.03076923076923077,2,63,2,0.4452884674439665
SACUBITRIL-VALSARTAN 49-51 MG PO TABS,0.06944444444444445,5,67,11,0.03076923076923077,2,63,4,0.4452884674439665
LIDOCAINE-PRILOCAINE 2.5-2.5 % TP CREA,0.06944444444444445,5,67,11,0.03076923076923077,2,63,2,0.4452884674439665
CETIRIZINE 10 MG PO TABS,0.06944444444444445,5,67,7,0.03076923076923077,2,63,2,0.4452884674439665
FLUTICASONE FUROATE-VILANTEROL 200-25 MCG/DOSE INH DSDV,0.06944444444444445,5,67,5,0.03076923076923077,2,63,2,0.4452884674439665
LIDOCAINE HCL 10 MG/ML (1 %) INJ SOLN,0.06944444444444445,5,67,5,0.03076923076923077,2,63,2,0.4452884674439665
MIDODRINE 5 MG PO TABS,0.06944444444444445,5,67,33,0.03076923076923077,2,63,2,0.4452884674439665
IPRATROPIUM BROMIDE 0.02 % INH SOLN,0.1111111111111111,8,64,9,0.16923076923076924,11,54,15,0.45853441789116933
CEFTRIAXONE 1 GRAM/10 ML IV PUSH (VIAL ONLY),0.1527777777777778,11,61,12,0.1076923076923077,7,58,10,0.46104307084665175
ZZZ IMS TEMPLATE,0.3611111111111111,26,46,40,0.2923076923076923,19,46,25,0.4671912171866387
BUMETANIDE 1 MG PO TABS,0.125,9,63,18,0.16923076923076924,11,54,22,0.47950176144807133
FUROSEMIDE 40 MG PO TABS,0.4305555555555556,31,41,63,0.36923076923076925,24,41,57,0.48972844875636823
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.08333333333333333,6,66,13,0.046153846153846156,3,62,3,0.4983557621497967
LACTULOSE 20 GRAM/30 ML PO SOLN,0.08333333333333333,6,66,8,0.046153846153846156,3,62,3,0.4983557621497967
AMLODIPINE 10 MG PO TABS,0.08333333333333333,6,66,9,0.046153846153846156,3,62,3,0.4983557621497967
