med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
NALBUPHINE 10 MG/ML INJ SOLN,0.2,10,40,14,0.016666666666666666,1,59,1,0.002337067896443949
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,0.24,12,38,15,0.05,3,57,3,0.004900158727472366
GABAPENTIN 300 MG PO CAPS,0.58,29,21,71,0.31666666666666665,19,41,35,0.007028621976714957
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),1.0,50,0,177,0.8666666666666667,52,8,138,0.007555423564346809
SENNA LEAF EXTRACT 176 MG/5 ML PO SYRP,0.16,8,42,19,0.016666666666666666,1,59,3,0.010660730883831895
PHENYLEPHRINE HCL IN 0.9% NACL 40 MG/250 ML (160 MCG/ML) IV SOLN,0.14,7,43,12,0.016666666666666666,1,59,1,0.02218315554794984
CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,0.16,8,42,9,0.03333333333333333,2,58,4,0.04105589982441541
PROPOFOL 10 MG/ML IV INFUSION,0.16,8,42,23,0.03333333333333333,2,58,5,0.04105589982441541
NARCAN 4 MG/ACTUATION NASAL SPRY,0.12,6,44,6,0.016666666666666666,1,59,1,0.04523733772494973
HYDROMORPHONE 20 MG IN NS 100 ML IV INFUSION,0.12,6,44,11,0.016666666666666666,1,59,1,0.04523733772494973
PHENYLEPHRINE HCL IN 0.9% NACL 1 MG/10 ML (100 MCG/ML) IV SYRG,0.12,6,44,27,0.016666666666666666,1,59,2,0.04523733772494973
PRO-STAT SUGAR FREE - VANILLA FLAVORED,0.12,6,44,16,0.016666666666666666,1,59,2,0.04523733772494973
HALOPERIDOL 2 MG PO TABS,0.12,6,44,7,0.016666666666666666,1,59,1,0.04523733772494973
CEFEPIME 2 GRAM/50 ML MINIBAG PLUS,0.12,6,44,9,0.016666666666666666,1,59,2,0.04523733772494973
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.2,10,40,19,0.06666666666666667,4,56,4,0.046346215346499756
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.94,47,3,85,0.8,48,12,65,0.049102920518723774
FUROSEMIDE 10 MG/ML INJ SOLN,0.28,14,36,101,0.11666666666666667,7,53,36,0.04961256162259067
ACETAMINOPHEN 325 MG PO TABS,0.58,29,21,61,0.75,45,15,76,0.06856964019174132
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.24,12,38,21,0.1,6,54,8,0.06919587521552534
INSULIN REGULAR HUMAN 100 UNIT/ML INJ SOLN,0.14,7,43,15,0.03333333333333333,2,58,2,0.07628742696239732
ACETAMINOPHEN 650 MG/20.3 ML PO SOLN,0.14,7,43,16,0.03333333333333333,2,58,4,0.07628742696239732
