med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
VANCOMYCIN PER PHARMACY PROTOCOL (INPATIENT USE ONLY),0.37037037037037035,20,34,33,0.03773584905660377,2,51,3,2.0096327428673342e-05
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.4074074074074074,22,32,64,0.09433962264150944,5,48,6,0.000271541310090669
NORMOSOL-R IV BOLUS - 500 ML,0.42592592592592593,23,31,114,0.11320754716981132,6,47,11,0.0003948807040645566
FUROSEMIDE 10 MG/ML INJ SOLN,0.4074074074074074,22,32,177,0.11320754716981132,6,47,18,0.0007933618230571164
WHITE PETROLATUM-MINERAL OIL OPHTH OINT WRAPPER,0.3148148148148148,17,37,23,0.05660377358490566,3,50,3,0.000898359363316085
CEFEPIME 2 GRAM/50 ML MINIBAG PLUS,0.2777777777777778,15,39,23,0.03773584905660377,2,51,3,0.0009853192977055877
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN",0.37037037037037035,20,34,74,0.09433962264150944,5,48,7,0.0011106183916150798
PANTOPRAZOLE 40 MG IV SOLR,0.2962962962962963,16,38,31,0.05660377358490566,3,50,7,0.0018074334658095027
LIDOCAINE 4 % TP CREA,0.2222222222222222,12,42,21,0.018867924528301886,1,52,1,0.0019065302171073584
PIPERACILLIN-TAZOBACTAM-DEXTRS 3.375 GRAM/50 ML IV PGBK,0.2222222222222222,12,42,32,0.018867924528301886,1,52,2,0.0019065302171073584
NOREPINEPHRINE BITARTRATE-NACL 4 MG/250 ML (16 MCG/ML) IV SOLN,0.25925925925925924,14,40,31,0.03773584905660377,2,51,4,0.002016740106034488
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.4444444444444444,24,30,52,0.16981132075471697,9,44,14,0.003122430623418076
NORMOSOL-R IV BOLUS - 1000 ML,0.2777777777777778,15,39,31,0.05660377358490566,3,50,3,0.0035544260730303212
ACETAMINOPHEN 500 MG PO TABS,0.6111111111111112,33,21,72,0.32075471698113206,17,36,25,0.0035921872197405037
VASOPRESSIN IN 0.9 % SOD CHLOR 60 UNIT/100 ML (0.6 UNIT/ML) IV SOLN,0.2037037037037037,11,43,20,0.018867924528301886,1,52,2,0.00395322544642516
PHENYLEPHRINE HCL IN 0.9% NACL 1 MG/10 ML (100 MCG/ML) IV SYRG,0.24074074074074073,13,41,40,0.03773584905660377,2,51,7,0.004041846815070499
DEXMEDETOMIDINE IN 0.9 % NACL 400 MCG/100 ML (4 MCG/ML) IV SOLN,0.24074074074074073,13,41,73,0.03773584905660377,2,51,3,0.004041846815070499
CEFEPIME 2 GRAM/50 ML NS EXTENDED INFUSION MINIBAG PLUS,0.24074074074074073,13,41,20,0.03773584905660377,2,51,2,0.004041846815070499
POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,0.35185185185185186,19,35,32,0.11320754716981132,6,47,7,0.005493395534251411
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.42592592592592593,23,31,48,0.16981132075471697,9,44,12,0.005683801521794298
ACETAMINOPHEN 650 MG/20.3 ML PO SOLN,0.25925925925925924,14,40,42,0.05660377358490566,3,50,5,0.006830037211569356
FAMOTIDINE (PF) 20 MG/2 ML IV SOLN,0.25925925925925924,14,40,18,0.05660377358490566,3,50,3,0.006830037211569356
CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,0.3148148148148148,17,37,29,0.09433962264150944,5,48,8,0.007598862446349462
BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.2222222222222222,12,42,16,0.03773584905660377,2,51,3,0.007928123023363418
EPINEPHRINE HCL IN 0.9 % NACL 4 MG/250 ML (16 MCG/ML) IV SOLN,0.18518518518518517,10,44,16,0.018867924528301886,1,52,2,0.008046615905060764
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,0.18518518518518517,10,44,14,0.018867924528301886,1,52,1,0.008046615905060764
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.3888888888888889,21,33,62,0.1509433962264151,8,45,9,0.008511561592115389
AMLODIPINE 5 MG PO TABS,0.2777777777777778,15,39,30,0.07547169811320754,4,49,8,0.010105648350108392
ASPIRIN 81 MG PO CHEW,0.24074074074074073,13,41,30,0.05660377358490566,3,50,6,0.012817309220893216
PROPOFOL 10 MG/ML IV INFUSION,0.24074074074074073,13,41,40,0.05660377358490566,3,50,5,0.012817309220893216
GLUCOSE 4 GRAM PO CHEW,0.4444444444444444,24,30,40,0.20754716981132076,11,42,11,0.013037012787348957
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.37037037037037035,20,34,32,0.1509433962264151,8,45,8,0.014846239380805936
METOPROLOL TARTRATE 25 MG PO TABS,0.2037037037037037,11,43,30,0.03773584905660377,2,51,5,0.01521004920767307
SENNA LEAF EXTRACT 176 MG/5 ML PO SYRP,0.2037037037037037,11,43,31,0.03773584905660377,2,51,3,0.01521004920767307
OXYCODONE 5 MG/5 ML PO SOLN,0.16666666666666666,9,45,21,0.018867924528301886,1,52,4,0.016068007308851745
INSULIN LISPRO 100 UNIT/ML SC MILD SCALE NPO,0.16666666666666666,9,45,10,0.018867924528301886,1,52,1,0.016068007308851745
VANCOMYCIN-WATER INJECT (PEG) 1 GRAM/200 ML IV PGBK,0.16666666666666666,9,45,12,0.018867924528301886,1,52,3,0.016068007308851745
DOCUSATE SODIUM 50 MG/5 ML PO LIQD,0.16666666666666666,9,45,14,0.018867924528301886,1,52,2,0.016068007308851745
SODIUM PHOSPHATE IVPB SCALE 30 MMOL,0.3148148148148148,17,37,21,0.11320754716981132,6,47,6,0.017496677078048212
ZZZ IMS TEMPLATE,0.4074074074074074,22,32,60,0.18867924528301888,10,43,16,0.019675290054174416
THERAPEUTIC MULTIVITAMIN (GENERIC) PO TABS,0.2777777777777778,15,39,22,0.09433962264150944,5,48,6,0.02409140377308405
LORAZEPAM 2 MG/ML INJ SOLN,0.2777777777777778,15,39,92,0.09433962264150944,5,48,10,0.02409140377308405
DEXTROSE 5 % IN WATER (D5W) IV SOLP,0.18518518518518517,10,44,19,0.03773584905660377,2,51,3,0.028513568198238783
LR IV BOLUS - 500 ML,0.18518518518518517,10,44,18,0.03773584905660377,2,51,2,0.028513568198238783
SODIUM PHOSPHATE IVPB SCALE 15 MMOL,0.2962962962962963,16,38,20,0.11320754716981132,6,47,6,0.029999179770720315
MIDAZOLAM 1 MG/ML INJ SOLN,0.2962962962962963,16,38,77,0.11320754716981132,6,47,8,0.029999179770720315
CEFTRIAXONE 2 GRAM/20 ML IV PUSH (VIAL ONLY),0.14814814814814814,8,46,10,0.018867924528301886,1,52,1,0.031448153435250974
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.14814814814814814,8,46,12,0.018867924528301886,1,52,1,0.031448153435250974
CEFTRIAXONE 1 GRAM/10 ML IV PUSH (VIAL ONLY),0.14814814814814814,8,46,13,0.018867924528301886,1,52,3,0.031448153435250974
POTASSIUM PHOSPHATE IVPB,0.14814814814814814,8,46,31,0.018867924528301886,1,52,2,0.031448153435250974
ELECTROLYTE-R (PH 7.4) IV SOLP,0.7592592592592593,41,13,103,0.9245283018867925,49,4,90,0.03227594325119577
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,0.3888888888888889,21,33,37,0.6037735849056604,32,21,66,0.03378597928519566
IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.35185185185185186,19,35,31,0.16981132075471697,9,44,11,0.0470223805297103
PATCH CHECK,0.2777777777777778,15,39,21,0.11320754716981132,6,47,7,0.05004981345966765
ACETAMINOPHEN 325 MG PO TABS,0.7222222222222222,39,15,83,0.8867924528301887,47,6,88,0.05004981345966766
BISACODYL 10 MG PR SUPP,0.6666666666666666,36,18,67,0.4716981132075472,25,28,28,0.051743396156695015
