med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
CLEVIDIPINE 50 MG/100 ML IV EMUL,0.5660377358490566,30,23,32,0.23529411764705882,12,39,13,0.0007010175579443039
CEFAZOLIN IV PUSH (1 GRAM VIAL + NS VIAL),0.03773584905660377,2,51,2,0.2549019607843137,13,38,15,0.0017959648926511352
SODIUM CHLORIDE 0.9 % IV SOLP,0.39622641509433965,21,32,25,0.17647058823529413,9,42,9,0.017315804931852856
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.22641509433962265,12,41,13,0.058823529411764705,3,48,3,0.023484599693209963
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.22641509433962265,12,41,20,0.058823529411764705,3,48,3,0.023484599693209963
LACTULOSE 20 GRAM/30 ML PO SOLN,0.33962264150943394,18,35,21,0.5686274509803921,29,22,31,0.02970618423561125
NS IV BOLUS - 500 ML,0.2641509433962264,14,39,20,0.09803921568627451,5,46,7,0.04124659631742089
POTASSIUM CHLORIDE IN 0.9%NACL 20 MEQ/L IV SOLP,0.7924528301886793,42,11,46,0.9411764705882353,48,3,55,0.0419265204507991
GADOBENATE DIMEGLUMINE 529 MG/ML (0.1MMOL/0.2ML) IV SOLN,0.20754716981132076,11,42,12,0.058823529411764705,3,48,3,0.0419265204507991
MAGNESIUM CITRATE PO SOLN,0.32075471698113206,17,36,23,0.5294117647058824,27,24,27,0.04666696343065185
MINERAL OIL PR ENEM,0.3584905660377358,19,34,21,0.5686274509803921,29,22,29,0.04864191574967228
HYDRALAZINE 20 MG/ML INJ SOLN,0.39622641509433965,21,32,28,0.6078431372549019,31,20,41,0.04930336064404114
ACETAMINOPHEN 650 MG PR SUPP,0.16981132075471697,9,44,10,0.0392156862745098,2,49,2,0.05217847117642981
PREFERRED ANTIBIOTIC AGENT,0.41509433962264153,22,31,28,0.6078431372549019,31,20,32,0.0535236667825484
POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.22641509433962265,12,41,12,0.0784313725490196,4,47,4,0.055463697775117685
CLOPIDOGREL 75 MG PO TABS,0.1320754716981132,7,46,14,0.0196078431372549,1,50,1,0.06025597054751017
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.18867924528301888,10,43,11,0.058823529411764705,3,48,3,0.07287991726299405
HYDROMORPHONE 1 MG/ML INJ SYRG,0.4528301886792453,24,29,65,0.6274509803921569,32,19,69,0.08100427791079415
FAMOTIDINE (PF) 20 MG/2 ML IV SOLN,0.20754716981132076,11,42,12,0.0784313725490196,4,47,4,0.0926418025341692
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.1509433962264151,8,45,8,0.0392156862745098,2,49,2,0.09298700679585999
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.1509433962264151,8,45,8,0.0392156862745098,2,49,2,0.09298700679585999
"THROMBIN (BOVINE) 5,000 UNIT TP SOLR",0.24528301886792453,13,40,13,0.4117647058823529,21,30,21,0.09455073262235147
