med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
NORMOSOL-R IV BOLUS - 500 ML,0.3220338983050847,19,40,32,0.06153846153846154,4,61,5,0.000341712413790314
MELATONIN 5 MG PO TABS,0.8813559322033898,52,7,63,0.6,39,26,49,0.00047024790081886636
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.423728813559322,25,34,38,0.15384615384615385,10,55,14,0.0012443388479010517
BUPIVACAINE HCL 0.25 % (2.5 MG/ML) INJ SOLN,0.01694915254237288,1,58,1,0.18461538461538463,12,53,12,0.0024116832560009648
LABETALOL 5 MG/ML IV SOLN,0.3389830508474576,20,39,21,0.13846153846153847,9,56,9,0.010742604525833328
ACETAMINOPHEN 325 MG PO TABS,0.8813559322033898,52,7,99,0.6923076923076923,45,20,86,0.01574574370031201
FERROUS SULFATE 325 MG (65 MG IRON) PO TABS,0.15254237288135594,9,50,13,0.03076923076923077,2,63,3,0.024810379203627272
CLOPIDOGREL 75 MG PO TABS,0.288135593220339,17,42,25,0.12307692307692308,8,57,10,0.026171476941257894
DIGOXIN 125 MCG (0.125 MG) PO TABS,0.11864406779661017,7,52,15,0.015384615384615385,1,64,1,0.02674138315358798
CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,0.5423728813559322,32,27,36,0.3384615384615385,22,43,23,0.029529637394440603
VANCOMYCIN-WATER INJECT (PEG) 1 GRAM/200 ML IV PGBK,0.1694915254237288,10,49,15,0.046153846153846156,3,62,4,0.037820152065425605
DOCUSATE SODIUM 100 MG PO CAPS,0.4406779661016949,26,33,36,0.26153846153846155,17,48,23,0.040061648795563676
VASOPRESSIN IN 0.9 % SOD CHLOR 60 UNIT/100 ML (0.6 UNIT/ML) IV SOLN,0.1016949152542373,6,53,9,0.015384615384615385,1,64,1,0.052687711591857374
LACTATED RINGERS IV SOLP,0.1016949152542373,6,53,6,0.015384615384615385,1,64,1,0.052687711591857374
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.2033898305084746,12,47,17,0.07692307692307693,5,60,5,0.06520000983577846
HALOPERIDOL 1 MG PO TABS,0.11864406779661017,7,52,7,0.26153846153846155,17,48,17,0.06737819446545276
