med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.9206349206349206,58,5,100,0.4642857142857143,26,30,35,4.7294791031493635e-08
GLUCOSE 4 GRAM PO CHEW,0.8571428571428571,54,9,74,0.39285714285714285,22,34,26,1.409588653853836e-07
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.5555555555555556,35,28,80,0.14285714285714285,8,48,9,3.026772694264706e-06
PHENYLEPHRINE HCL IN 0.9% NACL 1 MG/10 ML (100 MCG/ML) IV SYRG,0.36507936507936506,23,40,61,0.03571428571428571,2,54,5,7.422257912875997e-06
PANTOPRAZOLE 40 MG IV SOLR,0.3968253968253968,25,38,42,0.05357142857142857,3,53,5,7.528534231655494e-06
EPINEPHRINE HCL IN 0.9 % NACL 4 MG/250 ML (16 MCG/ML) IV SOLN,0.6984126984126984,44,19,61,0.30357142857142855,17,39,17,2.114221583961965e-05
NORMOSOL-R IV BOLUS - 500 ML,0.8571428571428571,54,9,285,0.5,28,28,148,2.902590460289818e-05
AMINOCAPROIC ACID IV INFUSION,0.6825396825396826,43,20,44,0.30357142857142855,17,39,17,4.770537443336987e-05
FUROSEMIDE 10 MG/ML INJ SOLN,0.8571428571428571,54,9,324,0.5178571428571429,29,27,108,6.339823201452933e-05
VANCOMYCIN PER PHARMACY PROTOCOL (INPATIENT USE ONLY),0.2698412698412698,17,46,32,0.017857142857142856,1,55,2,7.1126040474617e-05
DEXMEDETOMIDINE IN 0.9 % NACL 400 MCG/100 ML (4 MCG/ML) IV SOLN,0.7619047619047619,48,15,225,0.39285714285714285,22,34,33,7.368351484006371e-05
PHENYLEPHRINE HCL IN 0.9% NACL 40 MG/250 ML (160 MCG/ML) IV SOLN,0.42857142857142855,27,36,45,0.10714285714285714,6,50,7,8.618397862021325e-05
INSULIN REGULAR IN 0.9 % NACL 100 UNIT/100 ML (1 UNIT/ML) IV SOLN,0.6349206349206349,40,23,63,0.26785714285714285,15,41,17,9.393886771587094e-05
PROPOFOL 10 MG/ML IV INFUSION,0.3968253968253968,25,38,61,0.08928571428571429,5,51,5,0.00011143115590533603
SODIUM CHLORIDE 0.9 % (FLUSH) INJ SYRG,0.7936507936507936,50,13,52,0.44642857142857145,25,31,26,0.00012402294782131855
ASPIRIN 300 MG PR SUPP,0.6190476190476191,39,24,43,0.26785714285714285,15,41,15,0.0001968778964795071
POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,0.8095238095238095,51,12,55,0.48214285714285715,27,29,28,0.0002241953281776334
CALCIUM CHLORIDE 1 GRAM (13.6 MEQ)/50 ML NS IVPB (COMPOUNDED),0.42857142857142855,27,36,95,0.125,7,49,13,0.00025004263928324295
ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.23809523809523808,15,48,20,0.017857142857142856,1,55,2,0.0003074306622339597
VANCOMYCIN-WATER INJECT (PEG) 1 GRAM/200 ML IV PGBK,0.31746031746031744,20,43,30,0.05357142857142857,3,53,6,0.0003248661964751937
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.873015873015873,55,8,78,0.5714285714285714,32,24,43,0.0003400496865114842
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.873015873015873,55,8,134,0.5714285714285714,32,24,49,0.0003400496865114842
PROPOFOL 10 MG/ML IV INJECTION,0.2698412698412698,17,46,75,0.03571428571428571,2,54,3,0.00039024974172177136
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.8571428571428571,54,9,83,0.5535714285714286,31,25,36,0.0004468820517758722
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.8571428571428571,54,9,99,0.5535714285714286,31,25,41,0.0004468820517758722
CLEVIDIPINE 50 MG/100 ML IV EMUL,0.6507936507936508,41,22,71,0.32142857142857145,18,38,22,0.0004568896090704428
