med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
POTASSIUM CHLORIDE 10 MEQ PO TBTQ,0.3870967741935484,36,57,62,0.10784313725490197,11,91,16,4.966536897638308e-06
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.3870967741935484,36,57,66,0.11764705882352941,12,90,20,1.2935261642920495e-05
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.25806451612903225,24,69,54,0.06862745098039216,7,95,7,0.00034061083774692
POTASSIUM CHLORIDE 20 MEQ/15 ML PO LIQD,0.26881720430107525,25,68,88,0.0784313725490196,8,94,10,0.00047954213336644247
CHLOROTHIAZIDE SODIUM 500 MG IV SOLR,0.16129032258064516,15,78,39,0.0196078431372549,2,100,2,0.0005381457058888785
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.12903225806451613,12,81,14,0.00980392156862745,1,101,2,0.0008655654570051696
ALTEPLASE 2 MG INTRA-CATHET SOLR,0.11827956989247312,11,82,34,0.00980392156862745,1,101,1,0.0017873478597511868
IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.2903225806451613,27,66,34,0.10784313725490197,11,91,13,0.0018581602759716273
ZZZ IMS TEMPLATE,0.44086021505376344,41,52,82,0.22549019607843138,23,79,33,0.0021372295256497755
SPIRONOLACTONE 25 MG PO TABS,0.5591397849462365,52,41,133,0.3333333333333333,34,68,83,0.002338573769900467
CAMPHOR-MENTHOL 0.5-0.5 % TP LOTN,0.10752688172043011,10,83,15,0.00980392156862745,1,101,1,0.003648796535538553
LORAZEPAM 2 MG/ML INJ SOLN,0.12903225806451613,12,81,22,0.0196078431372549,2,100,2,0.004102899439319472
OXYCODONE 5 MG PO TABS,0.27956989247311825,26,67,69,0.11764705882352941,12,90,26,0.006196087750892811
WHITE PETROLATUM-MINERAL OIL OPHTH OINT WRAPPER,0.0967741935483871,9,84,14,0.00980392156862745,1,101,1,0.00735825293865368
SACUBITRIL-VALSARTAN 49-51 MG PO TABS,0.0967741935483871,9,84,19,0.00980392156862745,1,101,1,0.00735825293865368
DIPHENHYDRAMINE HCL 25 MG PO CAPS,0.0967741935483871,9,84,13,0.00980392156862745,1,101,1,0.00735825293865368
"DOBUTAMINE IN D5W 500 MG/250 ML (2,000 MCG/ML) IV SOLP",0.11827956989247312,11,82,17,0.0196078431372549,2,100,2,0.007855975198503017
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.1827956989247312,17,76,53,0.058823529411764705,6,96,6,0.008046612802338085
VANCOMYCIN PER PHARMACY PROTOCOL (INPATIENT USE ONLY),0.17204301075268819,16,77,22,0.049019607843137254,5,97,6,0.009536100371918217
BUMETANIDE 2 MG PO TABS,0.27956989247311825,26,67,86,0.12745098039215685,13,89,33,0.011532639933215329
BUMETANIDE IVPB,0.2903225806451613,27,66,107,0.13725490196078433,14,88,34,0.013174773341042799
POTASSIUM CHLORIDE 20 MEQ PO PACK,0.12903225806451613,12,81,31,0.029411764705882353,3,99,4,0.013417453269023076
CEFEPIME 2 GRAM/50 ML MINIBAG PLUS,0.08602150537634409,8,85,10,0.00980392156862745,1,101,1,0.014643226483870918
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN (RT PANEL),0.08602150537634409,8,85,11,0.00980392156862745,1,101,3,0.014643226483870918
FLUTICASONE FUROATE-VILANTEROL 100-25 MCG/DOSE INH DSDV,0.08602150537634409,8,85,8,0.00980392156862745,1,101,1,0.014643226483870918
ALBUTEROL SULFATE 2.5 MG /3 ML (0.083 %) INH NEBU,0.10752688172043011,10,83,13,0.0196078431372549,2,100,2,0.01481015468669232
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.5806451612903226,54,39,71,0.4019607843137255,41,61,46,0.014939332183231898
LIDOCAINE 4 % TP CREA,0.16129032258064516,15,78,21,0.049019607843137254,5,97,6,0.01631521055799494
TRAZODONE 50 MG PO TABS,0.22580645161290322,21,72,28,0.09803921568627451,10,92,13,0.018405546588912455
IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML INH NEBU,0.27956989247311825,26,67,51,0.13725490196078433,14,88,26,0.020306000035863272
CEFEPIME 2 GRAM/50 ML NS EXTENDED INFUSION MINIBAG PLUS,0.11827956989247312,11,82,18,0.029411764705882353,3,99,3,0.023973453478988417
HYDRALAZINE 10 MG PO TABS,0.24731182795698925,23,70,46,0.11764705882352941,12,90,19,0.024438019753187587
GUAIFENESIN 100 MG/5 ML PO LIQD,0.0967741935483871,9,84,11,0.0196078431372549,2,100,2,0.0274500171684028
LACTULOSE 20 GRAM/30 ML PO SOLN,0.0967741935483871,9,84,28,0.0196078431372549,2,100,2,0.0274500171684028
PANTOPRAZOLE 40 MG IV SOLR,0.0967741935483871,9,84,10,0.0196078431372549,2,100,3,0.0274500171684028
BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.07526881720430108,7,86,10,0.00980392156862745,1,101,1,0.028717593561938797
FLUMAZENIL 0.1 MG/ML IV SOLN,0.07526881720430108,7,86,7,0.00980392156862745,1,101,1,0.028717593561938797
"DOPAMINE IN 5 % DEXTROSE 400 MG/250 ML (1,600 MCG/ML) IV SOLN",0.07526881720430108,7,86,11,0.00980392156862745,1,101,1,0.028717593561938797
DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN,0.07526881720430108,7,86,13,0.00980392156862745,1,101,2,0.028717593561938797
LIDOCAINE 5 % TP PTMD,0.26881720430107525,25,68,43,0.13725490196078433,14,88,22,0.030762398620216257
SPIRONOLACTONE 50 MG PO TABS,0.12903225806451613,12,81,17,0.0392156862745098,4,98,5,0.0342640668820799
HYDROXYZINE HCL 25 MG PO TABS,0.16129032258064516,15,78,24,0.058823529411764705,6,96,8,0.03534385233937751
VANCOMYCIN-WATER INJECT (PEG) 1 GRAM/200 ML IV PGBK,0.10752688172043011,10,83,11,0.029411764705882353,3,99,4,0.042029953832335085
ASPIRIN 325 MG PO TABS,0.16129032258064516,15,78,17,0.06862745098039216,7,95,7,0.04478030222165346
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.16129032258064516,15,78,21,0.06862745098039216,7,95,11,0.04478030222165346
SACUBITRIL-VALSARTAN 24-26 MG PO TABS,0.13978494623655913,13,80,25,0.049019607843137254,5,97,11,0.045227394528712495
DIGOXIN 250 MCG (0.25 MG) PO TABS,0.08602150537634409,8,85,11,0.0196078431372549,2,100,4,0.04993027537549492
NORMOSOL-R IV BOLUS - 500 ML,0.08602150537634409,8,85,10,0.0196078431372549,2,100,2,0.04993027537549492
BISACODYL 10 MG PR SUPP,0.26881720430107525,25,68,38,0.14705882352941177,15,87,15,0.05004665357612653
PANTOPRAZOLE 40 MG PO TBEC,0.3333333333333333,31,62,51,0.20588235294117646,21,81,28,0.05227839142895595
MIDODRINE 5 MG PO TABS,0.06451612903225806,6,87,28,0.00980392156862745,1,101,1,0.05540120369201842
CHLOROTHIAZIDE 250 MG/5 ML PO SUSP,0.06451612903225806,6,87,21,0.00980392156862745,1,101,5,0.05540120369201842
METRONIDAZOLE IN NACL (ISO-OS) 500 MG/100 ML IV PGBK,0.06451612903225806,6,87,8,0.00980392156862745,1,101,1,0.05540120369201842
DIGOXIN 250 MCG/ML (0.25 MG/ML) INJ SOLN,0.06451612903225806,6,87,9,0.00980392156862745,1,101,1,0.05540120369201842
SILDENAFIL (PULM.HYPERTENSION) 20 MG PO TABS,0.06451612903225806,6,87,15,0.00980392156862745,1,101,2,0.05540120369201842
LIDOCAINE HCL 10 MG/ML (1 %) INJ SOLN,0.06451612903225806,6,87,7,0.00980392156862745,1,101,1,0.05540120369201842
VANCOMYCIN-WATER INJECT (PEG) 1.5 GRAM/300 ML IV PGBK,0.06451612903225806,6,87,6,0.00980392156862745,1,101,1,0.05540120369201842
MELATONIN 3 MG PO TABS,0.22580645161290322,21,72,24,0.11764705882352941,12,90,14,0.05578969297050056
RIVAROXABAN 15 MG PO TABS,0.021505376344086023,2,91,5,0.08823529411764706,9,93,17,0.06107661482939809
ACETAMINOPHEN 500 MG PO TABS,0.2903225806451613,27,66,41,0.17647058823529413,18,84,22,0.063772468597012
NON-FORMULARY MEDICATION HELP ORDER,0.010752688172043012,1,92,1,0.06862745098039216,7,95,8,0.067026276231499
CALCIUM ACETATE(PHOSPHAT BIND) 667 MG PO CAPS,0.010752688172043012,1,92,2,0.06862745098039216,7,95,11,0.067026276231499
ENOXAPARIN 30 MG/0.3 ML SC SYRG,0.12903225806451613,12,81,13,0.049019607843137254,5,97,6,0.07308944114029595
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.16129032258064516,15,78,29,0.0784313725490196,8,94,11,0.08007523406536515
APIXABAN 2.5 MG PO TABS,0.053763440860215055,5,88,9,0.12745098039215685,13,89,18,0.08728687152882024
IRON SUCROSE 100 MG IRON/5 ML IV SOLN,0.13978494623655913,13,80,17,0.058823529411764705,6,96,8,0.0885875983824814
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.13978494623655913,13,80,21,0.058823529411764705,6,96,8,0.0885875983824814
FERROUS SULFATE 325 MG (65 MG IRON) PO TABS,0.1827956989247312,17,76,25,0.09803921568627451,10,92,14,0.09956482289763181
SODIUM HYPOCHLORITE 0.0125 % TP SOLN,0.053763440860215055,5,88,13,0.00980392156862745,1,101,1,0.10487233693531259
HEPARIN IV INFUSION (LVAD PROTOCOL - HIGH BLEED RISK),0.053763440860215055,5,88,6,0.00980392156862745,1,101,2,0.10487233693531259
CEFEPIME 1 GRAM/50 ML NS EXTENDED INFUSION MINIBAG PLUS,0.053763440860215055,5,88,5,0.00980392156862745,1,101,1,0.10487233693531259
