med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
CEFAZOLIN IN DEXTROSE (ISO-OS) 2 GRAM/100 ML IV PGBK,0.07746478873239436,11,131,12,0.17486338797814208,32,151,34,0.012710482266921898
OXYCODONE 10 MG PO TABS,0.09859154929577464,14,128,16,0.03278688524590164,6,177,6,0.018940567084046303
ONDANSETRON 8 MG PO TBDL,0.04929577464788732,7,135,8,0.00546448087431694,1,182,1,0.02347495847358631
LISINOPRIL 20 MG PO TABS,0.08450704225352113,12,130,17,0.0273224043715847,5,178,5,0.02508918321606161
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.971830985915493,138,4,181,1.0,183,0,239,0.03557652519827779
HYDROMORPHONE 1 MG/ML INJ SYRG,1.0,142,0,578,0.9672131147540983,177,6,672,0.03728098248709253
ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.14084507042253522,20,122,47,0.06557377049180328,12,171,20,0.03754277828365202
NALBUPHINE 10 MG/ML INJ SOLN,0.06338028169014084,9,133,9,0.1366120218579235,25,158,25,0.04335105786929697
ROPIVICAINE 0.2% + KETORALAC + EPINEPHRINE MIXTURE (SHC OR),0.4225352112676056,60,82,60,0.5409836065573771,99,84,99,0.043893443808517736
FUROSEMIDE 20 MG PO TABS,0.04929577464788732,7,135,10,0.01092896174863388,2,181,2,0.04507288534405089
POTASSIUM CHLORIDE 20 MEQ PO TBTQ,0.13380281690140844,19,123,27,0.06557377049180328,12,171,18,0.0555046343395946
MISCELLANEOUS MEDICATION HELP ORDER,0.02112676056338028,3,139,3,0.06557377049180328,12,171,19,0.06602175547199421
ROPIVACAINE 0.2% IN 500 ML INFUSION VIA NIMBUS PUMP (PREMIX)- RATE MODE,0.02112676056338028,3,139,4,0.06557377049180328,12,171,15,0.06602175547199421
CEFAZOLIN IV PUSH (1 GRAM VIAL ONLY),0.528169014084507,75,67,95,0.6284153005464481,115,68,137,0.07094609624198972
LIDOCAINE HCL 2 % JELLY (URO-JET),0.04225352112676056,6,136,8,0.01092896174863388,2,181,3,0.08367140798756423
OXYCODONE 10 MG PO TR12,0.04225352112676056,6,136,10,0.01092896174863388,2,181,3,0.08367140798756423
"CELL SAVER SOLUTION (HEPARIN 30,000 UNITS/NS 1000 ML)",0.04225352112676056,6,136,6,0.01092896174863388,2,181,2,0.08367140798756423
LR IV BOLUS - 500 ML,0.04225352112676056,6,136,13,0.01092896174863388,2,181,2,0.08367140798756423
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.06338028169014084,9,133,15,0.02185792349726776,4,179,4,0.08470162124142729
LIDOCAINE 2 G/250 ML D5W IV INFUSION PREMIX (PAIN INDICATION),0.035211267605633804,5,137,6,0.00546448087431694,1,182,1,0.08976051329067355
LEVOTHYROXINE 88 MCG PO TABS,0.035211267605633804,5,137,5,0.00546448087431694,1,182,1,0.08976051329067355
MELATONIN 5 MG PO TABS,0.704225352112676,100,42,106,0.7868852459016393,144,39,150,0.09414324192175394
"VANCOMYCIN 1,000 MG IV SOLR",0.16901408450704225,24,118,25,0.10382513661202186,19,164,19,0.09946357252314822
PANTOPRAZOLE 20 MG PO TBEC,0.07042253521126761,10,132,12,0.0273224043715847,5,178,5,0.10696248124613969
RIVAROXABAN 10 MG PO TABS,0.07746478873239436,11,131,25,0.1366120218579235,25,158,48,0.1095085037789538
NORMOSOL-R IV BOLUS - 500 ML,0.09154929577464789,13,129,20,0.04371584699453552,8,175,18,0.11037573834330533
BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.8028169014084507,114,28,121,0.726775956284153,133,50,136,0.11807148673258964
MEPERIDINE (PF) 25 MG/ML INJ SOLN,0.028169014084507043,4,138,4,0.07103825136612021,13,170,14,0.1299562956516349
CEFAZOLIN IV PUSH (1 GRAM VIAL + NS VIAL),0.6690140845070423,95,47,98,0.5846994535519126,107,76,110,0.13447776254354563
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),1.0,142,0,381,0.9781420765027322,179,4,478,0.1346567064698711
ZOFRAN 4 MG PO TABS,0.007042253521126761,1,141,1,0.03278688524590164,6,177,6,0.14190230920791122
ROSUVASTATIN 20 MG PO TABS,0.007042253521126761,1,141,1,0.03278688524590164,6,177,6,0.14190230920791122
AMLODIPINE 10 MG PO TABS,0.08450704225352113,12,130,15,0.04371584699453552,8,175,8,0.1633274914493958
ARTIFICIAL TEARS(HYPROMELLOSE) 0.5 % OPHT DROP,0.028169014084507043,4,138,4,0.00546448087431694,1,182,1,0.1719546214373885
NORMOSOL-R IV BOLUS - 1000 ML,0.028169014084507043,4,138,6,0.00546448087431694,1,182,1,0.1719546214373885
BUPROPION HCL 300 MG PO TB24,0.028169014084507043,4,138,4,0.00546448087431694,1,182,1,0.1719546214373885
CARVEDILOL 12.5 MG PO TABS,0.028169014084507043,4,138,4,0.00546448087431694,1,182,1,0.1719546214373885
NARCAN 4 MG/ACTUATION NASAL SPRY,0.20422535211267606,29,113,30,0.14207650273224043,26,157,26,0.1791555990198588
TAMSULOSIN 0.4 MG PO CAPS,0.19718309859154928,28,114,39,0.26229508196721313,48,135,53,0.18771496033315951
ONDANSETRON 4 MG PO TBDL,0.9859154929577465,140,2,290,1.0,183,0,383,0.19014245014245013
FLUTICASONE PROPIONATE 50 MCG/ACTUATION NASAL SPSN,0.028169014084507043,4,138,4,0.060109289617486336,11,172,11,0.1948330471450738
KETOROLAC 30 MG/ML (1 ML) INJ SOLN,0.028169014084507043,4,138,4,0.060109289617486336,11,172,11,0.1948330471450738
LIDOCAINE 5 % TP PTMD,0.04929577464788732,7,135,7,0.02185792349726776,4,179,6,0.22107845425544484
NS IV BOLUS - 1000 ML,0.1056338028169014,15,127,24,0.06557377049180328,12,171,13,0.22628420553465722
CARBIDOPA-LEVODOPA 25-100 MG PO TABS,0.007042253521126761,1,141,2,0.0273224043715847,5,178,7,0.2368644880314071
LORATADINE 10 MG PO TABS,0.007042253521126761,1,141,1,0.0273224043715847,5,178,5,0.2368644880314071
"BACITRACIN 50,000 UNIT IM SOLR",0.11267605633802817,16,126,16,0.07103825136612021,13,170,13,0.23950744015580722
LACTOBACILLUS RHAMNOSUS GG 15 BILLION CELL PO CPSP,0.035211267605633804,5,137,7,0.01092896174863388,2,181,2,0.24669685817932535
MEPERIDINE (PF) 25 MG/0.5 ML INJ SOLN,0.07042253521126761,10,132,10,0.1092896174863388,20,163,20,0.25228020938824913
METOPROLOL SUCCINATE 50 MG PO TB24,0.056338028169014086,8,134,10,0.0273224043715847,5,178,5,0.25452116533117597
LOSARTAN 50 MG PO TABS,0.11971830985915492,17,125,27,0.08196721311475409,15,168,17,0.26664137182530834
LEVOTHYROXINE 100 MCG PO TABS,0.035211267605633804,5,137,5,0.01639344262295082,3,180,3,0.3036476539120335
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,0.035211267605633804,5,137,5,0.01639344262295082,3,180,3,0.3036476539120335
CUSTOM INV (HIGH ALERT) - SIMPLE,0.035211267605633804,5,137,16,0.01639344262295082,3,180,11,0.3036476539120335
PREFERRED ANTIBIOTIC AGENT,0.19718309859154928,28,114,39,0.15300546448087432,28,155,31,0.3040360593406792
MONTELUKAST 10 MG PO TABS,0.06338028169014084,9,133,9,0.03825136612021858,7,176,9,0.31407707053503203
FAMOTIDINE 20 MG PO TABS,0.06338028169014084,9,133,13,0.03825136612021858,7,176,9,0.31407707053503203
HYDROMORPHONE 1 MG/ML IV PCA,0.02112676056338028,3,139,3,0.00546448087431694,1,182,1,0.3220093427658376
MORPHINE 15 MG PO TBSR,0.02112676056338028,3,139,4,0.00546448087431694,1,182,2,0.3220093427658376
LORAZEPAM 0.5 MG PO TABS,0.02112676056338028,3,139,4,0.00546448087431694,1,182,2,0.3220093427658376
FUROSEMIDE 10 MG/ML INJ SOLN,0.02112676056338028,3,139,8,0.00546448087431694,1,182,2,0.3220093427658376
PREDNISOLONE ACETATE 1 % OPHT DRPS,0.02112676056338028,3,139,5,0.00546448087431694,1,182,2,0.3220093427658376
LACTULOSE 20 GRAM/30 ML PO SOLN,0.02112676056338028,3,139,3,0.00546448087431694,1,182,1,0.3220093427658376
TIMOLOL MALEATE 0.5 % OPHT DROP,0.02112676056338028,3,139,3,0.00546448087431694,1,182,1,0.3220093427658376
DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN,0.02112676056338028,3,139,3,0.00546448087431694,1,182,1,0.3220093427658376
LOVENOX 40 MG/0.4 ML SC SYRG,0.02112676056338028,3,139,3,0.00546448087431694,1,182,1,0.3220093427658376
POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,0.02112676056338028,3,139,3,0.00546448087431694,1,182,1,0.3220093427658376
ZZZ IMS TEMPLATE,0.22535211267605634,32,110,37,0.18032786885245902,33,150,43,0.33044795090058066
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.676056338028169,96,46,99,0.6229508196721312,114,69,116,0.3504771526246593
LEVOTHYROXINE 25 MCG PO TABS,0.07746478873239436,11,131,15,0.04918032786885246,9,174,9,0.3542551684555688
SODIUM CHLORIDE 0.9 % IRRIG SOLN,0.21830985915492956,31,111,31,0.2677595628415301,49,134,50,0.3636627296356376
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.7323943661971831,104,38,130,0.7759562841530054,142,41,173,0.36549437597729356
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.9154929577464789,130,12,157,0.9453551912568307,173,10,207,0.3738552892562845
POVIDONE-IODINE 10 % TP SWAB,0.08450704225352113,12,130,13,0.0546448087431694,10,173,11,0.3738552892562845
TRAZODONE 50 MG PO TABS,0.04929577464788732,7,135,7,0.0273224043715847,5,178,6,0.37768467648931536
DULOXETINE 60 MG PO CPDR,0.04929577464788732,7,135,7,0.0273224043715847,5,178,6,0.37768467648931536
LORAZEPAM 1 MG PO TABS,0.007042253521126761,1,141,2,0.02185792349726776,4,179,4,0.3911039320381087
POTASSIUM CHLORIDE 10 MEQ PO TBTQ,0.007042253521126761,1,141,1,0.02185792349726776,4,179,5,0.3911039320381087
AMLODIPINE 2.5 MG PO TABS,0.007042253521126761,1,141,1,0.02185792349726776,4,179,4,0.3911039320381087
INSULIN LISPRO 100 UNIT/ML SC AGGRESSIVE SCALE FEEDING (BEDTIME),0.056338028169014086,8,134,8,0.08196721311475409,15,168,16,0.39420883810687
INSULIN LISPRO 100 UNIT/ML SC AGGRESSIVE SCALE FEEDING (MEALS),0.056338028169014086,8,134,8,0.08196721311475409,15,168,16,0.39420883810687
PREGABALIN 75 MG PO CAPS,0.028169014084507043,4,138,5,0.04918032786885246,9,174,19,0.40288786815009836
GABAPENTIN 100 MG PO CAPS,0.6971830985915493,99,43,189,0.6502732240437158,119,64,230,0.4058869676152726
BACLOFEN 10 MG PO TABS,0.028169014084507043,4,138,5,0.01092896174863388,2,181,3,0.40989482510118513
MINERAL OIL PR ENEM,0.971830985915493,138,4,145,0.9890710382513661,181,2,184,0.40989482510118513
FLUMAZENIL 0.1 MG/ML IV SOLN,0.028169014084507043,4,138,4,0.01092896174863388,2,181,2,0.40989482510118513
PANTOPRAZOLE 40 MG PO TBEC,0.2323943661971831,33,109,36,0.1912568306010929,35,148,41,0.4101755260225288
METOCLOPRAMIDE HCL 10 MG PO TABS,0.5070422535211268,72,70,76,0.5519125683060109,101,82,103,0.43474225673804484
INSULIN NPH ISOPH U-100 HUMAN 100 UNIT/ML SC SUSP,0.035211267605633804,5,137,14,0.060109289617486336,11,172,18,0.4392501089252556
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.8661971830985915,123,19,166,0.8306010928961749,152,31,215,0.4393963518483527
FLUTICASONE FUROATE-VILANTEROL 100-25 MCG/DOSE INH DSDV,0.035211267605633804,5,137,5,0.0546448087431694,10,173,11,0.4403596898559671
HALOPERIDOL LACTATE 5 MG/ML INJ SOLN,0.176056338028169,25,117,26,0.14207650273224043,26,157,26,0.4436230166714081
ATORVASTATIN 10 MG PO TABS,0.07746478873239436,11,131,11,0.10382513661202186,19,164,19,0.44645038667146075
NS IV BOLUS - 250 ML,0.08450704225352113,12,130,13,0.11475409836065574,21,162,22,0.45985852032310787
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML INJ SOLN,0.014084507042253521,2,140,4,0.03278688524590164,6,177,6,0.4734925498874054
DORZOLAMIDE 2 % OPHT DROP,0.014084507042253521,2,140,2,0.0273224043715847,5,178,9,0.47426993509014675
THERAPEUTIC MULTIVITAMIN (GENERIC) PO TABS,0.014084507042253521,2,140,2,0.0273224043715847,5,178,5,0.47426993509014675
"ROPIVICAINE (PF) 0.5% + NS + EPINEPHRINE 1:1,000 MIXTURE (SHC OR)",0.07042253521126761,10,132,10,0.04918032786885246,9,174,9,0.4786359943567464
