med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
PANTOPRAZOLE 40 MG IV SOLR,0.5961538461538461,31,21,55,0.12,9,66,10,1.7777322107444628e-08
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.36538461538461536,19,33,33,0.04,3,72,3,2.2273223239350854e-06
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.36538461538461536,19,33,59,0.04,3,72,3,2.2273223239350854e-06
LIDOCAINE 4 % TP CREA,0.28846153846153844,15,37,17,0.02666666666666667,2,73,2,2.4817646339094882e-05
NORMOSOL-R IV BOLUS - 1000 ML,0.34615384615384615,18,34,42,0.06666666666666667,5,70,6,9.887205834422699e-05
POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,0.36538461538461536,19,33,35,0.09333333333333334,7,68,8,0.00027459305879393354
FUROSEMIDE 10 MG/ML INJ SOLN,0.46153846153846156,24,28,197,0.16,12,63,25,0.000290104671002303
OCTREOTIDE IVPB,0.2692307692307692,14,38,17,0.04,3,72,3,0.0003044459294338221
IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.34615384615384615,18,34,43,0.08,6,69,6,0.00035829721126615484
LR IV BOLUS - 1000 ML,0.19230769230769232,10,42,28,0.013333333333333334,1,74,1,0.0005605791248617503
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.38461538461538464,20,32,40,0.12,9,66,10,0.0010073926697668452
PANTOPRAZOLE 40 MG PO TBEC,0.6538461538461539,34,18,69,0.36,27,48,41,0.001258233901149493
HALOPERIDOL LACTATE 5 MG/ML INJ SOLN,0.4807692307692308,25,27,34,0.7466666666666667,56,19,61,0.002737724488593303
FLUMAZENIL 0.1 MG/ML IV SOLN,0.15384615384615385,8,44,16,0.013333333333333334,1,74,1,0.0033922937415402396
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.3076923076923077,16,36,27,0.09333333333333334,7,68,8,0.004122457461078578
BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.23076923076923078,12,40,14,0.05333333333333334,4,71,4,0.005216877226743885
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.23076923076923078,12,40,16,0.05333333333333334,4,71,5,0.005216877226743885
NORMOSOL-R IV BOLUS - 500 ML,0.36538461538461536,19,33,59,0.14666666666666667,11,64,14,0.005729538598062366
PIPERACILLIN-TAZOBACTAM-DEXTRS 3.375 GRAM/50 ML IV PGBK,0.3076923076923077,16,36,47,0.10666666666666667,8,67,13,0.005760543141954885
HALOPERIDOL 1 MG PO TABS,0.28846153846153844,15,37,17,0.5333333333333333,40,35,40,0.006782051316688256
MELATONIN 3 MG PO TABS,0.19230769230769232,10,42,15,0.04,3,72,4,0.00724777210447131
AMOXICILLIN-POT CLAVULANATE 875-125 MG PO TABS,0.17307692307692307,9,43,15,0.02666666666666667,2,73,3,0.007352625896238016
NOREPINEPHRINE BITARTRATE-NACL 4 MG/250 ML (16 MCG/ML) IV SOLN,0.1346153846153846,7,45,12,0.013333333333333334,1,74,1,0.008047458078563472
"ALBUMIN, HUMAN 5 % 5 % IV SOLP",0.1346153846153846,7,45,45,0.013333333333333334,1,74,1,0.008047458078563472
ACETAMINOPHEN 500 MG/50 ML (10 MG/ML) IV SOLN,0.1346153846153846,7,45,14,0.013333333333333334,1,74,1,0.008047458078563472
DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN,0.1346153846153846,7,45,9,0.013333333333333334,1,74,1,0.008047458078563472
