med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.2777777777777778,15,39,29,0.06349206349206349,4,59,5,0.0022203250365898965
"LIDOCAINE-EPINEPHRINE 1 %-1:100,000 INJ SOLN",0.037037037037037035,2,52,2,0.19047619047619047,12,51,12,0.01949650991039049
DIPHENHYDRAMINE HCL 25 MG PO CAPS,0.16666666666666666,9,45,12,0.031746031746031744,2,61,4,0.022482471739748853
MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.6481481481481481,35,19,44,0.42857142857142855,27,36,32,0.02548867159326139
"VANCOMYCIN 1,000 MG IV SOLR",0.7777777777777778,42,12,51,0.5873015873015873,37,26,37,0.03136384183310179
PHENYLEPHRINE HCL IN 0.9% NACL 40 MG/250 ML (160 MCG/ML) IV SOLN,0.18518518518518517,10,44,11,0.047619047619047616,3,60,3,0.03547093129835113
"CALCIUM GLUC IN NACL, ISO-OSM 1 GRAM/50 ML IV SOLN",0.2222222222222222,12,42,18,0.07936507936507936,5,58,12,0.03629865679117067
MINERAL OIL PR ENEM,0.37037037037037035,20,34,23,0.19047619047619047,12,51,15,0.03784999787527028
LIDOCAINE 5 % TP PTMD,0.3888888888888889,21,33,41,0.20634920634920634,13,50,23,0.040937445194024036
ALUM-MAG HYDROXIDE-SIMETH 200-200-20 MG/5 ML PO SUSP,0.1111111111111111,6,48,6,0.015873015873015872,1,62,2,0.047534950897719905
LACTOBACILLUS RHAMNOSUS GG 15 BILLION CELL PO CPSP,0.09259259259259259,5,49,6,0.23809523809523808,15,48,15,0.048767412747191416
CYCLOBENZAPRINE 5 MG PO TABS,0.46296296296296297,25,29,50,0.2857142857142857,18,45,27,0.05602323588295899
STANFORD BOWEL SOLUTION,0.2037037037037037,11,43,18,0.07936507936507936,5,58,7,0.06200622067067689
FUROSEMIDE 20 MG PO TABS,0.09259259259259259,5,49,8,0.015873015873015872,1,62,3,0.0936856640648899
ELECTROLYTE-R (PH 7.4) IV SOLP,0.9444444444444444,51,3,153,1.0,63,0,163,0.09535232383808095
FAMOTIDINE 20 MG PO TABS,0.25925925925925924,14,40,27,0.12698412698412698,8,55,10,0.09606405744731689
HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,0.25925925925925924,14,40,24,0.12698412698412698,8,55,15,0.09606405744731689
METOCLOPRAMIDE HCL 10 MG PO TABS,0.37037037037037035,20,34,24,0.2222222222222222,14,49,16,0.1025935444797718
BISACODYL 5 MG PO TBEC,0.18518518518518517,10,44,14,0.07936507936507936,5,58,7,0.10277752069327874
ONDANSETRON 8 MG PO TBDL,0.037037037037037035,2,52,2,0.12698412698412698,8,55,8,0.10470147101867028
DOCUSATE SODIUM 283 MG/5 ML PR ENEM,0.14814814814814814,8,46,8,0.047619047619047616,3,60,4,0.10913920465080748
NS IV BOLUS - 500 ML,0.4074074074074074,22,32,44,0.25396825396825395,16,47,24,0.1126206049309196
ASPIRIN 81 MG PO TBEC,0.018518518518518517,1,53,1,0.09523809523809523,6,57,7,0.12151577108153314
TAMSULOSIN 0.4 MG PO CAPS,0.2962962962962963,16,38,25,0.1746031746031746,11,52,16,0.13008969654982389
HYDROXYZINE HCL 25 MG PO TABS,0.05555555555555555,3,51,4,0.14285714285714285,9,54,12,0.13963203625068335
NALBUPHINE 10 MG/ML INJ SOLN,0.05555555555555555,3,51,3,0.14285714285714285,9,54,9,0.13963203625068335
ALBUTEROL SULFATE 2.5 MG /3 ML (0.083 %) INH NEBU,0.1111111111111111,6,48,7,0.031746031746031744,2,61,2,0.1413460778444798
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.1111111111111111,6,48,7,0.031746031746031744,2,61,2,0.1413460778444798
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.1111111111111111,6,48,6,0.031746031746031744,2,61,2,0.1413460778444798
FUROSEMIDE 10 MG/ML INJ SOLN,0.1111111111111111,6,48,14,0.031746031746031744,2,61,3,0.1413460778444798
MAGNESIUM CITRATE PO SOLN,0.3888888888888889,21,33,23,0.25396825396825395,16,47,19,0.16248954596611132
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.7407407407407407,40,14,62,0.6190476190476191,39,24,45,0.17254247390158087
LIPOSOMAL BUPIVACAINE + BUPIVACAINE 0.25% (CCSB OR),0.037037037037037035,2,52,2,0.1111111111111111,7,56,7,0.1745122522445086
DEXAMETHASONE 2 MG PO TABS,0.07407407407407407,4,50,9,0.015873015873015872,1,62,2,0.17973869286917932
MISCELLANEOUS MEDICATION HELP ORDER,0.12962962962962962,7,47,9,0.047619047619047616,3,60,4,0.1835484149076021
LABETALOL 5 MG/ML IV SOLN,0.46296296296296297,25,29,29,0.3333333333333333,21,42,25,0.18526471671249656
BUPIVACAINE 0.25 % (2.5 MG/ML) INJ SOLN,0.09259259259259259,5,49,5,0.19047619047619047,12,51,12,0.18892691482440763
HYDROMORPHONE 1 MG/ML IV PCA,0.8148148148148148,44,10,55,0.6984126984126984,44,19,54,0.19773626650339948
SENNOSIDES 8.6 MG PO TABS,0.9629629629629629,52,2,121,1.0,63,0,132,0.21087533156498678
CETIRIZINE 10 MG PO TABS,0.018518518518518517,1,53,1,0.07936507936507936,5,58,5,0.2150433641693717
LACTULOSE 20 GRAM/30 ML PO SOLN,0.14814814814814814,8,46,8,0.06349206349206349,4,59,4,0.2204984685190663
DEXAMETHASONE 1 MG PO TABS,0.09259259259259259,5,49,15,0.031746031746031744,2,61,5,0.24605285707472155
LIDOCAINE 2 G/250 ML D5W IV INFUSION PREMIX (PAIN INDICATION),0.09259259259259259,5,49,6,0.031746031746031744,2,61,2,0.24605285707472155
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9074074074074074,49,5,146,0.9682539682539683,61,2,170,0.24605285707472158
POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.3148148148148148,17,37,21,0.42857142857142855,27,36,29,0.251989487950949
BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.16666666666666666,9,45,9,0.25396825396825395,16,47,17,0.26869177744299055
DIAZEPAM 2 MG PO TABS,0.16666666666666666,9,45,14,0.09523809523809523,6,57,8,0.278883439045605
"BUPIVACAINE-EPINEPHRINE 0.25 %-1:200,000 INJ SOLN",0.2777777777777778,15,39,15,0.19047619047619047,12,51,13,0.28029687443854845
OXYCODONE 10 MG PO TABS,0.2777777777777778,15,39,18,0.19047619047619047,12,51,15,0.28029687443854845
MEPERIDINE (PF) 25 MG/0.5 ML INJ SOLN,0.037037037037037035,2,52,3,0.09523809523809523,6,57,8,0.28392729492601076
GADOBENATE DIMEGLUMINE 529 MG/ML (0.1MMOL/0.2ML) IV SOLN,0.1111111111111111,6,48,8,0.047619047619047616,3,60,3,0.2986961888695762
MELATONIN 3 MG PO TABS,0.2037037037037037,11,43,16,0.12698412698412698,8,55,9,0.31849512677984354
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.2777777777777778,15,39,18,0.36507936507936506,23,40,27,0.3305417932986402
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.2777777777777778,15,39,18,0.36507936507936506,23,40,27,0.3305417932986402
ALPRAZOLAM 0.25 MG PO TABS,0.05555555555555555,3,51,5,0.015873015873015872,1,62,1,0.33378290611779127
ALLOPURINOL 300 MG PO TABS,0.05555555555555555,3,51,4,0.015873015873015872,1,62,1,0.33378290611779127
VANCOMYCIN-WATER INJECT (PEG) 1 GRAM/200 ML IV PGBK,0.05555555555555555,3,51,4,0.015873015873015872,1,62,2,0.33378290611779127
METHYLPREDNISOLONE 4 MG PO DSPK,0.05555555555555555,3,51,34,0.015873015873015872,1,62,10,0.33378290611779127
CEFAZOLIN IN NS IVPB (COMPOUNDED),0.05555555555555555,3,51,6,0.015873015873015872,1,62,2,0.33378290611779127
LR IV BOLUS - 500 ML,0.05555555555555555,3,51,3,0.015873015873015872,1,62,1,0.33378290611779127
NS W/BACITRACIN MIXTURE (SHC OR),0.6851851851851852,37,17,53,0.5873015873015873,37,26,43,0.3372275606244939
METOPROLOL SUCCINATE 25 MG PO TB24,0.05555555555555555,3,51,4,0.1111111111111111,7,56,10,0.33740407510479803
CEFAZOLIN IN DEXTROSE (ISO-OS) 2 GRAM/100 ML IV PGBK,0.12962962962962962,7,47,8,0.06349206349206349,4,59,4,0.34144417265882465
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.12962962962962962,7,47,8,0.06349206349206349,4,59,4,0.34144417265882465
GABAPENTIN 100 MG PO CAPS,0.24074074074074073,13,41,20,0.15873015873015872,10,53,16,0.3513996241340351
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.5740740740740741,31,23,43,0.47619047619047616,30,33,36,0.35422430551099804
METOPROLOL SUCCINATE 50 MG PO TB24,0.018518518518518517,1,53,2,0.06349206349206349,4,59,8,0.37171697552033695
NS IV BOLUS - 250 ML,0.018518518518518517,1,53,1,0.06349206349206349,4,59,5,0.37171697552033695
"BARIUM SULFATE 40 % (W/V), 30% (W/W) PO PSTE",0.018518518518518517,1,53,2,0.06349206349206349,4,59,4,0.37171697552033695
BARIUM SULFATE 40 % (W/V) PO SUSP,0.018518518518518517,1,53,2,0.06349206349206349,4,59,4,0.37171697552033695
NON-FORMULARY MEDICATION HELP ORDER,0.018518518518518517,1,53,1,0.06349206349206349,4,59,4,0.37171697552033695
PANTOPRAZOLE 40 MG PO TBEC,0.2962962962962963,16,38,27,0.2222222222222222,14,49,17,0.40054630270044295
NS IV BOLUS - 1000 ML,0.14814814814814814,8,46,12,0.09523809523809523,6,57,6,0.4066286021097843
APREPITANT 40 MG PO CAPS,0.07407407407407407,4,50,4,0.031746031746031744,2,61,2,0.412523600529999
"CALCIUM CARBONATE 500 MG CALCIUM (1,250 MG) PO TABS",0.07407407407407407,4,50,4,0.031746031746031744,2,61,3,0.412523600529999
FLUTICASONE FUROATE-VILANTEROL 100-25 MCG/DOSE INH DSDV,0.07407407407407407,4,50,5,0.031746031746031744,2,61,2,0.412523600529999
HYDROCORTISONE SOD SUCC (PF) 100 MG/2 ML INJ SOLR,0.07407407407407407,4,50,16,0.031746031746031744,2,61,3,0.412523600529999
ATENOLOL 50 MG PO TABS,0.07407407407407407,4,50,6,0.031746031746031744,2,61,3,0.412523600529999
LIDOCAINE HCL 10 MG/ML (1 %) INJ SOLN,0.07407407407407407,4,50,4,0.031746031746031744,2,61,2,0.412523600529999
PREFERRED ANTIBIOTIC AGENT,0.6481481481481481,35,19,42,0.7301587301587301,46,17,52,0.4222533496596984
SODIUM CHLORIDE 0.9 % IV SOLP,0.6851851851851852,37,17,55,0.6031746031746031,38,25,50,0.4401403761639968
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,0.18518518518518517,10,44,15,0.12698412698412698,8,55,16,0.4462832103046156
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML INJ SOLN,0.18518518518518517,10,44,12,0.12698412698412698,8,55,14,0.4462832103046156
LORATADINE 10 MG PO TABS,0.037037037037037035,2,52,2,0.07936507936507936,5,58,7,0.4488623468889682
MELATONIN 1 MG PO TABS,0.037037037037037035,2,52,2,0.07936507936507936,5,58,5,0.4488623468889682
ROSUVASTATIN 10 MG PO TABS,0.037037037037037035,2,52,2,0.07936507936507936,5,58,5,0.4488623468889682
ONDANSETRON 4 MG PO TBDL,0.9814814814814815,53,1,172,1.0,63,0,156,0.46153846153846145
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.2037037037037037,11,43,13,0.14285714285714285,9,54,9,0.46298873789762174
OXYCODONE 15 MG PO TABS,0.09259259259259259,5,49,7,0.047619047619047616,3,60,5,0.46809122815230153
PANTOPRAZOLE 20 MG PO TBEC,0.09259259259259259,5,49,5,0.047619047619047616,3,60,3,0.46809122815230153
IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML INH NEBU,0.09259259259259259,5,49,11,0.047619047619047616,3,60,7,0.46809122815230153
CLEVIDIPINE 50 MG/100 ML IV EMUL,0.09259259259259259,5,49,5,0.047619047619047616,3,60,3,0.46809122815230153
LISINOPRIL 20 MG PO TABS,0.09259259259259259,5,49,6,0.047619047619047616,3,60,5,0.46809122815230153
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9074074074074074,49,5,111,0.9523809523809523,60,3,96,0.4680912281523016
ACETAMINOPHEN 325 MG PO TABS,0.9444444444444444,51,3,126,0.9047619047619048,57,6,119,0.5027573802890151
FLUTICASONE PROPIONATE 50 MCG/ACTUATION NASAL SPSN,0.05555555555555555,3,51,3,0.09523809523809523,6,57,6,0.5027573802890152
POTASSIUM CHLORIDE 20 MEQ PO TBTQ,0.1111111111111111,6,48,7,0.06349206349206349,4,59,7,0.5098817648618363
INSULIN LISPRO 100 UNIT/ML SC MILD SCALE FEEDING (MEALS),0.1111111111111111,6,48,6,0.06349206349206349,4,59,4,0.5098817648618363
SCOPOLAMINE BASE 1 MG OVER 3 DAYS TD PT3D,0.1111111111111111,6,48,6,0.06349206349206349,4,59,5,0.5098817648618363
INSULIN LISPRO 100 UNIT/ML SC MILD SCALE FEEDING (BEDTIME),0.1111111111111111,6,48,6,0.06349206349206349,4,59,4,0.5098817648618363
LOSARTAN 50 MG PO TABS,0.07407407407407407,4,50,6,0.1111111111111111,7,56,9,0.5431101197864576
FLUMAZENIL 0.1 MG/ML IV SOLN,0.6296296296296297,34,20,40,0.6825396825396826,43,20,46,0.5639054687967906
BACITRACIN ZINC 500 UNIT/GRAM TP OINT,0.09259259259259259,5,49,6,0.14285714285714285,9,54,9,0.5693988110073498
AMLODIPINE 5 MG PO TABS,0.12962962962962962,7,47,11,0.09523809523809523,6,57,12,0.5713013199425161
INSULIN LISPRO 100 UNIT/ML SC AGGRESSIVE SCALE FEEDING (MEALS),0.12962962962962962,7,47,9,0.09523809523809523,6,57,7,0.5713013199425161
NS + VANCOMYCIN MIXTURE (SHC OR),0.12962962962962962,7,47,8,0.09523809523809523,6,57,7,0.5713013199425161
INSULIN LISPRO 100 UNIT/ML SC AGGRESSIVE SCALE FEEDING (BEDTIME),0.12962962962962962,7,47,9,0.09523809523809523,6,57,7,0.5713013199425161
POTASSIUM CHLORIDE IN 0.9%NACL 20 MEQ/L IV SOLP,0.48148148148148145,26,28,35,0.42857142857142855,27,36,40,0.581993401783292
