med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
DEXAMETHASONE SODIUM PHOSPHATE 10 MG/ML INJ SOLN,0.3695652173913043,17,29,69,0.05357142857142857,3,53,8,8.829307002062849e-05
POSACONAZOLE 100 MG PO TBEC,0.30434782608695654,14,32,35,0.03571428571428571,2,54,5,0.00023235279066385209
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN",0.391304347826087,18,28,39,0.08928571428571429,5,51,9,0.0003357110810397076
DEXAMETHASONE 4 MG PO TABS,0.2826086956521739,13,33,35,0.05357142857142857,3,53,9,0.002113811783415756
ACYCLOVIR IVPB (<700 MG),0.5217391304347826,24,22,29,0.25,14,42,19,0.007191288257771341
POTASSIUM CHLORIDE IV REPLACEMENT SCALE,0.7608695652173914,35,11,496,0.5178571428571429,29,27,416,0.013991784739202049
"LEVETIRACETAM IN NACL (ISO-OS) 1,000 MG/100 ML IV PGBK",0.21739130434782608,10,36,15,0.05357142857142857,3,53,3,0.017470041034401262
VANCOMYCIN PER PHARMACY PROTOCOL (INPATIENT USE ONLY),0.1956521739130435,9,37,10,0.03571428571428571,2,54,2,0.02090951791149301
VANCOMYCIN-WATER INJECT (PEG) 1 GRAM/200 ML IV PGBK,0.1956521739130435,9,37,10,0.03571428571428571,2,54,2,0.02090951791149301
LEVETIRACETAM IN NACL (ISO-OS) 500 MG/100 ML IV PGBK,0.15217391304347827,7,39,9,0.017857142857142856,1,55,1,0.021335678026280537
ATOVAQUONE 750 MG/5 ML PO SUSP,0.5217391304347826,24,22,40,0.2857142857142857,16,40,24,0.024421957873835214
TOCILIZUMAB IV INFUSION,0.41304347826086957,19,27,35,0.19642857142857142,11,45,14,0.028086386040073772
ACYCLOVIR 400 MG PO TABS,0.9130434782608695,42,4,75,0.75,42,14,69,0.038278919656003885
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.13043478260869565,6,40,9,0.017857142857142856,1,55,1,0.04386126605383401
MEROPENEM 1 GRAM/50 ML NS MINIBAG PLUS,0.13043478260869565,6,40,14,0.017857142857142856,1,55,2,0.04386126605383401
PHENAZOPYRIDINE 100 MG PO TABS,0.13043478260869565,6,40,7,0.017857142857142856,1,55,1,0.04386126605383401
FUROSEMIDE 10 MG/ML INJ SOLN,0.43478260869565216,20,26,58,0.25,14,42,36,0.059216409619904986
FAMOTIDINE (PF) 20 MG/2 ML IV SOLN,0.3695652173913043,17,29,18,0.19642857142857142,11,45,12,0.07390453109186679
TAMSULOSIN 0.4 MG PO CAPS,0.15217391304347827,7,39,12,0.03571428571428571,2,54,2,0.07468543702108046
MEPERIDINE (PF) 25 MG/0.5 ML INJ SOLN,0.06521739130434782,3,43,3,0.19642857142857142,11,45,12,0.08180289877536659
POSACONAZOLE IVPB (CENTRAL LINE),0.10869565217391304,5,41,7,0.017857142857142856,1,55,2,0.08807515248622672
