STATE,ZONE,CWA,NAME,STATE_ZONE,COUNTY,FIPS,TIME_ZONE,FE_AREA,LAT,LON
UT,010,SLC,Wasatch Plateau/Book Cliffs,UT010,Carbon,49007,M,,39.8040,-110.7601
UT,010,SLC,Wasatch Plateau/Book Cliffs,UT010,Duchesne,49013,M,,39.8040,-110.7601
UT,010,SLC,Wasatch Plateau/Book Cliffs,UT010,Emery,49015,M,,39.8040,-110.7601
UT,010,SLC,Wasatch Plateau/Book Cliffs,UT010,Sanpete,49039,M,,39.8040,-110.7601
UT,010,SLC,Wasatch Plateau/Book Cliffs,UT010,Utah,49049,M,,39.8040,-110.7601
UT,010,SLC,Wasatch Plateau/Book Cliffs,UT010,Wasatch,49051,M,,39.8040,-110.7601
UT,011,SLC,Western Uinta Basin,UT011,Duchesne,49013,M,,40.2456,-110.3188
UT,011,SLC,Western Uinta Basin,UT011,Wasatch,49051,M,,40.2456,-110.3188
UT,012,SLC,Castle Country,UT012,Carbon,49007,M,,39.3515,-110.8643
UT,012,SLC,Castle Country,UT012,Emery,49015,M,,39.3515,-110.8643
UT,013,SLC,San Rafael Swell,UT013,Emery,49015,M,,38.5323,-110.6441
UT,013,SLC,San Rafael Swell,UT013,Garfield,49017,M,,38.5323,-110.6441
UT,013,SLC,San Rafael Swell,UT013,Sevier,49041,M,,38.5323,-110.6441
UT,013,SLC,San Rafael Swell,UT013,Wayne,49055,M,,38.5323,-110.6441
UT,014,SLC,Sanpete/Sevier Valleys,UT014,Juab,49023,M,,39.2236,-111.8653
UT,014,SLC,Sanpete/Sevier Valleys,UT014,Millard,49027,M,,39.2236,-111.8653
UT,014,SLC,Sanpete/Sevier Valleys,UT014,Sanpete,49039,M,,39.2236,-111.8653
UT,014,SLC,Sanpete/Sevier Valleys,UT014,Sevier,49041,M,,39.2236,-111.8653
UT,014,SLC,Sanpete/Sevier Valleys,UT014,Utah,49049,M,,39.2236,-111.8653
UT,015,SLC,West Central Utah,UT015,Juab,49023,M,,39.2847,-113.1318
UT,015,SLC,West Central Utah,UT015,Millard,49027,M,,39.2847,-113.1318
UT,016,SLC,Southwest Utah,UT016,Beaver,49001,M,,38.1009,-113.4582
UT,016,SLC,Southwest Utah,UT016,Iron,49021,M,,38.1009,-113.4582
UT,016,SLC,Southwest Utah,UT016,Washington,49053,M,,38.1009,-113.4582
UT,019,SLC,Utah's Dixie and Zion National Park,UT019,Washington,49053,M,,37.1699,-113.5478
UT,020,SLC,South Central Utah,UT020,Garfield,49017,M,,37.3608,-111.8223
UT,020,SLC,South Central Utah,UT020,Kane,49025,M,,37.3608,-111.8223
UT,020,SLC,South Central Utah,UT020,Washington,49053,M,,37.3608,-111.8223
UT,021,SLC,Glen Canyon Recreation Area/Lake Powell,UT021,Garfield,49017,M,,37.3392,-110.8317
UT,021,SLC,Glen Canyon Recreation Area/Lake Powell,UT021,Kane,49025,M,,37.3392,-110.8317
UT,021,SLC,Glen Canyon Recreation Area/Lake Powell,UT021,San Juan,49037,M,se,37.3392,-110.8317
UT,022,GJT,Southeast Utah,UT022,San Juan,49037,M,se,37.2729,-109.6517
UT,023,GJT,Eastern Unita Mountains,UT023,Daggett,49009,M,ne,40.7677,-109.5041
UT,023,GJT,Eastern Unita Mountains,UT023,Uintah,49047,M,ne,40.7677,-109.5041
UT,024,GJT,Eastern Uinta Basin,UT024,Uintah,49047,M,ne,40.2152,-109.5380
UT,025,GJT,Tavaputs Plateau,UT025,Grand,49019,M,ec,39.4851,-109.5696
UT,025,GJT,Tavaputs Plateau,UT025,Uintah,49047,M,ne,39.4851,-109.5696
UT,027,GJT,Arches/Grand Flat,UT027,Grand,49019,M,ec,38.8582,-109.5593
UT,028,GJT,La Sal and Abajo Mountains,UT028,Grand,49019,M,ec,38.0470,-109.3836
UT,028,GJT,La Sal and Abajo Mountains,UT028,San Juan,49037,M,se,38.0470,-109.3836
UT,029,GJT,Canyonlands/Natural Bridges,UT029,San Juan,49037,M,se,37.8442,-110.0067
UT,517,SLC,Central and Southwest Mountains,UT517,Emery,49015,M,,38.9735,-111.7691
UT,517,SLC,Central and Southwest Mountains,UT517,Juab,49023,M,,38.9735,-111.7691
UT,517,SLC,Central and Southwest Mountains,UT517,Millard,49027,M,,38.9735,-111.7691
UT,517,SLC,Central and Southwest Mountains,UT517,Sanpete,49039,M,,38.9735,-111.7691
UT,517,SLC,Central and Southwest Mountains,UT517,Sevier,49041,M,,38.9735,-111.7691
UT,518,SLC,Southern Utah Mountains,UT518,Beaver,49001,M,,37.8751,-112.4023
UT,518,SLC,Southern Utah Mountains,UT518,Garfield,49017,M,,37.8751,-112.4023
UT,518,SLC,Southern Utah Mountains,UT518,Iron,49021,M,,37.8751,-112.4023
UT,518,SLC,Southern Utah Mountains,UT518,Kane,49025,M,,37.8751,-112.4023
UT,518,SLC,Southern Utah Mountains,UT518,Piute,49031,M,,37.8751,-112.4023
UT,518,SLC,Southern Utah Mountains,UT518,Washington,49053,M,,37.8751,-112.4023
UT,518,SLC,Southern Utah Mountains,UT518,Wayne,49055,M,,37.8751,-112.4023
VA,001,MRX,Lee,VA001,Lee,51105,E,sw,36.7055,-83.1285
VA,002,MRX,Wise,VA002,Wise,51195,E,sw,36.9745,-82.6213
VA,002,MRX,Wise,VA002,City of Norton,51720,E,sw,36.9745,-82.6213
VA,003,RLX,Dickenson,VA003,Dickenson,51051,E,,37.1258,-82.3503
VA,004,RLX,Buchanan,VA004,Buchanan,51027,E,,37.2666,-82.0360
VA,005,MRX,Scott,VA005,Scott,51169,E,sw,36.7142,-82.6030
VA,006,MRX,Russell,VA006,Russell,51167,E,sw,36.9338,-82.0956
VA,007,RNK,Tazewell,VA007,Tazewell,51185,E,sw,37.1250,-81.5606
VA,008,MRX,Washington,VA008,Washington,51191,E,sw,36.7221,-81.9642
VA,008,MRX,Washington,VA008,City of Bristol,51520,E,sw,36.7221,-81.9642
VA,009,RNK,Smyth,VA009,Smyth,51173,E,sw,36.8439,-81.5370
VA,010,RNK,Bland,VA010,Bland,51021,E,sw,37.1340,-81.1302
VA,011,RNK,Giles,VA011,Giles,51071,E,sw,37.3141,-80.7037
VA,012,RNK,Wythe,VA012,Wythe,51197,E,sw,36.9171,-81.0786
VA,013,RNK,Pulaski,VA013,Pulaski,51155,E,sw,37.0654,-80.7096
VA,013,RNK,Pulaski,VA013,City of Radford,51750,E,sw,37.0654,-80.7096
VA,014,RNK,Montgomery,VA014,Montgomery,51121,E,sw,37.1740,-80.3869
VA,015,RNK,Grayson,VA015,Grayson,51077,E,sw,36.6566,-81.2250
VA,016,RNK,Carroll,VA016,Carroll,51035,E,sw,36.7304,-80.7370
VA,016,RNK,Carroll,VA016,City of Galax,51640,E,sw,36.7304,-80.7370
VA,017,RNK,Floyd,VA017,Floyd,51063,E,sw,36.9315,-80.3626
VA,018,RNK,Craig,VA018,Craig,51045,E,sw,37.4813,-80.2123
VA,019,RNK,Alleghany,VA019,Alleghany,51005,E,wc,37.7875,-80.0067
VA,019,RNK,Alleghany,VA019,City of Covington,51580,E,wc,37.7875,-80.0067
VA,020,RNK,Bath,VA020,Bath,51017,E,wc,38.0587,-79.7411
VA,022,RNK,Roanoke,VA022,Roanoke,51161,E,wc,37.2714,-80.0520
VA,022,RNK,Roanoke,VA022,City of Roanoke,51770,E,wc,37.2714,-80.0520
VA,022,RNK,Roanoke,VA022,City of Salem,51775,E,wc,37.2714,-80.0520
VA,023,RNK,Botetourt,VA023,Botetourt,51023,E,wc,37.5571,-79.8123
VA,024,RNK,Rockbridge,VA024,Rockbridge,51163,E,wc,37.8136,-79.4465
VA,024,RNK,Rockbridge,VA024,City of Buena Vista,51530,E,wc,37.8136,-79.4465
VA,024,RNK,Rockbridge,VA024,City of Lexington,51678,E,wc,37.8136,-79.4465
VA,025,LWX,Augusta,VA025,City of Staunton,51790,E,ww,38.1630,-79.1289
VA,025,LWX,Augusta,VA025,City of Waynesboro,51820,E,ww,38.1630,-79.1289
VA,026,LWX,Rockingham,VA026,Rockingham,51165,E,ww,38.5106,-78.8757
VA,026,LWX,Rockingham,VA026,City of Harrisonburg,51660,E,ww,38.5106,-78.8757
VA,027,LWX,Shenandoah,VA027,Shenandoah,51171,E,nw,38.8585,-78.5704
VA,028,LWX,Frederick,VA028,Frederick,51069,E,nw,39.2039,-78.2606
VA,028,LWX,Frederick,VA028,City of Winchester,51840,E,nw,39.2039,-78.2606
VA,029,LWX,Page,VA029,Page,51139,E,nw,38.6200,-78.4841
VA,030,LWX,Warren,VA030,Warren,51187,E,nw,38.9087,-78.2072
VA,031,LWX,Clarke,VA031,Clarke,51043,E,nw,39.1122,-77.9966
VA,032,RNK,Patrick,VA032,Patrick,51141,E,sw,36.6784,-80.2843
VA,033,RNK,Franklin,VA033,Franklin,51067,E,wc,36.9920,-79.8810
VA,034,RNK,Bedford,VA034,Bedford,51019,E,sc,37.3152,-79.5242
VA,035,RNK,Amherst,VA035,Amherst,51009,E,cc,37.6048,-79.1451
VA,036,LWX,Nelson,VA036,Nelson,51125,E,cc,37.7874,-78.8867
VA,037,LWX,Albemarle,VA037,City of Charlottesville,51540,E,cc,38.0231,-78.5555
VA,038,LWX,Greene,VA038,Greene,51079,E,cc,38.2977,-78.4669
VA,039,LWX,Madison,VA039,Madison,51113,E,nw,38.4137,-78.2792
VA,040,LWX,Rappahannock,VA040,Rappahannock,51157,E,nw,38.6845,-78.1593
VA,043,RNK,Henry,VA043,Henry,51089,E,sc,36.6828,-79.8736
VA,043,RNK,Henry,VA043,City of Martinsville,51690,E,sc,36.6828,-79.8736
VA,044,RNK,Pittsylvania,VA044,Pittsylvania,51143,E,sc,36.8111,-79.3976
VA,044,RNK,Pittsylvania,VA044,City of Danville,51590,E,sc,36.8111,-79.3976
VA,045,RNK,Campbell,VA045,Campbell,51031,E,cc,37.2231,-79.1048
VA,045,RNK,Campbell,VA045,City of Lynchburg,51680,E,cc,37.2231,-79.1048
VA,046,RNK,Appomattox,VA046,Appomattox,51011,E,cc,37.3722,-78.8121
VA,047,RNK,Buckingham,VA047,Buckingham,51029,E,cc,37.5722,-78.5287
VA,048,AKQ,Fluvanna,VA048,Fluvanna,51065,E,cc,37.8419,-78.2774
VA,050,LWX,Orange,VA050,Orange,51137,E,cc,38.2463,-78.0134
VA,051,LWX,Culpeper,VA051,Culpeper,51047,E,nn,38.4861,-77.9559
VA,052,LWX,Prince William/Manassas/Manassas Park,VA052,Prince William,51153,E,nn,38.7054,-77.4819
VA,052,LWX,Prince William/Manassas/Manassas Park,VA052,City of Manassas,51683,E,nn,38.7054,-77.4819
VA,052,LWX,Prince William/Manassas/Manassas Park,VA052,City of Manassas Park,51685,E,nn,38.7054,-77.4819
VA,053,LWX,Fairfax,VA053,Fairfax,51059,E,nn,38.8387,-77.2791
VA,053,LWX,Fairfax,VA053,City of Fairfax,51600,E,nn,38.8387,-77.2791
VA,054,LWX,Arlington/Falls Church/Alexandria,VA054,Arlington,51013,E,nn,38.8577,-77.0989
VA,054,LWX,Arlington/Falls Church/Alexandria,VA054,City of Alexandria,51510,E,nn,38.8577,-77.0989
VA,054,LWX,Arlington/Falls Church/Alexandria,VA054,City of Falls Church,51610,E,nn,38.8577,-77.0989
VA,055,LWX,Stafford,VA055,Stafford,51179,E,nn,38.4213,-77.4603
VA,056,LWX,Spotsylvania,VA056,Spotsylvania,51177,E,cc,38.1882,-77.6525
VA,056,LWX,Spotsylvania,VA056,City of Fredericksburg,51630,E,cc,38.1882,-77.6525
VA,057,LWX,King George,VA057,King George,51099,E,cc,38.2729,-77.1572
VA,058,RNK,Halifax,VA058,Halifax,51083,E,sc,36.7670,-78.9367
VA,059,RNK,Charlotte,VA059,Charlotte,51037,E,sc,37.0116,-78.6616
VA,060,AKQ,Prince Edward,VA060,Prince Edward,51147,E,cc,37.2243,-78.4411
VA,061,AKQ,Cumberland,VA061,Cumberland,51049,E,cc,37.5120,-78.2450
VA,062,AKQ,Goochland,VA062,Goochland,51075,E,cc,37.7220,-77.9164
VA,064,AKQ,Caroline,VA064,Caroline,51033,E,nc,38.0272,-77.3475
VA,065,AKQ,Mecklenburg,VA065,Mecklenburg,51117,E,sc,36.6804,-78.3627
VA,066,AKQ,Lunenburg,VA066,Lunenburg,51111,E,sc,36.9462,-78.2406
VA,067,AKQ,Nottoway,VA067,Nottoway,51135,E,sc,37.1431,-78.0512
VA,068,AKQ,Amelia,VA068,Amelia,51007,E,cc,37.3360,-77.9761
VA,069,AKQ,Powhatan,VA069,Powhatan,51145,E,cc,37.5502,-77.9152
VA,075,AKQ,Westmoreland,VA075,Westmoreland,51193,E,ec,38.1108,-76.8052
VA,075,AKQ,Westmoreland,VA075,Westmoreland,51193,E,ec,38.1366,-76.7253
VA,076,AKQ,Richmond,VA076,Richmond,51159,E,ec,37.8881,-76.7671
VA,076,AKQ,Richmond,VA076,Richmond,51159,E,ec,37.9429,-76.7249
VA,077,AKQ,Northumberland,VA077,Northumberland,51133,E,ee,37.8863,-76.4228
VA,078,AKQ,Lancaster,VA078,Lancaster,51103,E,ee,37.6779,-76.4808
VA,078,AKQ,Lancaster,VA078,Lancaster,51103,E,ee,37.7371,-76.4650
VA,079,AKQ,Brunswick,VA079,Brunswick,51025,E,sc,36.7648,-77.8590
VA,080,AKQ,Dinwiddie,VA080,Dinwiddie,51053,E,sc,37.0759,-77.6323
VA,081,AKQ,Prince George,VA081,Prince George,51149,E,sc,37.1915,-77.2389
VA,081,AKQ,Prince George,VA081,City of Hopewell,51670,E,sc,37.1915,-77.2389
VA,081,AKQ,Prince George,VA081,City of Petersburg,51730,E,sc,37.1915,-77.2389
VA,082,AKQ,Charles City,VA082,Charles City,51036,E,ec,37.3565,-77.0613
VA,082,AKQ,Charles City,VA082,Charles City,51036,E,ec,37.2385,-76.9027
VA,083,AKQ,New Kent,VA083,New Kent,51127,E,ec,37.5052,-76.9972
VA,084,AKQ,Gloucester,VA084,Gloucester,51073,E,se,37.4257,-76.5431
VA,084,AKQ,Gloucester,VA084,Gloucester,51073,E,ee,37.3249,-76.5063
VA,085,AKQ,Middlesex,VA085,Middlesex,51119,E,ee,37.6353,-76.5769
VA,085,AKQ,Middlesex,VA085,Middlesex,51119,E,ee,37.6258,-76.4816
VA,086,AKQ,Mathews,VA086,Mathews,51115,E,ee,37.4368,-76.3444
VA,086,AKQ,Mathews,VA086,Mathews,51115,E,ee,37.4577,-76.3416
VA,087,AKQ,Greensville,VA087,Greensville,51081,E,sc,36.6763,-77.5590
VA,087,AKQ,Greensville,VA087,City of Emporia,51595,E,se,36.6763,-77.5590
VA,088,AKQ,Sussex,VA088,Sussex,51183,E,se,36.9218,-77.2618
VA,089,AKQ,Surry,VA089,Surry,51181,E,se,37.1169,-76.8883
VA,090,AKQ,James City,VA090,James City,51095,E,se,37.3264,-76.7745
VA,090,AKQ,James City,VA090,James City,51095,E,se,37.2088,-76.7412
VA,090,AKQ,James City,VA090,City of Williamsburg,51830,E,se,37.3264,-76.7745
VA,092,AKQ,Southampton,VA092,Southampton,51175,E,se,36.7199,-77.1038
VA,092,AKQ,Southampton,VA092,City of Franklin,51620,E,se,36.7199,-77.1038
VA,093,AKQ,Isle of Wight,VA093,Isle of Wight,51093,E,se,36.9067,-76.7091
VA,095,AKQ,Norfolk/Portsmouth,VA095,City of Norfolk,51710,E,se,36.8959,-76.3428
VA,095,AKQ,Norfolk/Portsmouth,VA095,City of Norfolk,51710,E,se,36.8752,-76.2937
VA,095,AKQ,Norfolk/Portsmouth,VA095,City of Portsmouth,51740,E,se,36.8959,-76.3428
VA,095,AKQ,Norfolk/Portsmouth,VA095,City of Portsmouth,51740,E,se,36.8752,-76.2937
VA,096,AKQ,Suffolk,VA096,City of Suffolk,51800,E,se,36.6926,-76.6417
VA,096,AKQ,Suffolk,VA096,City of Suffolk,51800,E,se,36.8935,-76.4749
VA,097,AKQ,Chesapeake,VA097,City of Chesapeake,51550,E,se,36.6778,-76.3024
VA,098,AKQ,Virginia Beach,VA098,City of Virginia Beach,51810,E,se,36.7494,-76.0571
VA,099,AKQ,Accomack,VA099,Accomack,51001,E,se,37.7659,-75.6472
VA,100,AKQ,Northampton,VA100,Northampton,51131,E,ee,37.3566,-75.8995
VA,501,LWX,Northern Fauquier,VA501,Fauquier,51061,E,nn,38.8540,-77.8851
VA,502,LWX,Southern Fauquier,VA502,Fauquier,51061,E,nn,38.5953,-77.7154
VA,503,LWX,Western Highland,VA503,Highland,51091,E,ww,38.4256,-79.6618
VA,504,LWX,Eastern Highland,VA504,Highland,51091,E,ww,38.3315,-79.5230
VA,505,LWX,Western Loudoun,VA505,Loudoun,51107,E,nn,39.1337,-77.6963
VA,506,LWX,Eastern Loudoun,VA506,Loudoun,51107,E,nn,39.0052,-77.5151
VA,507,LWX,Northern Virginia Blue Ridge,VA507,Greene,51079,E,cc,38.5272,-78.4323
VA,507,LWX,Northern Virginia Blue Ridge,VA507,Madison,51113,E,nw,38.5272,-78.4323
VA,507,LWX,Northern Virginia Blue Ridge,VA507,Page,51139,E,nw,38.5272,-78.4323
VA,507,LWX,Northern Virginia Blue Ridge,VA507,Rappahannock,51157,E,nw,38.5272,-78.4323
VA,507,LWX,Northern Virginia Blue Ridge,VA507,Rockingham,51165,E,ww,38.5272,-78.4323
VA,507,LWX,Northern Virginia Blue Ridge,VA507,Warren,51187,E,nw,38.5272,-78.4323
VA,508,LWX,Central Virginia Blue Ridge,VA508,Albemarle,51003,E,cc,37.9889,-78.9469
VA,508,RNK,Central Virginia Blue Ridge,VA508,Amherst,51009,E,cc,37.9889,-78.9469
VA,508,LWX,Central Virginia Blue Ridge,VA508,Augusta,51015,E,ww,37.9889,-78.9469
VA,508,RNK,Central Virginia Blue Ridge,VA508,Nelson,51125,E,cc,37.9889,-78.9469
VA,508,RNK,Central Virginia Blue Ridge,VA508,Rockbridge,51163,E,wc,37.9889,-78.9469
VA,509,AKQ,Western Louisa,VA509,Louisa,51109,E,cc,38.0408,-78.1061
VA,510,AKQ,Eastern Louisa,VA510,Louisa,51109,E,cc,37.9335,-77.8608
VA,511,AKQ,Western Hanover,VA511,Hanover,51085,E,cc,37.8090,-77.5823
VA,512,AKQ,Eastern Hanover,VA512,Hanover,51085,E,cc,37.4671,-77.2793
VA,513,AKQ,Western Chesterfield,VA513,Chesterfield,51041,E,cc,37.3765,-77.5835
VA,514,AKQ,Eastern Chesterfield (Including Col. Heights),VA514,City of Colonial Heights,51570,E,cc,37.3765,-77.5835
VA,515,AKQ,Western Henrico (Including the City of Richmond),VA515,Henrico,51087,E,cc,37.5362,-77.4200
VA,515,AKQ,Western Henrico (Including the City of Richmond),VA515,City of Richmond,51760,E,cc,37.5293,-77.4754
VA,516,AKQ,Eastern Henrico,VA516,Henrico,51087,E,cc,37.5362,-77.4200
VA,517,AKQ,Western King William,VA517,King William,51101,E,ec,37.7067,-77.0884
VA,518,AKQ,Eastern King William,VA518,King William,51101,E,ec,37.7067,-77.0884
VA,519,AKQ,Western King and Queen,VA519,King and Queen,51097,E,ec,37.7179,-76.8946
VA,520,AKQ,Eastern King and Queen,VA520,King and Queen,51097,E,ec,37.7179,-76.8946
VA,521,AKQ,Western Essex,VA521,Essex,51057,E,ec,37.8958,-76.8080
VA,522,AKQ,Eastern Essex,VA522,Essex,51057,E,ec,37.9426,-76.9518
VA,523,AKQ,York,VA523,York,51199,E,se,37.2242,-76.5383
VA,523,AKQ,York,VA523,York,51199,E,se,37.2560,-76.5124
VA,523,AKQ,York,VA523,City of Poquoson,51735,E,se,37.2242,-76.5383
VA,524,AKQ,Newport News/Hampton,VA524,City of Newport News,51700,e,SE,37.0770,-76.5058
VA,525,AKQ,Hampton/Poquoson,VA525,City of Hampton,51650,E,se,37.0534,-76.3673
VI,001,SJU,St.Thomas...St. John.. and Adjacent Islands,VI001,Saint John,78020,V,,18.3429,-64.8564
VI,001,SJU,St.Thomas...St. John.. and Adjacent Islands,VI001,Saint Thomas,78030,V,,18.3429,-64.8564
VI,002,SJU,St Croix,VI002,Saint Croix,78010,V,,17.7333,-64.7677
VT,001,BTV,Grand Isle,VT001,Grand Isle,50013,E,nw,44.7968,-73.2948
VT,002,BTV,Western Franklin,VT002,Franklin,50011,E,nw,44.8517,-73.0340
VT,003,BTV,Orleans,VT003,Orleans,50019,E,ne,44.8288,-72.2438
VT,004,BTV,Essex,VT004,Essex,50009,E,nn,44.7281,-71.7364
VT,005,BTV,Western Chittenden,VT005,Chittenden,50007,E,nw,44.4793,-73.1562
VT,006,BTV,Lamoille,VT006,Lamoille,50015,E,nw,44.6057,-72.6414
VT,007,BTV,Caledonia,VT007,Caledonia,50005,E,ne,44.4647,-72.1022
VT,008,BTV,Washington,VT008,Washington,50023,E,cc,44.2734,-72.6149
VT,009,BTV,Western Addison,VT009,Addison,50001,E,cc,44.0215,-73.2394
VT,010,BTV,Orange,VT010,Orange,50017,E,cc,44.0056,-72.3769
VT,011,BTV,Western Rutland,VT011,Rutland,50021,E,ss,43.5856,-73.1398
VT,012,BTV,Windsor,VT012,Windsor,50027,E,ss,43.5798,-72.5855
VT,013,ALY,Bennington,VT013,Bennington,50003,E,ss,43.0355,-73.0929
VT,014,ALY,Western Windham,VT014,Windham,50025,E,ss,43.0015,-72.7867
VT,015,ALY,Eastern Windham,VT015,Windham,50025,E,ss,42.9675,-72.5583
VT,016,BTV,Eastern Franklin,VT016,Franklin,50011,E,nw,44.8662,-72.7255
