med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),1.0,2.8666666666666667,75,215,NALOXONE 0.4 MG/ML INJ SOLN,1.0,3.5405405405405403,74,262
NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.88,75,216,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.581081081081081,74,191
ONDANSETRON 4 MG PO TBDL,1.0,2.3466666666666667,75,176,OXYCODONE 5 MG PO TABS,1.0,6.121621621621622,74,453
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.2533333333333334,75,169,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9864864864864865,3.3378378378378377,73,247
OXYCODONE 5 MG PO TABS,1.0,5.293333333333333,75,397,ONDANSETRON 4 MG PO TBDL,0.9864864864864865,2.108108108108108,73,156
ELECTROLYTE-R (PH 7.4) IV SOLP,0.9866666666666667,2.36,74,177,ELECTROLYTE-R (PH 7.4) IV SOLP,0.972972972972973,2.22972972972973,72,165
HYDROMORPHONE 1 MG/ML INJ SYRG,0.9733333333333334,3.24,73,243,HYDROMORPHONE 1 MG/ML INJ SYRG,0.972972972972973,4.77027027027027,72,353
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9333333333333333,1.2133333333333334,70,91,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.918918918918919,1.472972972972973,68,109
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.9066666666666666,1.4533333333333334,68,109,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.8918918918918919,1.7027027027027026,66,126
GABAPENTIN 300 MG PO CAPS,0.8666666666666667,1.84,65,138,POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,0.8243243243243243,1.364864864864865,61,101
POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,0.8666666666666667,1.1066666666666667,65,83,GABAPENTIN 300 MG PO CAPS,0.7972972972972973,1.8918918918918919,59,140
ACETAMINOPHEN 325 MG PO TABS,0.8533333333333334,1.6,64,120,HYDROMORPHONE 1 MG/ML IV PCA,0.7702702702702703,0.8783783783783784,57,65
ALVIMOPAN 12 MG PO CAPS,0.8,1.5066666666666666,60,113,ACETAMINOPHEN 500 MG PO TABS,0.7297297297297297,1.6756756756756757,54,124
ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.8,1.0933333333333333,60,82,ACETAMINOPHEN 325 MG PO TABS,0.7162162162162162,1.527027027027027,53,113
ACETAMINOPHEN 500 MG PO TABS,0.72,1.28,54,96,ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.7162162162162162,1.2432432432432432,53,92
HYDROMORPHONE 1 MG/ML IV PCA,0.7066666666666667,0.72,53,54,ALVIMOPAN 12 MG PO CAPS,0.581081081081081,0.8783783783783784,43,65
PREFERRED ANTIBIOTIC AGENT,0.5866666666666667,0.6666666666666666,44,50,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.5405405405405406,0.9594594594594594,40,71
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.52,0.5866666666666667,39,44,METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.5135135135135135,0.7432432432432432,38,55
CELECOXIB 200 MG PO CAPS,0.49333333333333335,0.5066666666666667,37,38,PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.5135135135135135,0.6891891891891891,38,51
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.49333333333333335,0.6,37,45,PREFERRED ANTIBIOTIC AGENT,0.4864864864864865,0.527027027027027,36,39
