med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
ACETAMINOPHEN 325 MG PO TABS,0.8192771084337349,0.9879518072289156,68,82,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9010989010989011,1.5934065934065933,82,145
HYDROXYZINE HCL 25 MG PO TABS,0.8072289156626506,1.4216867469879517,67,118,HYDROXYZINE HCL 25 MG PO TABS,0.8131868131868132,1.7802197802197801,74,162
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.7349397590361446,1.072289156626506,61,89,ACETAMINOPHEN 325 MG PO TABS,0.8021978021978022,1.2967032967032968,73,118
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.37349397590361444,0.37349397590361444,31,31,ZZZ IMS TEMPLATE,0.6153846153846154,1.978021978021978,56,180
MELATONIN 3 MG PO TABS,0.3493975903614458,0.5301204819277109,29,44,"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.43956043956043955,0.4945054945054945,40,45
TRAZODONE 50 MG PO TABS,0.3253012048192771,0.6385542168674698,27,53,TRAZODONE 50 MG PO TABS,0.4065934065934066,0.7142857142857143,37,65
ZZZ IMS TEMPLATE,0.3253012048192771,0.5421686746987951,27,45,MELATONIN 3 MG PO TABS,0.37362637362637363,0.5934065934065934,34,54
ONDANSETRON 4 MG PO TBDL,0.3132530120481928,0.3614457831325301,26,30,ONDANSETRON 4 MG PO TBDL,0.34065934065934067,0.6483516483516484,31,59
NICOTINE (POLACRILEX) 2 MG BUCCAL GUM,0.30120481927710846,0.3855421686746988,25,32,SENNOSIDES 8.6 MG PO TABS,0.31868131868131866,0.6043956043956044,29,55
ONDANSETRON 8 MG PO TBDL,0.30120481927710846,0.3253012048192771,25,27,OLANZAPINE 5 MG PO TBDL,0.3076923076923077,1.065934065934066,28,97
MELATONIN 5 MG PO TABS,0.24096385542168675,0.3132530120481928,20,26,MELATONIN 5 MG PO TABS,0.2967032967032967,0.6043956043956044,27,55
IBUPROFEN 400 MG PO TABS,0.21686746987951808,0.27710843373493976,18,23,NICOTINE (POLACRILEX) 2 MG BUCCAL GUM,0.27472527472527475,0.43956043956043955,25,40
LORAZEPAM 1 MG PO TABS,0.21686746987951808,0.3373493975903614,18,28,LORAZEPAM 1 MG PO TABS,0.23076923076923078,0.6043956043956044,21,55
OLANZAPINE 5 MG PO TBDL,0.21686746987951808,0.4578313253012048,18,38,ACETAMINOPHEN 500 MG PO TABS,0.21978021978021978,0.8351648351648352,20,76
ALUM-MAG HYDROXIDE-SIMETH 400-400-40 MG/5 ML PO SUSP,0.1927710843373494,0.20481927710843373,16,17,DOCUSATE SODIUM 100 MG PO CAPS,0.2087912087912088,0.3626373626373626,19,33
SENNOSIDES 8.6 MG PO TABS,0.1927710843373494,0.30120481927710846,16,25,NON-FORMULARY MEDICATION HELP ORDER,0.2087912087912088,0.31868131868131866,19,29
QUETIAPINE 25 MG PO TABS,0.18072289156626506,0.3614457831325301,15,30,OLANZAPINE 10 MG PO TABS,0.2087912087912088,0.3626373626373626,19,33
FOLIC ACID 1 MG PO TABS,0.1566265060240964,0.30120481927710846,13,25,OLANZAPINE 5 MG PO TABS,0.2087912087912088,0.3076923076923077,19,28
NICOTINE 14 MG/24 HR TD PT24,0.14457831325301204,0.1566265060240964,12,13,ESCITALOPRAM OXALATE 10 MG PO TABS,0.1978021978021978,0.42857142857142855,18,39
OLANZAPINE 5 MG PO TABS,0.13253012048192772,0.25301204819277107,11,21,LORAZEPAM 0.5 MG PO TABS,0.1978021978021978,0.4945054945054945,18,45
