med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
NALOXONE 0.4 MG/ML INJ SOLN,1.0,1.8,195,351,NALOXONE 0.4 MG/ML INJ SOLN,1.0,1.9952830188679245,212,423
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9948717948717949,1.917948717948718,194,374,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9952830188679245,3.8820754716981134,211,823
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9948717948717949,2.7025641025641027,194,527,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9905660377358491,2.1556603773584904,210,457
ONDANSETRON 4 MG PO TBDL,0.9692307692307692,2.3435897435897437,189,457,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9858490566037735,3.0047169811320753,209,637
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.958974358974359,3.2,187,624,ONDANSETRON 4 MG PO TBDL,0.9764150943396226,2.3820754716981134,207,505
ACETAMINOPHEN 325 MG PO TABS,0.9384615384615385,2.164102564102564,183,422,ACETAMINOPHEN 325 MG PO TABS,0.9386792452830188,2.193396226415094,199,465
FLUMAZENIL 0.1 MG/ML IV SOLN,0.9076923076923077,0.9846153846153847,177,192,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.8632075471698113,1.7547169811320755,183,372
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,0.8769230769230769,1.794871794871795,171,350,HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,0.8537735849056604,1.7971698113207548,181,381
ELECTROLYTE-R (PH 7.4) IV SOLP,0.8307692307692308,1.7128205128205127,162,334,POTASSIUM CHLORIDE IN 0.9%NACL 20 MEQ/L IV SOLP,0.8443396226415094,1.1745283018867925,179,249
HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,0.8307692307692308,1.005128205128205,162,196,FLUMAZENIL 0.1 MG/ML IV SOLN,0.8349056603773585,0.9716981132075472,177,206
POTASSIUM CHLORIDE IN 0.9%NACL 20 MEQ/L IV SOLP,0.8153846153846154,0.9897435897435898,159,193,ELECTROLYTE-R (PH 7.4) IV SOLP,0.8113207547169812,1.6367924528301887,172,347
PHYSIOSOL + BACITRACIN MIXTURE (SHC OR),0.8051282051282052,0.8051282051282052,157,157,HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,0.7924528301886793,1.0424528301886793,168,221
BACITRACIN ZINC 500 UNIT/GRAM TP OINT,0.7948717948717948,0.8051282051282052,155,157,BACITRACIN ZINC 500 UNIT/GRAM TP OINT,0.7830188679245284,0.8349056603773585,166,177
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.7948717948717948,1.3333333333333333,155,260,PHYSIOSOL + BACITRACIN MIXTURE (SHC OR),0.7547169811320755,0.8018867924528302,160,170
SENNOSIDES 8.6 MG PO TABS,0.7846153846153846,1.4820512820512821,153,289,METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.7405660377358491,1.0943396226415094,157,232
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.7692307692307693,1.0564102564102564,150,206,METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.7358490566037735,1.0566037735849056,156,224
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.7487179487179487,0.8512820512820513,146,166,SENNOSIDES 8.6 MG PO TABS,0.7311320754716981,1.490566037735849,155,316
OXYCODONE 5 MG PO TABS,0.7025641025641025,2.2256410256410257,137,434,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.6981132075471698,1.2641509433962264,148,268
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.6615384615384615,0.8564102564102564,129,167,BISACODYL 10 MG PR SUPP,0.6273584905660378,0.8867924528301887,133,188
MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.6564102564102564,0.7692307692307693,128,150,DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML INJ SOLN,0.6084905660377359,1.278301886792453,129,271
