med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
HYDROMORPHONE 1 MG/ML INJ SYRG,1.0,3.7857142857142856,70,265,BISACODYL 10 MG PR SUPP,1.0,2.369565217391304,46,109
NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.1142857142857143,70,148,DEXMEDETOMIDINE IN 0.9 % NACL 400 MCG/100 ML (4 MCG/ML) IV SOLN,1.0,3.369565217391304,46,155
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,1.3,70,91,DEXTROSE 50 % IN WATER (D50W) IV SYRG,1.0,3.0434782608695654,46,140
ONDANSETRON 4 MG PO TBDL,0.9857142857142858,1.8571428571428572,69,130,HYDROMORPHONE 1 MG/ML INJ SYRG,1.0,5.369565217391305,46,247
OXYCODONE 5 MG PO TABS,0.9857142857142858,5.914285714285715,69,414,NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.760869565217391,46,127
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9857142857142858,3.057142857142857,69,214,NORMOSOL-R IV BOLUS - 500 ML,1.0,6.086956521739131,46,280
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.9857142857142858,1.4428571428571428,69,101,ONDANSETRON 4 MG PO TBDL,1.0,2.0869565217391304,46,96
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.9857142857142858,1.2857142857142858,69,90,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,1.673913043478261,46,77
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.9857142857142858,2.0142857142857142,69,141,OXYCODONE 5 MG PO TABS,1.0,6.565217391304348,46,302
SENNOSIDES 8.6 MG PO TABS,0.9857142857142858,2.357142857142857,69,165,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,1.0,4.043478260869565,46,186
ACETAMINOPHEN 500 MG PO TABS,0.9714285714285714,2.1857142857142855,68,153,POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,1.0,1.6304347826086956,46,75
BISACODYL 10 MG PR SUPP,0.9714285714285714,1.7,68,119,POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,1.0,1.608695652173913,46,74
CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,0.9714285714285714,1.9857142857142858,68,139,POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,1.0,3.217391304347826,46,148
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.9714285714285714,1.6571428571428573,68,116,SENNOSIDES 8.6 MG PO TABS,1.0,3.0869565217391304,46,142
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.9571428571428572,1.3857142857142857,67,97,SODIUM CHLORIDE 0.9 % (FLUSH) INJ SYRG,1.0,1.0434782608695652,46,48
POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,0.9571428571428572,1.0142857142857142,67,71,FUROSEMIDE 10 MG/ML INJ SOLN,0.9782608695652174,8.108695652173912,45,373
SODIUM CHLORIDE 0.9 % (FLUSH) INJ SYRG,0.9571428571428572,0.9857142857142858,67,69,MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.9782608695652174,2.282608695652174,45,105
NORMOSOL-R IV BOLUS - 500 ML,0.9428571428571428,5.0,66,350,POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,0.9782608695652174,1.108695652173913,45,51
ASCORBIC ACID (VITAMIN C) 500 MG PO TABS,0.9142857142857143,1.2428571428571429,64,87,ACETAMINOPHEN 500 MG PO TABS,0.9565217391304348,2.4565217391304346,44,113
BENZOCAINE-MENTHOL SUGAR FREE MAXIMUM STRENGTH LOZG,0.9142857142857143,0.9285714285714286,64,65,CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,0.9565217391304348,2.108695652173913,44,97
