med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
BISACODYL 10 MG PR SUPP,1.0,1.22,50,61,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),1.0,3.0545454545454547,55,168
NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.24,50,112,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,1.0,2.727272727272727,55,150
OXYCODONE 5 MG PO TABS,1.0,6.06,50,303,HYDROMORPHONE 1 MG/ML INJ SYRG,0.9818181818181818,3.963636363636364,54,218
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,1.0,2.3,50,115,NALOXONE 0.4 MG/ML INJ SOLN,0.9818181818181818,3.0,54,165
SENNOSIDES 8.6 MG PO TABS,1.0,1.96,50,98,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9818181818181818,2.0,54,110
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.98,2.62,49,131,SENNOSIDES 8.6 MG PO TABS,0.9818181818181818,2.1636363636363636,54,119
ONDANSETRON 4 MG PO TBDL,0.98,2.24,49,112,ONDANSETRON 4 MG PO TBDL,0.9636363636363636,2.2545454545454544,53,124
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.98,2.06,49,103,OXYCODONE 5 MG PO TABS,0.9636363636363636,6.054545454545455,53,333
ELECTROLYTE-R (PH 7.4) IV SOLP,0.96,2.24,48,112,BISACODYL 10 MG PR SUPP,0.9272727272727272,1.3818181818181818,51,76
HYDROMORPHONE 1 MG/ML INJ SYRG,0.96,3.94,48,197,ELECTROLYTE-R (PH 7.4) IV SOLP,0.9272727272727272,2.2181818181818183,51,122
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.94,1.42,47,71,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9090909090909091,1.4363636363636363,50,79
ACETAMINOPHEN 325 MG PO TABS,0.88,1.68,44,84,ACETAMINOPHEN 325 MG PO TABS,0.8909090909090909,1.9454545454545455,49,107
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.82,1.4,41,70,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.8363636363636363,1.4363636363636363,46,79
SODIUM CHLORIDE 0.9 % IV SOLP,0.76,0.92,38,46,METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.7818181818181819,0.9454545454545454,43,52
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.74,0.78,37,39,HYDRALAZINE 20 MG/ML INJ SOLN,0.7272727272727273,1.0363636363636364,40,57
CEFAZOLIN IV PUSH (1 GRAM VIAL + NS VIAL),0.58,0.58,29,29,NS W/BACITRACIN MIXTURE (SHC OR),0.7090909090909091,0.7636363636363637,39,42
PREFERRED ANTIBIOTIC AGENT,0.58,0.62,29,31,HYDROMORPHONE 1 MG/ML IV PCA,0.6909090909090909,0.9090909090909091,38,50
FLUMAZENIL 0.1 MG/ML IV SOLN,0.56,0.58,28,29,"VANCOMYCIN 1,000 MG IV SOLR",0.6363636363636364,0.6363636363636364,35,35
HYDRALAZINE 20 MG/ML INJ SOLN,0.54,0.74,27,37,BACITRACIN ZINC 500 UNIT/GRAM TP OINT,0.6181818181818182,0.6727272727272727,34,37
ACETAMINOPHEN 500 MG PO TABS,0.52,0.78,26,39,FLUMAZENIL 0.1 MG/ML IV SOLN,0.6181818181818182,0.6363636363636364,34,35
