med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
ACETAMINOPHEN 500 MG PO TABS,1.0,3.0388349514563107,103,313,BISACODYL 10 MG PR SUPP,1.0,1.2149532710280373,107,130
ELECTROLYTE-R (PH 7.4) IV SOLP,1.0,2.796116504854369,103,288,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),1.0,2.8411214953271027,107,304
MAGNESIUM CITRATE PO SOLN,1.0,1.029126213592233,103,106,NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.94392523364486,107,315
MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,1.0,1.174757281553398,103,121,ONDANSETRON 4 MG PO TBDL,1.0,2.0934579439252334,107,224
MINERAL OIL PR ENEM,1.0,1.0485436893203883,103,108,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.1588785046728973,107,231
NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.8640776699029127,103,295,OXYCODONE 5 MG PO TABS,1.0,7.663551401869159,107,820
ONDANSETRON 4 MG PO TBDL,1.0,2.116504854368932,103,218,SENNOSIDES 8.6 MG PO TABS,1.0,1.9065420560747663,107,204
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.058252427184466,103,212,ACETAMINOPHEN 500 MG PO TABS,0.9906542056074766,2.94392523364486,106,315
OXYCODONE 5 MG PO TABS,1.0,7.359223300970874,103,758,ELECTROLYTE-R (PH 7.4) IV SOLP,0.9906542056074766,2.7009345794392523,106,289
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9902912621359223,1.4271844660194175,102,147,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9906542056074766,1.233644859813084,106,132
HYDROMORPHONE 1 MG/ML INJ SYRG,0.9902912621359223,3.9902912621359223,102,411,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9813084112149533,1.3364485981308412,105,143
BISACODYL 10 MG PR SUPP,0.9805825242718447,1.058252427184466,101,109,HYDROMORPHONE 1 MG/ML INJ SYRG,0.9813084112149533,4.457943925233645,105,477
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9805825242718447,2.6116504854368934,101,269,MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.9813084112149533,1.2429906542056075,105,133
SENNOSIDES 8.6 MG PO TABS,0.9805825242718447,1.8349514563106797,101,189,MAGNESIUM CITRATE PO SOLN,0.9719626168224299,1.0560747663551402,104,113
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.970873786407767,1.203883495145631,100,124,MINERAL OIL PR ENEM,0.9719626168224299,1.1401869158878504,104,122
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.9514563106796117,1.1553398058252426,98,119,METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.9252336448598131,1.158878504672897,99,124
GABAPENTIN 300 MG PO CAPS,0.941747572815534,1.825242718446602,97,188,PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.9065420560747663,1.2149532710280373,97,130
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.8932038834951457,0.9223300970873787,92,95,GABAPENTIN 300 MG PO CAPS,0.8785046728971962,1.7476635514018692,94,187
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.883495145631068,0.912621359223301,91,94,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.8598130841121495,1.2149532710280373,92,130
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.883495145631068,1.1262135922330097,91,116,BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.8317757009345794,0.8691588785046729,89,93
