med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.142857142857143,119,255,NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.3728813559322033,118,280
ONDANSETRON 4 MG PO TBDL,1.0,2.0504201680672267,119,244,ONDANSETRON 4 MG PO TBDL,1.0,2.1440677966101696,118,253
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9915966386554622,2.033613445378151,118,242,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.1440677966101696,118,253
OXYCODONE 5 MG PO TABS,0.9915966386554622,6.630252100840337,118,789,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9915254237288136,1.3559322033898304,117,160
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9915966386554622,1.1596638655462186,118,138,HYDROMORPHONE 1 MG/ML INJ SYRG,0.9915254237288136,3.830508474576271,117,452
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9831932773109243,1.3277310924369747,117,158,OXYCODONE 5 MG PO TABS,0.9915254237288136,7.177966101694915,117,847
ELECTROLYTE-R (PH 7.4) IV SOLP,0.9831932773109243,2.6050420168067228,117,310,SENNOSIDES 8.6 MG PO TABS,0.9915254237288136,1.8559322033898304,117,219
SENNOSIDES 8.6 MG PO TABS,0.9831932773109243,1.7563025210084033,117,209,BISACODYL 10 MG PR SUPP,0.9830508474576272,1.271186440677966,116,150
BISACODYL 10 MG PR SUPP,0.9747899159663865,1.1176470588235294,116,133,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9830508474576272,2.9322033898305087,116,346
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9747899159663865,2.689075630252101,116,320,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9745762711864406,1.2881355932203389,115,152
ACETAMINOPHEN 500 MG PO TABS,0.9663865546218487,2.6470588235294117,115,315,ACETAMINOPHEN 500 MG PO TABS,0.9661016949152542,2.694915254237288,114,318
HYDROMORPHONE 1 MG/ML INJ SYRG,0.9663865546218487,3.8487394957983194,115,458,ELECTROLYTE-R (PH 7.4) IV SOLP,0.9576271186440678,2.516949152542373,113,297
MAGNESIUM CITRATE PO SOLN,0.9663865546218487,1.0,115,119,MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.9491525423728814,1.2118644067796611,112,143
MINERAL OIL PR ENEM,0.9663865546218487,1.0168067226890756,115,121,MAGNESIUM CITRATE PO SOLN,0.9322033898305084,1.0338983050847457,110,122
MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.957983193277311,1.1008403361344539,114,131,MINERAL OIL PR ENEM,0.9322033898305084,1.0338983050847457,110,122
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.9327731092436975,1.1428571428571428,111,136,METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.8728813559322034,1.1101694915254237,103,131
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.8319327731092437,0.8739495798319328,99,104,MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.8305084745762712,0.9152542372881356,98,108
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.8319327731092437,0.865546218487395,99,103,MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.8305084745762712,0.923728813559322,98,109
POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.8235294117647058,0.8739495798319328,98,104,POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.8220338983050848,0.8983050847457628,97,106
MELATONIN 5 MG PO TABS,0.8151260504201681,0.907563025210084,97,108,BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,0.7711864406779662,0.8389830508474576,91,99
