med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
ACETAMINOPHEN 325 MG PO TABS,0.61,0.7,61,70,ACETAMINOPHEN 325 MG PO TABS,0.660377358490566,0.8113207547169812,35,43
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.58,0.7,58,70,ONDANSETRON 4 MG PO TBDL,0.6415094339622641,0.8113207547169812,34,43
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.55,0.64,55,64,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.6037735849056604,0.8301886792452831,32,44
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.53,0.66,53,66,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.5660377358490566,0.9056603773584906,30,48
SENNOSIDES 8.6 MG PO TABS,0.47,0.54,47,54,SENNOSIDES 8.6 MG PO TABS,0.5660377358490566,0.6037735849056604,30,32
POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.41,0.44,41,44,NALOXONE 0.4 MG/ML INJ SOLN,0.5471698113207547,0.6792452830188679,29,36
APIXABAN 5 MG PO TABS,0.4,0.59,40,59,MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.5283018867924528,0.8490566037735849,28,45
MELATONIN 5 MG PO TABS,0.37,0.44,37,44,MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.49056603773584906,0.6415094339622641,26,34
ONDANSETRON 4 MG PO TBDL,0.33,0.41,33,41,APIXABAN 5 MG PO TABS,0.4716981132075472,1.0188679245283019,25,54
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.3,0.4,30,40,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.4528301886792453,0.7358490566037735,24,39
NALOXONE 0.4 MG/ML INJ SOLN,0.29,0.29,29,29,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.41509433962264153,0.9056603773584906,22,48
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.29,0.33,29,33,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.39622641509433965,0.4339622641509434,21,23
METOPROLOL TARTRATE 25 MG PO TABS,0.25,0.58,25,58,POTASSIUM CHLORIDE 20 MEQ PO TBTQ,0.37735849056603776,0.7169811320754716,20,38
DOFETILIDE 500 MCG PO CAPS,0.24,0.68,24,68,ELECTROLYTE-R (PH 7.4) IV SOLP,0.3584905660377358,0.4716981132075472,19,25
ACETAMINOPHEN 500 MG PO TABS,0.21,0.23,21,23,MELATONIN 5 MG PO TABS,0.3584905660377358,0.49056603773584906,19,26
GLUCOSE 4 GRAM PO CHEW,0.21,0.26,21,26,ACETAMINOPHEN 500 MG PO TABS,0.33962264150943394,0.4339622641509434,18,23
METOPROLOL SUCCINATE 25 MG PO TB24,0.21,0.32,21,32,OXYCODONE 5 MG PO TABS,0.33962264150943394,0.7547169811320755,18,40
PANTOPRAZOLE 40 MG PO TBEC,0.21,0.23,21,23,ZZZ IMS TEMPLATE,0.33962264150943394,0.6226415094339622,18,33
POTASSIUM CHLORIDE 20 MEQ PO TBTQ,0.21,0.26,21,26,METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.3018867924528302,1.0,16,53
ATORVASTATIN 20 MG PO TABS,0.19,0.21,19,21,METOPROLOL TARTRATE 25 MG PO TABS,0.2830188679245283,1.0566037735849056,15,56
