med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,1.8823529411764706,51,96,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.18,50,109
NALOXONE 0.4 MG/ML INJ SOLN,0.9803921568627451,1.9019607843137254,50,97,NALOXONE 0.4 MG/ML INJ SOLN,0.98,2.06,49,103
ONDANSETRON 4 MG PO TBDL,0.9607843137254902,1.8235294117647058,49,93,ONDANSETRON 4 MG PO TBDL,0.98,2.18,49,109
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9215686274509803,1.1568627450980393,47,59,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.96,1.32,48,66
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9019607843137255,1.1372549019607843,46,58,SENNOSIDES 8.6 MG PO TABS,0.96,1.34,48,67
SENNOSIDES 8.6 MG PO TABS,0.9019607843137255,1.0196078431372548,46,52,OXYCODONE 5 MG PO TABS,0.94,3.78,47,189
OXYCODONE 5 MG PO TABS,0.8627450980392157,3.1372549019607843,44,160,POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.9,1.12,45,56
BISACODYL 10 MG PR SUPP,0.8431372549019608,0.8823529411764706,43,45,BENZOCAINE-MENTHOL SUGAR FREE MAXIMUM STRENGTH LOZG,0.88,1.06,44,53
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.8431372549019608,0.8627450980392157,43,44,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.88,1.22,44,61
POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.8431372549019608,0.8627450980392157,43,44,THERAPEUTIC MULTIVITAMIN (GENERIC) PO TABS,0.88,1.04,44,52
BENZOCAINE-MENTHOL SUGAR FREE MAXIMUM STRENGTH LOZG,0.8235294117647058,0.8431372549019608,42,43,ACETAMINOPHEN 325 MG PO TABS,0.86,1.68,43,84
THERAPEUTIC MULTIVITAMIN (GENERIC) PO TABS,0.8235294117647058,0.8627450980392157,42,44,BISACODYL 10 MG PR SUPP,0.86,1.1,43,55
TRAMADOL 50 MG PO TABS,0.7843137254901961,0.9215686274509803,40,47,"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.86,1.04,43,52
ELECTROLYTE-R (PH 7.4) IV SOLP,0.7647058823529411,0.9019607843137255,39,46,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.82,1.9,41,95
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.7450980392156863,1.7843137254901962,38,91,TRAMADOL 50 MG PO TABS,0.82,1.12,41,56
ASPIRIN 81 MG PO TBEC,0.7254901960784313,1.1764705882352942,37,60,ELECTROLYTE-R (PH 7.4) IV SOLP,0.78,0.96,39,48
ASPIRIN 325 MG PO TABS,0.6862745098039216,0.6862745098039216,35,35,ASPIRIN 81 MG PO TBEC,0.76,1.18,38,59
ACETAMINOPHEN 325 MG PO TABS,0.6078431372549019,0.9607843137254902,31,49,MELATONIN 5 MG PO TABS,0.76,0.9,38,45
ACETAMINOPHEN 500 MG PO TABS,0.5686274509803921,1.0980392156862746,29,56,CEFAZOLIN IV PUSH (1 GRAM VIAL ONLY),0.7,0.88,35,44
SODIUM CHLORIDE 0.9 % IV SOLP,0.5686274509803921,0.6274509803921569,29,32,ASPIRIN 325 MG PO TABS,0.68,0.74,34,37
