med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9833333333333333,1.9666666666666666,59,118,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),1.0,3.54,50,177
NALOXONE 0.4 MG/ML INJ SOLN,0.9666666666666667,2.3833333333333333,58,143,NALOXONE 0.4 MG/ML INJ SOLN,0.98,3.1,49,155
SENNOSIDES 8.6 MG PO TABS,0.9666666666666667,1.8,58,108,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.98,2.34,49,117
ONDANSETRON 4 MG PO TBDL,0.95,1.9166666666666667,57,115,OXYCODONE 5 MG PO TABS,0.96,6.0,48,300
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.95,1.9,57,114,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.96,2.6,48,130
OXYCODONE 5 MG PO TABS,0.9333333333333333,5.083333333333333,56,305,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.94,1.7,47,85
HYDROMORPHONE 1 MG/ML INJ SYRG,0.8833333333333333,3.183333333333333,53,191,HYDROMORPHONE 1 MG/ML INJ SYRG,0.94,4.58,47,229
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.8666666666666667,2.3,52,138,ONDANSETRON 4 MG PO TBDL,0.94,1.9,47,95
IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML INH NEBU,0.8666666666666667,1.9333333333333333,52,116,ELECTROLYTE-R (PH 7.4) IV SOLP,0.9,1.72,45,86
ELECTROLYTE-R (PH 7.4) IV SOLP,0.85,1.5333333333333334,51,92,SENNOSIDES 8.6 MG PO TABS,0.9,2.04,45,102
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.8,1.0833333333333333,48,65,BISACODYL 10 MG PR SUPP,0.88,1.24,44,62
BISACODYL 10 MG PR SUPP,0.7666666666666667,0.95,46,57,IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML INH NEBU,0.82,1.94,41,97
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.7666666666666667,1.0833333333333333,46,65,MAGNESIUM CITRATE PO SOLN,0.78,0.9,39,45
ACETAMINOPHEN 325 MG PO TABS,0.75,1.2666666666666666,45,76,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.76,1.32,38,66
MAGNESIUM CITRATE PO SOLN,0.7166666666666667,0.7666666666666667,43,46,ACETAMINOPHEN 500 MG PO TABS,0.72,1.78,36,89
ALUM-MAG HYDROXIDE-SIMETH 400-400-40 MG/5 ML PO SUSP,0.6833333333333333,0.7,41,42,PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.66,0.86,33,43
ACETAMINOPHEN 500 MG PO TABS,0.5666666666666667,0.9333333333333333,34,56,ALUM-MAG HYDROXIDE-SIMETH 400-400-40 MG/5 ML PO SUSP,0.62,0.64,31,32
PREFERRED ANTIBIOTIC AGENT,0.5333333333333333,0.5666666666666667,32,34,ACETAMINOPHEN 325 MG PO TABS,0.58,1.22,29,61
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.5333333333333333,0.65,32,39,GABAPENTIN 300 MG PO CAPS,0.58,1.42,29,71
LIDOCAINE 5 % TP PTMD,0.4666666666666667,0.7666666666666667,28,46,LIDOCAINE 5 % TP PTMD,0.56,1.06,28,53
