med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.871559633027523,109,313,NALOXONE 0.4 MG/ML INJ SOLN,1.0,3.4684684684684686,111,385
ONDANSETRON 4 MG PO TBDL,1.0,2.2477064220183487,109,245,ONDANSETRON 4 MG PO TBDL,1.0,2.5945945945945947,111,288
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.073394495412844,109,226,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.5045045045045047,111,278
SENNOSIDES 8.6 MG PO TABS,0.9908256880733946,1.889908256880734,108,206,SENNOSIDES 8.6 MG PO TABS,1.0,2.2162162162162162,111,246
BISACODYL 10 MG PR SUPP,0.981651376146789,1.385321100917431,107,151,BISACODYL 10 MG PR SUPP,0.990990990990991,1.7387387387387387,110,193
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.981651376146789,2.779816513761468,107,303,OXYCODONE 5 MG PO TABS,0.990990990990991,7.927927927927928,110,880
HYDROMORPHONE 1 MG/ML INJ SYRG,0.981651376146789,3.889908256880734,107,424,HYDROMORPHONE 1 MG/ML INJ SYRG,0.9819819819819819,4.990990990990991,109,554
OXYCODONE 5 MG PO TABS,0.981651376146789,7.009174311926605,107,764,ELECTROLYTE-R (PH 7.4) IV SOLP,0.963963963963964,2.5315315315315314,107,281
ELECTROLYTE-R (PH 7.4) IV SOLP,0.9724770642201835,2.302752293577982,106,251,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.963963963963964,2.7027027027027026,107,300
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9541284403669725,1.3761467889908257,104,150,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.954954954954955,1.7567567567567568,106,195
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.944954128440367,2.3944954128440368,103,261,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9459459459459459,3.4414414414414414,105,382
ACETAMINOPHEN 325 MG PO TABS,0.908256880733945,2.0458715596330275,99,223,ACETAMINOPHEN 325 MG PO TABS,0.8918918918918919,1.936936936936937,99,215
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.8990825688073395,1.5045871559633028,98,164,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.8828828828828829,1.7747747747747749,98,197
SODIUM CHLORIDE 0.9 % IV SOLP,0.6880733944954128,0.8348623853211009,75,91,HYDROMORPHONE 1 MG/ML IV PCA,0.7657657657657657,0.990990990990991,85,110
HYDROMORPHONE 1 MG/ML IV PCA,0.6788990825688074,0.7339449541284404,74,80,SODIUM CHLORIDE 0.9 % IV SOLP,0.7207207207207207,1.063063063063063,80,118
FLUMAZENIL 0.1 MG/ML IV SOLN,0.6238532110091743,0.6513761467889908,68,71,"VANCOMYCIN 1,000 MG IV SOLR",0.6846846846846847,0.7747747747747747,76,86
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.6238532110091743,0.6880733944954128,68,75,METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.6756756756756757,0.918918918918919,75,102
PREFERRED ANTIBIOTIC AGENT,0.6238532110091743,0.7247706422018348,68,79,FLUMAZENIL 0.1 MG/ML IV SOLN,0.6396396396396397,0.7477477477477478,71,83
"VANCOMYCIN 1,000 MG IV SOLR",0.6055045871559633,0.6238532110091743,66,68,CEFAZOLIN IV PUSH (1 GRAM VIAL + NS VIAL),0.6126126126126126,0.7837837837837838,68,87
DOCUSATE SODIUM 100 MG PO CAPS,0.5688073394495413,1.0825688073394495,62,118,MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.6036036036036037,0.7567567567567568,67,84
