med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
ACETAMINOPHEN 325 MG PO TABS,0.8947368421052632,1.7236842105263157,68,131,ACETAMINOPHEN 325 MG PO TABS,0.9393939393939394,1.7424242424242424,62,115
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.881578947368421,1.381578947368421,67,105,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.8484848484848485,1.7121212121212122,56,113
SENNOSIDES 8.6 MG PO TABS,0.75,1.0921052631578947,57,83,SENNOSIDES 8.6 MG PO TABS,0.7878787878787878,1.393939393939394,52,92
ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.6578947368421053,0.75,50,57,ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.696969696969697,1.2272727272727273,46,81
BENZONATATE 100 MG PO CAPS,0.618421052631579,1.1973684210526316,47,91,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.6666666666666666,1.196969696969697,44,79
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.5789473684210527,0.9342105263157895,44,71,MELATONIN 5 MG PO TABS,0.6212121212121212,1.0454545454545454,41,69
ONDANSETRON 4 MG PO TBDL,0.5394736842105263,0.6447368421052632,41,49,ONDANSETRON 4 MG PO TBDL,0.5909090909090909,0.803030303030303,39,53
REMDESIVIR 100 MG/250 ML IVPB,0.4473684210526316,0.5263157894736842,34,40,BENZONATATE 100 MG PO CAPS,0.5,0.8939393939393939,33,59
REMDESIVIR 200 MG/250 ML IVPB,0.42105263157894735,0.42105263157894735,32,32,REMDESIVIR 100 MG/250 ML IVPB,0.48484848484848486,0.5151515151515151,32,34
MELATONIN 5 MG PO TABS,0.3684210526315789,0.5,28,38,REMDESIVIR 200 MG/250 ML IVPB,0.48484848484848486,0.5151515151515151,32,34
ALBUTEROL SULFATE 90 MCG/ACTUATION INH HFAA,0.3157894736842105,0.5657894736842105,24,43,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.45454545454545453,1.1818181818181819,30,78
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.27631578947368424,0.3815789473684211,21,29,GLUCOSE 4 GRAM PO CHEW,0.4393939393939394,0.696969696969697,29,46
GLUCOSE 4 GRAM PO CHEW,0.27631578947368424,0.3815789473684211,21,29,ACETAMINOPHEN 500 MG PO TABS,0.4090909090909091,0.7878787878787878,27,52
GUAIFENESIN 100 MG/5 ML PO LIQD,0.27631578947368424,0.4342105263157895,21,33,IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.36363636363636365,0.42424242424242425,24,28
IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML INH NEBU,0.27631578947368424,0.4473684210526316,21,34,ALBUTEROL SULFATE 90 MCG/ACTUATION INH HFAA,0.3333333333333333,0.5454545454545454,22,36
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.23684210526315788,0.3157894736842105,18,24,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.3333333333333333,0.3787878787878788,22,25
DEXTROMETHORPHAN-GUAIFENESIN 10-100 MG/5 ML PO SYRP,0.2236842105263158,0.4473684210526316,17,34,NALOXONE 0.4 MG/ML INJ SOLN,0.3181818181818182,0.5454545454545454,21,36
PANTOPRAZOLE 40 MG PO TBEC,0.2236842105263158,0.32894736842105265,17,25,DEXTROMETHORPHAN-GUAIFENESIN 10-100 MG/5 ML PO SYRP,0.30303030303030304,0.42424242424242425,20,28
ACETAMINOPHEN 500 MG PO TABS,0.21052631578947367,0.25,16,19,PANTOPRAZOLE 40 MG PO TBEC,0.30303030303030304,0.5303030303030303,20,35
AMLODIPINE 5 MG PO TABS,0.21052631578947367,0.32894736842105265,16,25,ZZZ IMS TEMPLATE,0.30303030303030304,0.5757575757575758,20,38
