med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
ELECTROLYTE-R (PH 7.4) IV SOLP,1.0,2.5873015873015874,63,163,HYDROMORPHONE 1 MG/ML INJ SYRG,1.0,5.851851851851852,54,316
NALOXONE 0.4 MG/ML INJ SOLN,1.0,3.1587301587301586,63,199,NALOXONE 0.4 MG/ML INJ SOLN,1.0,3.7962962962962963,54,205
ONDANSETRON 4 MG PO TBDL,1.0,2.4761904761904763,63,156,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.759259259259259,54,149
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.253968253968254,63,142,OXYCODONE 5 MG PO TABS,1.0,9.37037037037037,54,506
OXYCODONE 5 MG PO TABS,1.0,7.619047619047619,63,480,BISACODYL 10 MG PR SUPP,0.9814814814814815,1.9074074074074074,53,103
SENNOSIDES 8.6 MG PO TABS,1.0,2.0952380952380953,63,132,ONDANSETRON 4 MG PO TBDL,0.9814814814814815,3.185185185185185,53,172
BISACODYL 10 MG PR SUPP,0.9841269841269841,1.380952380952381,62,87,SENNOSIDES 8.6 MG PO TABS,0.9629629629629629,2.240740740740741,52,121
HYDROMORPHONE 1 MG/ML INJ SYRG,0.9841269841269841,3.8412698412698414,62,242,ACETAMINOPHEN 325 MG PO TABS,0.9444444444444444,2.3333333333333335,51,126
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9682539682539683,2.6984126984126986,61,170,ELECTROLYTE-R (PH 7.4) IV SOLP,0.9444444444444444,2.8333333333333335,51,153
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9523809523809523,1.5238095238095237,60,96,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9259259259259259,3.7962962962962963,50,205
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9365079365079365,2.9206349206349205,59,184,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9074074074074074,2.0555555555555554,49,111
ACETAMINOPHEN 325 MG PO TABS,0.9047619047619048,1.8888888888888888,57,119,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9074074074074074,2.7037037037037037,49,146
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.9047619047619048,1.6666666666666667,57,105,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.8888888888888888,1.8703703703703705,48,101
PREFERRED ANTIBIOTIC AGENT,0.7301587301587301,0.8253968253968254,46,52,HYDROMORPHONE 1 MG/ML IV PCA,0.8148148148148148,1.0185185185185186,44,55
HYDROMORPHONE 1 MG/ML IV PCA,0.6984126984126984,0.8571428571428571,44,54,"VANCOMYCIN 1,000 MG IV SOLR",0.7777777777777778,0.9444444444444444,42,51
FLUMAZENIL 0.1 MG/ML IV SOLN,0.6825396825396826,0.7301587301587301,43,46,METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.7407407407407407,1.1481481481481481,40,62
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.6190476190476191,0.7142857142857143,39,45,NS W/BACITRACIN MIXTURE (SHC OR),0.6851851851851852,0.9814814814814815,37,53
SODIUM CHLORIDE 0.9 % IV SOLP,0.6031746031746031,0.7936507936507936,38,50,SODIUM CHLORIDE 0.9 % IV SOLP,0.6851851851851852,1.0185185185185186,37,55
ACETAMINOPHEN 500 MG PO TABS,0.5873015873015873,1.0952380952380953,37,69,MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.6481481481481481,0.8148148148148148,35,44
DOCUSATE SODIUM 100 MG PO CAPS,0.5873015873015873,1.126984126984127,37,71,PREFERRED ANTIBIOTIC AGENT,0.6481481481481481,0.7777777777777778,35,42
