med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
NALOXONE 0.4 MG/ML INJ SOLN,0.9821428571428571,2.4107142857142856,55,135,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.1904761904761907,63,138
ONDANSETRON 4 MG PO TBDL,0.9821428571428571,1.9821428571428572,55,111,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9523809523809523,2.9365079365079363,60,185
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9821428571428571,1.625,55,91,NALOXONE 0.4 MG/ML INJ SOLN,0.9523809523809523,2.4603174603174605,60,155
OXYCODONE 5 MG PO TABS,0.9464285714285714,5.303571428571429,53,297,ONDANSETRON 4 MG PO TBDL,0.9523809523809523,1.8888888888888888,60,119
HYDROMORPHONE 1 MG/ML INJ SYRG,0.8928571428571429,3.357142857142857,50,188,SENNOSIDES 8.6 MG PO TABS,0.9523809523809523,2.5396825396825395,60,160
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.875,2.1785714285714284,49,122,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9365079365079365,3.5396825396825395,59,223
SENNOSIDES 8.6 MG PO TABS,0.875,1.8392857142857142,49,103,MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.9206349206349206,1.5873015873015872,58,100
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.8392857142857143,1.2857142857142858,47,72,ACETAMINOPHEN 500 MG PO TABS,0.8888888888888888,2.380952380952381,56,150
ACETAMINOPHEN 325 MG PO TABS,0.7857142857142857,1.2857142857142858,44,72,HYDROMORPHONE 1 MG/ML INJ SYRG,0.8888888888888888,5.158730158730159,56,325
BISACODYL 10 MG PR SUPP,0.75,1.2142857142857142,42,68,CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,0.873015873015873,1.7301587301587302,55,109
ACETAMINOPHEN 500 MG PO TABS,0.7142857142857143,1.625,40,91,OXYCODONE 5 MG PO TABS,0.873015873015873,6.0,55,378
CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,0.7142857142857143,1.1964285714285714,40,67,POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.873015873015873,1.2380952380952381,55,78
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.7142857142857143,1.75,40,98,POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.873015873015873,2.126984126984127,55,134
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.6607142857142857,0.7857142857142857,37,44,BISACODYL 10 MG PR SUPP,0.8571428571428571,1.8412698412698412,54,116
MELATONIN 5 MG PO TABS,0.6428571428571429,0.8035714285714286,36,45,FUROSEMIDE 10 MG/ML INJ SOLN,0.8571428571428571,5.142857142857143,54,324
POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.6428571428571429,0.8035714285714286,36,45,GLUCOSE 4 GRAM PO CHEW,0.8571428571428571,1.1746031746031746,54,74
THERAPEUTIC MULTIVITAMIN (GENERIC) PO TABS,0.6428571428571429,0.7321428571428571,36,41,MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.8571428571428571,1.5714285714285714,54,99
BENZOCAINE-MENTHOL SUGAR FREE MAXIMUM STRENGTH LOZG,0.625,0.6607142857142857,35,37,NORMOSOL-R IV BOLUS - 500 ML,0.8571428571428571,4.523809523809524,54,285
ELECTROLYTE-R (PH 7.4) IV SOLP,0.6071428571428571,0.9107142857142857,34,51,POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.8571428571428571,1.3174603174603174,54,83
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.5714285714285714,0.6964285714285714,32,39,ACETAMINOPHEN 325 MG PO TABS,0.8412698412698413,2.1587301587301586,53,136
