med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
NALOXONE 0.4 MG/ML INJ SOLN,1.0,1.7808219178082192,73,130,NALOXONE 0.4 MG/ML INJ SOLN,1.0,1.7532467532467533,77,135
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,1.8356164383561644,73,134,ONDANSETRON 4 MG PO TBDL,1.0,2.324675324675325,77,179
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9863013698630136,3.232876712328767,72,236,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,1.0,2.2857142857142856,77,176
ONDANSETRON 4 MG PO TBDL,0.9863013698630136,2.3698630136986303,72,173,FLUMAZENIL 0.1 MG/ML IV SOLN,0.987012987012987,1.051948051948052,76,81
ACETAMINOPHEN 325 MG PO TABS,0.9726027397260274,2.0273972602739727,71,148,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.987012987012987,1.9350649350649352,76,149
FLUMAZENIL 0.1 MG/ML IV SOLN,0.958904109589041,0.9863013698630136,70,72,ACETAMINOPHEN 325 MG PO TABS,0.961038961038961,1.9090909090909092,74,147
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.958904109589041,2.287671232876712,70,167,HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,0.9090909090909091,1.87012987012987,70,144
ELECTROLYTE-R (PH 7.4) IV SOLP,0.9315068493150684,2.0,68,146,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.8701298701298701,2.6233766233766236,67,202
POTASSIUM CHLORIDE IN 0.9%NACL 20 MEQ/L IV SOLP,0.9178082191780822,0.9726027397260274,67,71,HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,0.8701298701298701,1.0,67,77
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,0.9041095890410958,1.63013698630137,66,119,POTASSIUM CHLORIDE IN 0.9%NACL 20 MEQ/L IV SOLP,0.8571428571428571,0.922077922077922,66,71
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.9041095890410958,1.3835616438356164,66,101,ELECTROLYTE-R (PH 7.4) IV SOLP,0.8311688311688312,1.7532467532467533,64,135
HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,0.8767123287671232,0.9863013698630136,64,72,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.7922077922077922,1.3506493506493507,61,104
PHYSIOSOL + BACITRACIN MIXTURE (SHC OR),0.821917808219178,0.821917808219178,60,60,METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.7402597402597403,0.8311688311688312,57,64
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.7671232876712328,0.8493150684931506,56,62,METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.7012987012987013,0.8831168831168831,54,68
OXYCODONE 5 MG PO TABS,0.7671232876712328,2.5205479452054793,56,184,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.6883116883116883,0.8441558441558441,53,65
SENNOSIDES 8.6 MG PO TABS,0.7397260273972602,1.2876712328767124,54,94,OXYCODONE 5 MG PO TABS,0.6493506493506493,1.8051948051948052,50,139
BACITRACIN ZINC 500 UNIT/GRAM TP OINT,0.7123287671232876,0.7123287671232876,52,52,PHYSIOSOL + BACITRACIN MIXTURE (SHC OR),0.6363636363636364,0.6363636363636364,49,49
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.6986301369863014,0.8356164383561644,51,61,SENNOSIDES 8.6 MG PO TABS,0.6363636363636364,1.1818181818181819,49,91
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.6712328767123288,0.7123287671232876,49,52,HYDRALAZINE 20 MG/ML INJ SOLN,0.5974025974025974,0.7662337662337663,46,59
BISACODYL 10 MG PR SUPP,0.6575342465753424,0.6986301369863014,48,51,MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.5714285714285714,0.6103896103896104,44,47
