med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
ACETAMINOPHEN 500 MG PO TABS,1.0,2.130841121495327,107,228,CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,1.0,2.1527777777777777,72,155
CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,1.0,2.0,107,214,DEXTROSE 50 % IN WATER (D50W) IV SYRG,1.0,3.861111111111111,72,278
NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.0934579439252334,107,224,HYDROMORPHONE 1 MG/ML INJ SYRG,1.0,5.0,72,360
ONDANSETRON 4 MG PO TBDL,1.0,1.766355140186916,107,189,NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.7777777777777777,72,200
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,1.2990654205607477,107,139,ONDANSETRON 4 MG PO TBDL,1.0,2.3055555555555554,72,166
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,1.0,3.0093457943925235,107,322,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,1.9583333333333333,72,141
POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,1.0,1.0560747663551402,107,113,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,1.0,4.138888888888889,72,298
SENNOSIDES 8.6 MG PO TABS,1.0,2.2990654205607477,107,246,POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,1.0,1.6527777777777777,72,119
SODIUM CHLORIDE 0.9 % (FLUSH) INJ SYRG,1.0,1.0186915887850467,107,109,POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,1.0,1.5277777777777777,72,110
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.9906542056074766,1.3364485981308412,106,143,POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,1.0,2.986111111111111,72,215
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.9906542056074766,1.280373831775701,106,137,SENNOSIDES 8.6 MG PO TABS,1.0,2.9027777777777777,72,209
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.9906542056074766,1.9532710280373833,106,209,GLUCOSE 4 GRAM PO CHEW,0.9861111111111112,1.4305555555555556,71,103
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9813084112149533,2.4485981308411215,105,262,OXYCODONE 5 MG PO TABS,0.9861111111111112,6.861111111111111,71,494
OXYCODONE 5 MG PO TABS,0.9813084112149533,5.570093457943925,105,596,SODIUM CHLORIDE 0.9 % (FLUSH) INJ SYRG,0.9861111111111112,1.0416666666666667,71,75
FUROSEMIDE 10 MG/ML INJ SOLN,0.9719626168224299,4.130841121495327,104,442,ACETAMINOPHEN 500 MG PO TABS,0.9722222222222222,2.513888888888889,70,181
GLUCOSE 4 GRAM PO CHEW,0.9719626168224299,1.2242990654205608,104,131,BISACODYL 10 MG PR SUPP,0.9722222222222222,2.1527777777777777,70,155
HYDROMORPHONE 1 MG/ML INJ SYRG,0.9719626168224299,3.542056074766355,104,379,DEXMEDETOMIDINE IN 0.9 % NACL 400 MCG/100 ML (4 MCG/ML) IV SOLN,0.9722222222222222,3.388888888888889,70,244
BISACODYL 10 MG PR SUPP,0.9626168224299065,1.6635514018691588,103,178,FUROSEMIDE 10 MG/ML INJ SOLN,0.9722222222222222,7.361111111111111,70,530
NORMOSOL-R IV BOLUS - 500 ML,0.9626168224299065,5.289719626168225,103,566,NORMOSOL-R IV BOLUS - 500 ML,0.9722222222222222,6.152777777777778,70,443
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.9439252336448598,1.1121495327102804,101,119,POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,0.9722222222222222,1.125,70,81
