med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
ACETAMINOPHEN 325 MG PO TABS,1.0,9.918032786885245,61,605,ACETAMINOPHEN 325 MG PO TABS,1.0,13.024390243902438,41,534
ACETAMINOPHEN 650 MG/20.3 ML PO SOLN,1.0,8.967213114754099,61,547,ACETAMINOPHEN 650 MG/20.3 ML PO SOLN,1.0,11.78048780487805,41,483
ALUM-MAG HYDROXIDE-SIMETH 200-200-20 MG/5 ML PO SUSP,1.0,4.819672131147541,61,294,ALUM-MAG HYDROXIDE-SIMETH 200-200-20 MG/5 ML PO SUSP,1.0,5.829268292682927,41,239
DIPHENHYDRAMINE HCL 25 MG PO CAPS,1.0,4.885245901639344,61,298,DIPHENHYDRAMINE HCL 25 MG PO CAPS,1.0,5.975609756097561,41,245
DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN,1.0,10.819672131147541,61,660,DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN,1.0,12.853658536585366,41,527
"GLYCERIN-DIMETHICONE-PETRO, WH TP CREA",1.0,4.80327868852459,61,293,"GLYCERIN-DIMETHICONE-PETRO, WH TP CREA",1.0,5.804878048780488,41,238
LOPERAMIDE 2 MG PO CAPS,1.0,9.852459016393443,61,601,LOPERAMIDE 2 MG PO CAPS,1.0,12.048780487804878,41,494
LORAZEPAM 0.5 MG PO TABS,1.0,17.639344262295083,61,1076,LORAZEPAM 0.5 MG PO TABS,1.0,23.26829268292683,41,954
LORAZEPAM 1 MG PO TABS,1.0,8.80327868852459,61,537,LORAZEPAM 1 MG PO TABS,1.0,11.585365853658537,41,475
LORAZEPAM 2 MG/ML INJ SOLN,1.0,26.34426229508197,61,1607,LORAZEPAM 2 MG/ML INJ SOLN,1.0,35.31707317073171,41,1448
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,8.967213114754099,61,547,MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,1.0,11.75609756097561,41,482
SUCRALFATE 100 MG/ML PO SUSP,1.0,4.852459016393443,61,296,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,11.926829268292684,41,489
TRIPLE MIX,1.0,5.016393442622951,61,306,POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,1.0,11.707317073170731,41,480
POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.9836065573770492,8.704918032786885,60,531,SUCRALFATE 100 MG/ML PO SUSP,1.0,5.804878048780488,41,238
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.9672131147540983,8.672131147540984,59,529,TRIPLE MIX,1.0,5.804878048780488,41,238
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.9672131147540983,0.9672131147540983,59,59,MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.975609756097561,9.75609756097561,40,400
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.9672131147540983,1.1475409836065573,59,70,POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.975609756097561,1.3902439024390243,40,57
FAMOTIDINE 20 MG PO TABS,0.9508196721311475,4.229508196721311,58,258,ACYCLOVIR 400 MG PO TABS,0.9512195121951219,1.6097560975609757,39,66
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.9508196721311475,7.131147540983607,58,435,POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.9512195121951219,1.0,39,41
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.9508196721311475,0.9508196721311475,58,58,POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.9512195121951219,1.0,39,41
