med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
ACETAMINOPHEN 325 MG PO TABS,0.7407407407407407,0.9259259259259259,40,50,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.8771929824561403,2.2280701754385963,50,127
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.6851851851851852,1.2592592592592593,37,68,ACETAMINOPHEN 650 MG/20.3 ML PO SOLN,0.7543859649122807,1.456140350877193,43,83
ATORVASTATIN 40 MG PO TABS,0.6481481481481481,1.1296296296296295,35,61,ATORVASTATIN 40 MG PO TABS,0.7192982456140351,1.4210526315789473,41,81
ACETAMINOPHEN 650 MG/20.3 ML PO SOLN,0.5555555555555556,0.7037037037037037,30,38,ASPIRIN 81 MG PO CHEW,0.6842105263157895,1.6491228070175439,39,94
GADOBENATE DIMEGLUMINE 529 MG/ML (0.1MMOL/0.2ML) IV SOLN,0.5185185185185185,0.5370370370370371,28,29,ACETAMINOPHEN 325 MG PO TABS,0.6666666666666666,1.0526315789473684,38,60
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.46296296296296297,0.7222222222222222,25,39,IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.6140350877192983,0.8421052631578947,35,48
IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.4444444444444444,0.5370370370370371,24,29,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.5789473684210527,1.0,33,57
SENNOSIDES 8.6 MG PO TABS,0.4444444444444444,0.6481481481481481,24,35,GADOBENATE DIMEGLUMINE 529 MG/ML (0.1MMOL/0.2ML) IV SOLN,0.5789473684210527,0.7192982456140351,33,41
ATORVASTATIN 80 MG PO TABS,0.4074074074074074,0.48148148148148145,22,26,ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.543859649122807,0.9122807017543859,31,52
ASPIRIN 81 MG PO CHEW,0.35185185185185186,0.7037037037037037,19,38,NALOXONE 0.4 MG/ML INJ SOLN,0.543859649122807,0.9122807017543859,31,52
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.35185185185185186,0.6111111111111112,19,33,SENNOSIDES 8.6 MG PO TABS,0.543859649122807,1.105263157894737,31,63
GLUCOSE 4 GRAM PO CHEW,0.35185185185185186,0.5,19,27,LABETALOL 5 MG/ML IV SOLN,0.5263157894736842,1.368421052631579,30,78
ASPIRIN 81 MG PO TBEC,0.3333333333333333,0.7407407407407407,18,40,SENNA LEAF EXTRACT 176 MG/5 ML PO SYRP,0.5263157894736842,1.0350877192982457,30,59
CLOPIDOGREL 75 MG PO TABS,0.3333333333333333,0.6851851851851852,18,37,GLUCOSE 4 GRAM PO CHEW,0.5087719298245614,0.8947368421052632,29,51
ONDANSETRON 4 MG PO TBDL,0.2962962962962963,0.3333333333333333,16,18,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.5087719298245614,0.8771929824561403,29,50
ACETAMINOPHEN 650 MG PR SUPP,0.2777777777777778,0.5185185185185185,15,28,ACETAMINOPHEN 650 MG PR SUPP,0.47368421052631576,0.8771929824561403,27,50
MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.2777777777777778,0.35185185185185186,15,19,ATORVASTATIN 80 MG PO TABS,0.47368421052631576,0.5964912280701754,27,34
NALOXONE 0.4 MG/ML INJ SOLN,0.25925925925925924,0.2962962962962963,14,16,MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.47368421052631576,0.9649122807017544,27,55
BISACODYL 10 MG PR SUPP,0.24074074074074073,0.3148148148148148,13,17,SODIUM CHLORIDE 0.9 % IV SOLP,0.47368421052631576,0.7192982456140351,27,41
ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.24074074074074073,0.3333333333333333,13,18,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.43859649122807015,0.6842105263157895,25,39
