med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9206349206349206,1.5396825396825398,58,97,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9423076923076923,2.423076923076923,49,126
ONDANSETRON 4 MG PO TBDL,0.7936507936507936,1.1746031746031746,50,74,NALOXONE 0.4 MG/ML INJ SOLN,0.8653846153846154,2.4423076923076925,45,127
ACETAMINOPHEN 325 MG PO TABS,0.7777777777777778,0.9682539682539683,49,61,ONDANSETRON 4 MG PO TBDL,0.8269230769230769,1.6153846153846154,43,84
NALOXONE 0.4 MG/ML INJ SOLN,0.7619047619047619,1.380952380952381,48,87,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.7692307692307693,1.4615384615384615,40,76
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.6349206349206349,1.3015873015873016,40,82,ACETAMINOPHEN 325 MG PO TABS,0.6923076923076923,1.0,36,52
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.6031746031746031,0.7936507936507936,38,50,ELECTROLYTE-R (PH 7.4) IV SOLP,0.6923076923076923,1.0,36,52
MELATONIN 5 MG PO TABS,0.5238095238095238,0.6984126984126984,33,44,OXYCODONE 5 MG PO TABS,0.6923076923076923,2.3846153846153846,36,124
PANTOPRAZOLE 40 MG IV SOLR,0.5079365079365079,0.8095238095238095,32,51,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.6538461538461539,1.9423076923076923,34,101
ELECTROLYTE-R (PH 7.4) IV SOLP,0.4444444444444444,0.49206349206349204,28,31,PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.6346153846153846,1.2884615384615385,33,67
OXYCODONE 5 MG PO TABS,0.4444444444444444,0.873015873015873,28,55,SODIUM CHLORIDE 0.9 % IV SOLP,0.6346153846153846,1.0576923076923077,33,55
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.42857142857142855,0.5714285714285714,27,36,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.6153846153846154,1.3076923076923077,32,68
SODIUM CHLORIDE 0.9 % IV SOLP,0.42857142857142855,0.5238095238095238,27,33,HYDROMORPHONE 1 MG/ML INJ SYRG,0.5576923076923077,2.019230769230769,29,105
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.4126984126984127,0.8571428571428571,26,54,PANTOPRAZOLE 40 MG IV SOLR,0.5576923076923077,1.0576923076923077,29,55
FLUMAZENIL 0.1 MG/ML IV SOLN,0.3968253968253968,0.4444444444444444,25,28,PANTOPRAZOLE 40 MG PO TBEC,0.5384615384615384,0.9230769230769231,28,48
HYDROMORPHONE 1 MG/ML INJ SYRG,0.38095238095238093,0.9206349206349206,24,58,FLUMAZENIL 0.1 MG/ML IV SOLN,0.5,0.7307692307692307,26,38
PANTOPRAZOLE 40 MG PO TBEC,0.36507936507936506,0.6190476190476191,23,39,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.4807692307692308,0.8461538461538461,25,44
SENNOSIDES 8.6 MG PO TABS,0.36507936507936506,0.6190476190476191,23,39,ACETAMINOPHEN 500 MG PO TABS,0.46153846153846156,0.6730769230769231,24,35
GLUCOSE 4 GRAM PO CHEW,0.2857142857142857,0.3492063492063492,18,22,SENNOSIDES 8.6 MG PO TABS,0.4230769230769231,0.7115384615384616,22,37
ACETAMINOPHEN 500 MG PO TABS,0.2698412698412698,0.3492063492063492,17,22,MELATONIN 5 MG PO TABS,0.38461538461538464,0.5576923076923077,20,29
IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.25396825396825395,0.2698412698412698,16,17,METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.36538461538461536,0.8653846153846154,19,45
