med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9767441860465116,1.9767441860465116,84,170,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9850746268656716,2.1641791044776117,66,145
ONDANSETRON 4 MG PO TBDL,0.9418604651162791,1.8488372093023255,81,159,SENNOSIDES 8.6 MG PO TABS,0.9402985074626866,1.2985074626865671,63,87
SENNOSIDES 8.6 MG PO TABS,0.9069767441860465,1.0813953488372092,78,93,ONDANSETRON 4 MG PO TBDL,0.9253731343283582,1.9104477611940298,62,128
OXYCODONE 5 MG PO TABS,0.8953488372093024,3.372093023255814,77,290,NALOXONE 0.4 MG/ML INJ SOLN,0.8955223880597015,1.8208955223880596,60,122
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.8837209302325582,2.186046511627907,76,188,ACETAMINOPHEN 325 MG PO TABS,0.8656716417910447,1.5820895522388059,58,106
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.8837209302325582,1.1395348837209303,76,98,OXYCODONE 5 MG PO TABS,0.8656716417910447,3.208955223880597,58,215
NALOXONE 0.4 MG/ML INJ SOLN,0.872093023255814,1.744186046511628,75,150,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.8507462686567164,2.2238805970149254,57,149
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.813953488372093,1.0116279069767442,70,87,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.835820895522388,1.2686567164179106,56,85
BENZOCAINE-MENTHOL SUGAR FREE MAXIMUM STRENGTH LOZG,0.7558139534883721,0.7790697674418605,65,67,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.8208955223880597,1.4179104477611941,55,95
ACETAMINOPHEN 325 MG PO TABS,0.7441860465116279,1.2790697674418605,64,110,BENZOCAINE-MENTHOL SUGAR FREE MAXIMUM STRENGTH LOZG,0.7313432835820896,0.7611940298507462,49,51
ELECTROLYTE-R (PH 7.4) IV SOLP,0.7209302325581395,0.9767441860465116,62,84,BISACODYL 10 MG PR SUPP,0.7014925373134329,0.8507462686567164,47,57
BISACODYL 10 MG PR SUPP,0.6976744186046512,0.7558139534883721,60,65,MELATONIN 5 MG PO TABS,0.7014925373134329,0.8805970149253731,47,59
POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.6976744186046512,0.7325581395348837,60,63,POTASSIUM CHLORIDE ORAL TABLET REPLACEMENT SCALE,0.7014925373134329,0.7761194029850746,47,52
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.6744186046511628,0.7790697674418605,58,67,ELECTROLYTE-R (PH 7.4) IV SOLP,0.6865671641791045,0.9253731343283582,46,62
ASPIRIN 81 MG PO TBEC,0.6511627906976745,1.0465116279069768,56,90,"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.6417910447761194,0.6567164179104478,43,44
THERAPEUTIC MULTIVITAMIN (GENERIC) PO TABS,0.627906976744186,0.6511627906976745,54,56,ASPIRIN 81 MG PO TBEC,0.6268656716417911,1.1044776119402986,42,74
TRAMADOL 50 MG PO TABS,0.6046511627906976,0.7906976744186046,52,68,THERAPEUTIC MULTIVITAMIN (GENERIC) PO TABS,0.6268656716417911,0.6567164179104478,42,44
MELATONIN 5 MG PO TABS,0.5930232558139535,0.7441860465116279,51,64,ASPIRIN 325 MG PO TABS,0.5671641791044776,0.6417910447761194,38,43
ASPIRIN 325 MG PO TABS,0.5697674418604651,0.6511627906976745,49,56,MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.5373134328358209,0.5373134328358209,36,36
ACETAMINOPHEN 500 MG PO TABS,0.5232558139534884,0.9418604651162791,45,81,TRAMADOL 50 MG PO TABS,0.5373134328358209,0.6567164179104478,36,44
