med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
NALOXONE 0.4 MG/ML INJ SOLN,0.9433962264150944,2.0377358490566038,50,108,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9444444444444444,2.2777777777777777,51,123
ONDANSETRON 4 MG PO TBDL,0.9433962264150944,2.2264150943396226,50,118,NALOXONE 0.4 MG/ML INJ SOLN,0.9259259259259259,2.9074074074074074,50,157
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9433962264150944,1.9433962264150944,50,103,ONDANSETRON 4 MG PO TBDL,0.9259259259259259,2.314814814814815,50,125
ELECTROLYTE-R (PH 7.4) IV SOLP,0.9245283018867925,1.6981132075471699,49,90,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9074074074074074,2.7222222222222223,49,147
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9245283018867925,3.2452830188679247,49,172,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9074074074074074,4.555555555555555,49,246
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9245283018867925,1.9433962264150944,49,103,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.8703703703703703,2.7037037037037037,47,146
ACETAMINOPHEN 325 MG PO TABS,0.8867924528301887,1.6603773584905661,47,88,HYDROMORPHONE 1 MG/ML INJ SYRG,0.8333333333333334,4.537037037037037,45,245
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.8867924528301887,1.169811320754717,47,62,OXYCODONE 5 MG PO TABS,0.8333333333333334,3.685185185185185,45,199
OXYCODONE 5 MG PO TABS,0.8679245283018868,3.2452830188679247,46,172,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.8148148148148148,2.185185185185185,44,118
HYDROMORPHONE 1 MG/ML INJ SYRG,0.8113207547169812,2.1132075471698113,43,112,SENNOSIDES 8.6 MG PO TABS,0.7962962962962963,1.5740740740740742,43,85
SENNOSIDES 8.6 MG PO TABS,0.7924528301886793,1.471698113207547,42,78,ELECTROLYTE-R (PH 7.4) IV SOLP,0.7592592592592593,1.9074074074074074,41,103
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.7358490566037735,0.9811320754716981,39,52,ACETAMINOPHEN 325 MG PO TABS,0.7222222222222222,1.537037037037037,39,83
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,0.6037735849056604,1.2452830188679245,32,66,BISACODYL 10 MG PR SUPP,0.6666666666666666,1.2407407407407407,36,67
FLUMAZENIL 0.1 MG/ML IV SOLN,0.5660377358490566,0.6037735849056604,30,32,ACETAMINOPHEN 500 MG PO TABS,0.6111111111111112,1.3333333333333333,33,72
HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,0.5283018867924528,0.5471698113207547,28,29,METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.5925925925925926,0.9074074074074074,32,49
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.5094339622641509,0.5660377358490566,27,30,METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,0.46296296296296297,0.7962962962962963,25,43
BISACODYL 10 MG PR SUPP,0.4716981132075472,0.5283018867924528,25,28,DOCUSATE SODIUM 100 MG PO CAPS,0.4444444444444444,0.7962962962962963,24,43
HYDRALAZINE 20 MG/ML INJ SOLN,0.4528301886792453,0.5660377358490566,24,30,GLUCOSE 4 GRAM PO CHEW,0.4444444444444444,0.7407407407407407,24,40
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.4528301886792453,0.5471698113207547,24,29,MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.4444444444444444,0.9629629629629629,24,52
BACITRACIN ZINC 500 UNIT/GRAM TP OINT,0.4339622641509434,0.4339622641509434,23,23,PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.4444444444444444,0.7592592592592593,24,41
