med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.933333333333333,75,220,DEXTROSE 50 % IN WATER (D50W) IV SYRG,1.0,2.8076923076923075,52,146
ONDANSETRON 4 MG PO TBDL,1.0,2.28,75,171,ELECTROLYTE-R (PH 7.4) IV SOLP,1.0,2.8653846153846154,52,149
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.0,75,150,NALOXONE 0.4 MG/ML INJ SOLN,1.0,4.423076923076923,52,230
ELECTROLYTE-R (PH 7.4) IV SOLP,0.9866666666666667,2.1333333333333333,74,160,ONDANSETRON 4 MG PO TBDL,1.0,2.769230769230769,52,144
OXYCODONE 5 MG PO TABS,0.9866666666666667,5.906666666666666,74,443,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,1.0,2.6538461538461537,52,138
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9733333333333334,1.6266666666666667,73,122,OXYCODONE 5 MG PO TABS,1.0,6.884615384615385,52,358
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9733333333333334,2.5733333333333333,73,193,ACETAMINOPHEN 500 MG PO TABS,0.9615384615384616,2.3461538461538463,50,122
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9733333333333334,1.9066666666666667,73,143,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.9615384615384616,4.0576923076923075,50,211
ACETAMINOPHEN 500 MG PO TABS,0.9066666666666666,1.88,68,141,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.9615384615384616,2.423076923076923,50,126
HYDROMORPHONE 1 MG/ML INJ SYRG,0.8933333333333333,2.64,67,198,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.9615384615384616,2.326923076923077,50,121
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.8933333333333333,1.28,67,96,HYDROMORPHONE 1 MG/ML INJ SYRG,0.9423076923076923,4.865384615384615,49,253
HALOPERIDOL LACTATE 5 MG/ML INJ SOLN,0.7466666666666667,0.8133333333333334,56,61,BISACODYL 10 MG PR SUPP,0.7884615384615384,1.4423076923076923,41,75
PREFERRED ANTIBIOTIC AGENT,0.6533333333333333,0.7066666666666667,49,53,ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.7307692307692307,1.7115384615384615,38,89
BISACODYL 10 MG PR SUPP,0.64,0.8133333333333334,48,61,HYDROMORPHONE 1 MG/ML IV PCA,0.6538461538461539,0.8846153846153846,34,46
KETOROLAC 15 MG/ML INJ SOLN,0.6266666666666667,0.88,47,66,KETOROLAC 15 MG/ML INJ SOLN,0.6538461538461539,1.0769230769230769,34,56
HYDROMORPHONE 1 MG/ML IV PCA,0.6133333333333333,0.6533333333333333,46,49,PANTOPRAZOLE 40 MG PO TBEC,0.6538461538461539,1.3269230769230769,34,69
ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.5866666666666667,1.3466666666666667,44,101,PREFERRED ANTIBIOTIC AGENT,0.6346153846153846,0.6538461538461539,33,34
HALOPERIDOL 1 MG PO TABS,0.5333333333333333,0.5333333333333333,40,40,PANTOPRAZOLE 40 MG IV SOLR,0.5961538461538461,1.0576923076923077,31,55
"HEPARIN, PORCINE (PF) 5,000 UNIT/0.5 ML INJ SOLN",0.5333333333333333,0.7733333333333333,40,58,LACTATED RINGERS IV SOLP,0.5769230769230769,0.75,30,39
MAINTENANCE IV FLUID (CUSTOM),0.4533333333333333,1.24,34,93,GLUCOSE 4 GRAM PO CHEW,0.5576923076923077,0.8846153846153846,29,46
