med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
FUROSEMIDE 10 MG/ML INJ SOLN,0.8137254901960784,2.392156862745098,83,244,FUROSEMIDE 10 MG/ML INJ SOLN,0.8602150537634409,4.666666666666667,80,434
ACETAMINOPHEN 325 MG PO TABS,0.7843137254901961,0.9509803921568627,80,97,ACETAMINOPHEN 325 MG PO TABS,0.8387096774193549,1.1720430107526882,78,109
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.7156862745098039,1.0588235294117647,73,108,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.8172043010752689,1.5161290322580645,76,141
SENNOSIDES 8.6 MG PO TABS,0.6764705882352942,0.8333333333333334,69,85,SENNOSIDES 8.6 MG PO TABS,0.7741935483870968,1.3010752688172043,72,121
POTASSIUM CHLORIDE 20 MEQ PO TBTQ,0.5294117647058824,1.2745098039215685,54,130,POTASSIUM CHLORIDE 20 MEQ PO TBTQ,0.6344086021505376,2.2903225806451615,59,213
ONDANSETRON 4 MG PO TBDL,0.47058823529411764,0.5294117647058824,48,54,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.5806451612903226,0.7634408602150538,54,71
FUROSEMIDE 40 MG PO TABS,0.4215686274509804,0.9705882352941176,43,99,SPIRONOLACTONE 25 MG PO TABS,0.5591397849462365,1.4301075268817205,52,133
NALOXONE 0.4 MG/ML INJ SOLN,0.4117647058823529,0.43137254901960786,42,44,ONDANSETRON 4 MG PO TBDL,0.5483870967741935,0.6666666666666666,51,62
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.4019607843137255,0.45098039215686275,41,46,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.4946236559139785,0.7311827956989247,46,68
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.39215686274509803,0.5392156862745098,40,55,MELATONIN 5 MG PO TABS,0.4946236559139785,0.7204301075268817,46,67
MELATONIN 5 MG PO TABS,0.39215686274509803,0.4411764705882353,40,45,NALOXONE 0.4 MG/ML INJ SOLN,0.46236559139784944,0.5161290322580645,43,48
ATORVASTATIN 40 MG PO TABS,0.38235294117647056,0.45098039215686275,39,46,FUROSEMIDE 40 MG PO TABS,0.45161290322580644,1.010752688172043,42,94
HYDRALAZINE 25 MG PO TABS,0.3431372549019608,0.6470588235294118,35,66,ZZZ IMS TEMPLATE,0.44086021505376344,0.8817204301075269,41,82
SPIRONOLACTONE 25 MG PO TABS,0.3333333333333333,0.8137254901960784,34,83,GLUCOSE 4 GRAM PO CHEW,0.40860215053763443,0.5376344086021505,38,50
GLUCOSE 4 GRAM PO CHEW,0.3235294117647059,0.3627450980392157,33,37,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.3870967741935484,0.7096774193548387,36,66
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.30392156862745096,0.4019607843137255,31,41,MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.3870967741935484,0.6559139784946236,36,61
ASPIRIN 81 MG PO TBEC,0.27450980392156865,0.3627450980392157,28,37,POTASSIUM CHLORIDE 10 MEQ PO TBTQ,0.3870967741935484,0.6666666666666666,36,62
FUROSEMIDE 20 MG PO TABS,0.27450980392156865,0.5196078431372549,28,53,MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.3763440860215054,0.6021505376344086,35,56
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.27450980392156865,0.3235294117647059,28,33,ASPIRIN 81 MG PO TBEC,0.34408602150537637,0.5376344086021505,32,50
APIXABAN 5 MG PO TABS,0.24509803921568626,0.3431372549019608,25,35,PANTOPRAZOLE 40 MG PO TBEC,0.3333333333333333,0.5483870967741935,31,51
