med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.7846153846153846,1.2871794871794873,153,251,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,0.8430232558139535,1.9883720930232558,145,342
ACETAMINOPHEN 325 MG PO TABS,0.7692307692307693,1.158974358974359,150,226,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.8313953488372093,1.563953488372093,143,269
SENNOSIDES 8.6 MG PO TABS,0.6307692307692307,0.9435897435897436,123,184,ACETAMINOPHEN 325 MG PO TABS,0.813953488372093,1.6686046511627908,140,287
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.6051282051282051,0.8923076923076924,118,174,SENNOSIDES 8.6 MG PO TABS,0.7441860465116279,1.447674418604651,128,249
ONDANSETRON 4 MG PO TBDL,0.5333333333333333,0.6923076923076923,104,135,VANCOMYCIN PER PHARMACY PROTOCOL (INPATIENT USE ONLY),0.6744186046511628,0.9709302325581395,116,167
MELATONIN 5 MG PO TABS,0.4666666666666667,0.5487179487179488,91,107,ONDANSETRON 4 MG PO TBDL,0.6337209302325582,0.9418604651162791,109,162
NALOXONE 0.4 MG/ML INJ SOLN,0.4307692307692308,0.5948717948717949,84,116,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.6046511627906976,1.1627906976744187,104,200
VANCOMYCIN PER PHARMACY PROTOCOL (INPATIENT USE ONLY),0.4307692307692308,0.47692307692307695,84,93,MELATONIN 5 MG PO TABS,0.5755813953488372,1.0174418604651163,99,175
ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.40512820512820513,0.5128205128205128,79,100,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.563953488372093,1.3546511627906976,97,233
CEFEPIME 2 GRAM/50 ML NS EXTENDED INFUSION MINIBAG PLUS,0.38461538461538464,0.6205128205128205,75,121,NALOXONE 0.4 MG/ML INJ SOLN,0.5465116279069767,1.0406976744186047,94,179
IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.36923076923076925,0.40512820512820513,72,79,CEFEPIME 2 GRAM/50 ML NS EXTENDED INFUSION MINIBAG PLUS,0.5116279069767442,0.8546511627906976,88,147
ACETAMINOPHEN 500 MG PO TABS,0.35384615384615387,0.5230769230769231,69,102,IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,0.5,0.7325581395348837,86,126
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.3282051282051282,0.6512820512820513,64,127,ENOXAPARIN 40 MG/0.4 ML SC SYRG,0.46511627906976744,0.7151162790697675,80,123
HYDROMORPHONE 1 MG/ML INJ SYRG,0.31794871794871793,0.882051282051282,62,172,GLUCOSE 4 GRAM PO CHEW,0.46511627906976744,0.6976744186046512,80,120
METRONIDAZOLE IN NACL (ISO-OS) 500 MG/100 ML IV PGBK,0.3076923076923077,0.4358974358974359,60,85,POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.45930232558139533,0.877906976744186,79,151
PIPERACILLIN-TAZOBACTAM-DEXTRS 3.375 GRAM/50 ML IV PGBK,0.29743589743589743,0.7589743589743589,58,148,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.4418604651162791,1.1453488372093024,76,197
VANCOMYCIN PER PHARMACY PROTOCOL (ED USE ONLY),0.2923076923076923,0.3128205128205128,57,61,HYDROMORPHONE 1 MG/ML INJ SYRG,0.436046511627907,1.552325581395349,75,267
GLUCOSE 4 GRAM PO CHEW,0.2717948717948718,0.3641025641025641,53,71,OXYCODONE 5 MG PO TABS,0.4186046511627907,1.2965116279069768,72,223
LR IV BOLUS - 500 ML,0.26153846153846155,0.4564102564102564,51,89,LR IV BOLUS - 500 ML,0.4127906976744186,0.9593023255813954,71,165
OXYCODONE 5 MG PO TABS,0.26153846153846155,0.6,51,117,METRONIDAZOLE IN NACL (ISO-OS) 500 MG/100 ML IV PGBK,0.3953488372093023,0.5872093023255814,68,101
